date,Close,High,Low,Open,Volume,OB_c0,OB_High_c0,OB_Low_c0,OB_Mitigated_Index_c0,OB,OB_High,OB_Low,OB_Mitigated_Index,aVWAP_OB_bull_c0_1246,aVWAP_OB_bull_c0_1215,aVWAP_OB_bull_c0_1192,aVWAP_OB_bull_c0_1033,aVWAP_OB_bull_c0_1005,aVWAP_OB_bull_c0_953,aVWAP_OB_bull_c0_689,aVWAP_OB_bull_c0_611,aVWAP_OB_bull_c0_602,aVWAP_OB_bull_c0_589,aVWAP_OB_bull_c0_502,aVWAP_OB_bull_c0_489,aVWAP_OB_bull_c0_471,aVWAP_OB_bull_c0_443,aVWAP_OB_bull_c0_332,aVWAP_OB_bull_c0_19,aVWAP_OB_bear_c0_1176,aVWAP_OB_bear_c0_1160,aVWAP_OB_bear_c0_945,aVWAP_OB_bear_c0_566,aVWAP_OB_bear_c0_552,aVWAP_OB_bear_c0_161,aVWAP_QQEMOD_bull_dot_c0_1106,aVWAP_QQEMOD_bull_dot_c0_1116,aVWAP_QQEMOD_bull_dot_c0_1141,aVWAP_QQEMOD_bull_dot_c0_1160,aVWAP_QQEMOD_bull_dot_c0_1237,aVWAP_QQEMOD_bear_dot_c0_1111,aVWAP_QQEMOD_bear_dot_c0_1125,aVWAP_QQEMOD_bear_dot_c0_1150,aVWAP_QQEMOD_bear_dot_c0_1192,aVWAP_QQEMOD_bear_dot_c0_1246,aVWAP_price_maxima_minima_valley_c0_1,aVWAP_price_maxima_minima_peak_c0_1,color
2021-06-21 00:00:00+00:00,3.2676431866,3.2676431866,3.236961091,3.236961091,886972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2021-06-22 00:00:00+00:00,3.2062789953,3.2139495192,3.1832674236,3.2062789953,1539404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-06-23 00:00:00+00:00,3.1832674236,3.2062789953,3.1679263758,3.1986084714,1246537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-06-24 00:00:00+00:00,3.2446316149,3.2446316149,3.2024437334,3.2062789953,1352341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-06-25 00:00:00+00:00,3.2599726627,3.2714784486,3.2177847812,3.236961091,1922426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-06-28 00:00:00+00:00,3.1755968997,3.2292905671,3.1602558518,3.2292905671,1339585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-06-29 00:00:00+00:00,3.144914804,3.1909379475,3.1372442801,3.1832674236,1334517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-06-30 00:00:00+00:00,3.1679263758,3.1679263758,3.1295737562,3.1372442801,1538428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-07-01 00:00:00+00:00,3.1832674236,3.1986084714,3.1640911138,3.1871026855,2505948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-07-02 00:00:00+00:00,3.1679263758,3.1832674236,3.144914804,3.1755968997,809790,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
