date,Close,High,Low,Open,Volume,OB_c0,OB_High_c0,OB_Low_c0,OB_Mitigated_Index_c0,OB,OB_High,OB_Low,OB_Mitigated_Index,aVWAP_OB_bull_c0_184,aVWAP_OB_bull_c0_172,aVWAP_OB_bull_c0_135,aVWAP_OB_bull_c0_75,aVWAP_OB_bull_c0_48,aVWAP_OB_bear_c0_115,aVWAP_OB_bear_c0_40,aVWAP_QQEMOD_bull_dot_c0_115,aVWAP_QQEMOD_bull_dot_c0_188,aVWAP_QQEMOD_bear_dot_c0_135,aVWAP_price_maxima_minima_valley_c0_1,aVWAP_price_maxima_minima_peak_c0_1,color
2025-09-15 00:00:00+00:00,25.0230546133,25.138664516,25.0230546133,25.108713764,2367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,#000000
2025-09-16 00:00:00+00:00,24.9644509752,26.0970885802,24.8990585,26.0970885802,9796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-09-17 00:00:00+00:00,24.9148325627,25.318369028,24.909042084,25.218533188,10473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-09-18 00:00:00+00:00,25.3912491913,25.5579750441,25.1486481,25.5579750441,21810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-09-19 00:00:00+00:00,25.0915419995,25.4581392041,25.0915419995,25.178598852,3875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-09-22 00:00:00+00:00,25.2724445416,25.4381720361,25.1176989896,25.4381720361,3248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-09-23 00:00:00+00:00,25.1570343106,25.5080571241,25.1570343106,25.4681227881,6693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,#000000
2025-09-24 00:00:00+00:00,24.9937028763,25.238500356,24.9937028763,25.168615268,3409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,#000000
2025-09-25 00:00:00+00:00,24.7807530296,25.1486481,24.7592883239,25.1486481,4855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-09-26 00:00:00+00:00,24.9998926984,25.018861508,24.879091332,25.018861508,4674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
