date,Close,High,Low,Open,Volume,OB_c0,OB_High_c0,OB_Low_c0,OB_Mitigated_Index_c0,OB,OB_High,OB_Low,OB_Mitigated_Index,aVWAP_OB_bull_c0_1198,aVWAP_OB_bull_c0_962,aVWAP_OB_bull_c0_869,aVWAP_OB_bull_c0_861,aVWAP_OB_bear_c0_1133,aVWAP_OB_bear_c0_1127,aVWAP_OB_bear_c0_1090,aVWAP_OB_bear_c0_1007,aVWAP_OB_bear_c0_836,aVWAP_OB_bear_c0_291,aVWAP_OB_bear_c0_105,aVWAP_OB_bear_c0_95,aVWAP_QQEMOD_bull_dot_c0_836,aVWAP_QQEMOD_bull_dot_c0_919,aVWAP_QQEMOD_bull_dot_c0_1007,aVWAP_QQEMOD_bull_dot_c0_1090,aVWAP_QQEMOD_bull_dot_c0_1244,aVWAP_QQEMOD_bear_dot_c0_830,aVWAP_QQEMOD_bear_dot_c0_849,aVWAP_QQEMOD_bear_dot_c0_952,aVWAP_QQEMOD_bear_dot_c0_1033,aVWAP_QQEMOD_bear_dot_c0_1198,aVWAP_price_maxima_minima_valley_c0_1,aVWAP_price_maxima_minima_peak_c0_1,color
2021-06-21 00:00:00+00:00,12.8,12.97,12.32,12.87,23253556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2021-06-22 00:00:00+00:00,13.41,13.57,12.4,12.77,32563290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,13.126666666666663,"rgba(38, 166, 154, 0.5)"
2021-06-23 00:00:00+00:00,13.14,13.47,12.91,13.26,22997587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,13.145982789532521,"rgba(38, 166, 154, 0.5)"
2021-06-24 00:00:00+00:00,12.68,13.33,12.64,13.23,22158951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,13.071097955380617,"rgba(38, 166, 154, 0.5)"
2021-06-25 00:00:00+00:00,12.12,12.46,11.76,12.21,36954177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,12.76245430621642,"rgba(38, 166, 154, 0.5)"
2021-06-28 00:00:00+00:00,12.8,12.86,12.04,12.06,31117766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,12.720665432184553,"rgba(38, 166, 154, 0.5)"
2021-06-29 00:00:00+00:00,12.24,12.6905,12.19,12.53,14336758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,12.68958273369055,#000000
2021-06-30 00:00:00+00:00,12.22,12.51,11.95,12.11,13816706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,12.652812682468708,"rgba(239, 83, 80, 0.5)"
2021-07-01 00:00:00+00:00,12.17,12.27,11.8655,12.18,12244127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,12.616579349625606,"rgba(239, 83, 80, 0.5)"
2021-07-02 00:00:00+00:00,11.99,12.245,11.82,12.08,10381407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,12.584984441527858,"rgba(239, 83, 80, 0.5)"
