date,Close,High,Low,Open,Volume,OB_c0,OB_High_c0,OB_Low_c0,OB_Mitigated_Index_c0,OB,OB_High,OB_Low,OB_Mitigated_Index,aVWAP_OB_bull_c0_158,aVWAP_OB_bull_c0_134,aVWAP_OB_bull_c0_78,aVWAP_OB_bull_c0_41,aVWAP_OB_bull_c0_34,aVWAP_OB_bull_c0_16,aVWAP_OB_bear_c0_250,aVWAP_QQEMOD_bull_dot_c0_151,aVWAP_QQEMOD_bull_dot_c0_200,aVWAP_QQEMOD_bull_dot_c0_218,aVWAP_QQEMOD_bull_dot_c0_250,aVWAP_QQEMOD_bull_dot_c0_264,aVWAP_QQEMOD_bear_dot_c0_134,aVWAP_QQEMOD_bear_dot_c0_158,aVWAP_QQEMOD_bear_dot_c0_206,aVWAP_QQEMOD_bear_dot_c0_226,aVWAP_QQEMOD_bear_dot_c0_256,aVWAP_price_maxima_minima_valley_c0_1,aVWAP_price_maxima_minima_peak_c0_1,color
2025-05-28 00:00:00+00:00,42.6735406866,43.4925278311,42.6735406866,43.3727928685,13532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,#000000
2025-05-29 00:00:00+00:00,43.3344776804,44.0624662533,43.0662713641,43.0950077552,54434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)"
2025-05-30 00:00:00+00:00,43.9283630952,44.0193616668,43.1045865522,43.1045865522,111930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)"
2025-06-02 00:00:00+00:00,43.6505779818,44.191780013,43.4302656506,43.8517327191,72446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)"
2025-06-03 00:00:00+00:00,43.4877384326,43.813417531,43.1812169283,43.6218415908,60913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)"
2025-06-04 00:00:00+00:00,43.1907957253,43.5931051998,43.0710607626,43.5643688087,368032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)"
2025-06-05 00:00:00+00:00,42.8268014388,43.1907957253,42.6926982807,43.1907957253,74898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)"
2025-06-06 00:00:00+00:00,42.1850220391,42.7980650478,42.1850220391,42.7980650478,53001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)"
2025-06-09 00:00:00+00:00,42.2329160241,42.5681739195,42.0520683365,42.2999676032,55277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,42.28438609336666,,"rgba(239, 83, 80, 0.5)"
2025-06-10 00:00:00+00:00,42.5011223404,42.7022770777,42.3239145957,42.5969103105,45589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,42.38595347234356,,"rgba(239, 83, 80, 0.5)"
