date,Close,High,Low,Open,Volume,OB_c0,OB_High_c0,OB_Low_c0,OB_Mitigated_Index_c0,OB,OB_High,OB_Low,OB_Mitigated_Index,aVWAP_OB_bull_c0_33,aVWAP_QQEMOD_bull_dot_c0_53,aVWAP_QQEMOD_bear_dot_c0_64,aVWAP_price_maxima_minima_valley_c0_1,aVWAP_price_maxima_minima_peak_c0_1,color
2026-03-12 00:00:00+00:00,30.8,32.26,30.44,32.0,2311997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,#000000
2026-03-13 00:00:00+00:00,29.99,31.8,29.9,31.0,863890,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"rgba(239, 83, 80, 0.5)"
2026-03-16 00:00:00+00:00,31.34,31.53,30.35,30.62,1067739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"rgba(239, 83, 80, 0.5)"
2026-03-17 00:00:00+00:00,31.88,32.28,31.46,31.65,570740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"rgba(239, 83, 80, 0.5)"
2026-03-18 00:00:00+00:00,33.66,33.66,31.625,31.84,1153646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"rgba(38, 166, 154, 0.5)"
2026-03-19 00:00:00+00:00,32.74,33.49,31.965,33.305,1185041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"rgba(38, 166, 154, 0.5)"
2026-03-20 00:00:00+00:00,31.4,33.75,31.03,32.62,623291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"rgba(38, 166, 154, 0.5)"
2026-03-23 00:00:00+00:00,32.62,32.705,30.29,31.46,552136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"rgba(38, 166, 154, 0.5)"
2026-03-24 00:00:00+00:00,29.23,32.09,28.31,32.09,907459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,#000000
2026-03-25 00:00:00+00:00,27.81,29.05,26.3027,29.015,1342177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"rgba(239, 83, 80, 0.5)"
2026-03-26 00:00:00+00:00,26.57,27.8,26.57,27.4,429368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"rgba(239, 83, 80, 0.5)"
