date,Close,High,Low,Open,Volume,OB_c0,OB_High_c0,OB_Low_c0,OB_Mitigated_Index_c0,OB,OB_High,OB_Low,OB_Mitigated_Index,aVWAP_OB_bear_c0_552,aVWAP_OB_bear_c0_536,aVWAP_OB_bear_c0_309,aVWAP_OB_bear_c0_256,aVWAP_OB_bear_c0_156,aVWAP_QQEMOD_bull_dot_c0_289,aVWAP_QQEMOD_bull_dot_c0_404,aVWAP_QQEMOD_bull_dot_c0_437,aVWAP_QQEMOD_bull_dot_c0_491,aVWAP_QQEMOD_bull_dot_c0_531,aVWAP_QQEMOD_bear_dot_c0_338,aVWAP_QQEMOD_bear_dot_c0_421,aVWAP_QQEMOD_bear_dot_c0_482,aVWAP_QQEMOD_bear_dot_c0_520,aVWAP_QQEMOD_bear_dot_c0_570,aVWAP_price_maxima_minima_valley_c0_1,aVWAP_price_maxima_minima_peak_c0_1,color
2021-06-21 00:00:00+00:00,6.1,6.38,6.03,6.31,179989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,6.169999999999999,#000000
2021-06-22 00:00:00+00:00,5.75,6.16,5.73,6.11,157306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,6.034751211847197,"rgba(239, 83, 80, 0.5)"
2021-06-23 00:00:00+00:00,5.52,5.88,5.5,5.85,194990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,5.8877012815816085,"rgba(239, 83, 80, 0.5)"
2021-06-24 00:00:00+00:00,5.56,5.65,5.45,5.6,170399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,5.806617943959637,"rgba(239, 83, 80, 0.5)"
2021-06-25 00:00:00+00:00,5.26,5.5565,5.26,5.54,249947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,5.689130249278053,"rgba(239, 83, 80, 0.5)"
2021-06-28 00:00:00+00:00,5.32,5.44,5.22,5.27,140681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,5.642490553321772,"rgba(239, 83, 80, 0.5)"
2021-06-29 00:00:00+00:00,5.47,5.47,5.07,5.36,172110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,5.60089545766814,"rgba(239, 83, 80, 0.5)"
2021-06-30 00:00:00+00:00,5.23,5.4473,5.15,5.38,138193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,5.5688848828204325,"rgba(239, 83, 80, 0.5)"
2021-07-01 00:00:00+00:00,5.32,5.35,5.17,5.23,101901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,5.549331680832354,"rgba(239, 83, 80, 0.5)"
2021-07-02 00:00:00+00:00,5.05,5.35,4.96,5.35,214918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,5.495699221708011,"rgba(239, 83, 80, 0.5)"
