date,Close,High,Low,Open,Volume,color,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL
2026-05-28 00:00:00+00:00,24.173217199,25.8917803771,23.2257158338,23.8747577638,4649,#000000,,,False,False,False,False,False
2026-05-29 00:00:00+00:00,29.1020416155,29.1020416155,24.1243892754,24.1243892754,3434,"rgba(38, 166, 154, 0.5)",100.0,,False,False,True,False,False
2026-06-01 00:00:00+00:00,29.848939098,31.7331577472,29.4065920596,31.7331577472,5674,"rgba(38, 166, 154, 0.5)",100.0,50.0,False,False,True,False,True
2026-06-02 00:00:00+00:00,26.2630323611,26.8703359023,26.2630323611,26.8703359023,1114,"rgba(38, 166, 154, 0.5)",85.66493920927698,36.859527608503896,False,False,True,False,False
2026-06-03 00:00:00+00:00,25.6331621311,26.6406749117,25.6331621311,26.5408223071,4343,"rgba(38, 166, 154, 0.5)",74.65071427702097,27.559547020087166,False,False,True,False,False
2026-06-04 00:00:00+00:00,25.1332001398,25.4424436563,25.0080848262,25.1229153215,3539,"rgba(38, 166, 154, 0.5)",66.20669248254237,20.92884025995167,False,False,True,False,False
2026-06-05 00:00:00+00:00,23.1470319814,23.4054505221,22.4768212992,22.645572201,6769,"rgba(38, 166, 154, 0.5)",57.03822102580526,13.652483871308434,False,False,True,False,False
2026-06-08 00:00:00+00:00,24.2278365738,24.2278365738,23.9346693266,23.9346693266,1295,#000000,53.25838940416266,11.317877491937267,False,False,False,False,False
2026-06-09 00:00:00+00:00,23.4469892057,23.8547872429,23.4254210431,23.8547872429,534,#000000,49.4715217102255,8.626336077189627,False,False,False,False,False
2026-06-10 00:00:00+00:00,22.1119598819,22.7364380712,22.1119598819,22.6565559875,1230,"rgba(239, 83, 80, 0.5)",45.05783496686125,5.086799412793894,False,False,False,True,False
2026-06-11 00:00:00+00:00,22.9286543351,23.0459811455,22.9286543351,23.0459811455,417,"rgba(239, 83, 80, 0.5)",43.888777724369504,4.343629927406468,False,False,False,True,False
2026-06-12 00:00:00+00:00,22.6221068389,22.7663938526,22.477120857,22.7663938526,795,"rgba(239, 83, 80, 0.5)",42.6482008834086,3.2117773155414966,False,False,False,True,False
2026-06-15 00:00:00+00:00,26.434279578,27.8089503857,25.5722520423,25.5722520423,11537,#000000,48.06290650436911,3.2117773155414966,False,False,False,False,False
2026-06-16 00:00:00+00:00,26.046352209,26.9701885069,26.046352209,26.9701885069,1162,#000000,51.008291252801946,3.2117773155414966,False,False,False,False,True
2026-06-17 00:00:00+00:00,26.3527,26.981,26.3527,26.981,322,"rgba(38, 166, 154, 0.5)",53.38221987568808,-7.491810777406151,False,False,True,False,True
