date,Close,High,Low,Open,Volume,OB_c0,OB_High_c0,OB_Low_c0,OB_Mitigated_Index_c0,OB,OB_High,OB_Low,OB_Mitigated_Index,aVWAP_OB_bull_c0_1129,aVWAP_OB_bull_c0_965,aVWAP_OB_bull_c0_657,aVWAP_OB_bull_c0_161,aVWAP_OB_bull_c0_42,aVWAP_OB_bull_c0_1,aVWAP_OB_bear_c0_1242,aVWAP_OB_bear_c0_1229,aVWAP_OB_bear_c0_1184,aVWAP_OB_bear_c0_1165,aVWAP_OB_bear_c0_1157,aVWAP_OB_bear_c0_1093,aVWAP_OB_bear_c0_1076,aVWAP_OB_bear_c0_403,aVWAP_OB_bear_c0_256,aVWAP_OB_bear_c0_163,aVWAP_OB_bear_c0_143,aVWAP_OB_bear_c0_120,aVWAP_OB_bear_c0_104,aVWAP_OB_bear_c0_15,aVWAP_QQEMOD_bull_dot_c0_979,aVWAP_QQEMOD_bull_dot_c0_1026,aVWAP_QQEMOD_bull_dot_c0_1076,aVWAP_QQEMOD_bull_dot_c0_1145,aVWAP_QQEMOD_bull_dot_c0_1211,aVWAP_QQEMOD_bear_dot_c0_1013,aVWAP_QQEMOD_bear_dot_c0_1033,aVWAP_QQEMOD_bear_dot_c0_1129,aVWAP_QQEMOD_bear_dot_c0_1199,aVWAP_QQEMOD_bear_dot_c0_1253,aVWAP_price_maxima_minima_valley_c0_1,aVWAP_price_maxima_minima_peak_c0_1,color
2021-06-21 00:00:00+00:00,382.7527488941,390.1411023332,375.814904811,390.1411023332,6376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2021-06-22 00:00:00+00:00,376.2654141671,378.4278590761,370.8593018946,375.5445991974,6922,1.0,378.42786,370.8593,9.0,1.0,378.42786,370.8593,9.0,,,,,,375.1841917126,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-06-23 00:00:00+00:00,389.9608985908,398.0700669996,386.8974349697,386.8974349697,8414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,384.21410379535155,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-06-24 00:00:00+00:00,409.4229027718,411.1348383248,395.5472146057,399.3314931965,12884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,393.8721797387783,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-06-25 00:00:00+00:00,424.3798133925,426.7224620439,414.4686075595,426.7224620439,17823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,404.7049394719494,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)"
2021-06-28 00:00:00+00:00,423.1183871955,434.9217323239,420.4829074627,429.8760275362,18801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,410.9298213898554,,,,,,,,,,,,,,,,,,,,,,,,,,426.1743423273666,"rgba(38, 166, 154, 0.5)"
2021-06-29 00:00:00+00:00,428.4343975968,429.4255181801,407.9812728325,415.099320658,10209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,412.42842928386034,,,,,,,,,,,,,,,,,,,,,,,,,,424.6867071676873,"rgba(38, 166, 154, 0.5)"
2021-06-30 00:00:00+00:00,414.5587094307,421.2262479002,413.3981973296,421.2262479002,8870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,412.84759954944155,,,,,,,,,,,,,,,,,,,,,,,,,,422.74497277932466,"rgba(38, 166, 154, 0.5)"
2021-07-01 00:00:00+00:00,396.4482333178,416.5409505973,391.9431397574,414.0180982035,6130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,412.0849663904433,,,,,,,,,,,,,,,,,,,,,,,,,,419.8059066178511,"rgba(38, 166, 154, 0.5)"
2021-07-02 00:00:00+00:00,378.6080628185,387.7353823719,375.0039879702,386.8974349697,11360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,408.54121028461236,,,,,,,,,,,,,,,,,,,,,,,,,,411.7312665791301,"rgba(38, 166, 154, 0.5)"
2021-07-06 00:00:00+00:00,340.2246656836,359.4163642511,339.1434432291,359.4163642511,28759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389.35081186898304,"rgba(239, 83, 80, 0.5)"
2021-07-07 00:00:00+00:00,326.7093850024,347.9734266076,324.3667363509,347.0724078955,25425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.2768987959755,"rgba(239, 83, 80, 0.5)"
