date,Close,High,Low,Open,Volume,OB_c0,OB_High_c0,OB_Low_c0,OB_Mitigated_Index_c0,OB,OB_High,OB_Low,OB_Mitigated_Index,aVWAP_OB_bull_c0_1233,aVWAP_OB_bull_c0_1198,aVWAP_OB_bull_c0_1071,aVWAP_OB_bull_c0_1046,aVWAP_OB_bull_c0_1025,aVWAP_OB_bull_c0_990,aVWAP_OB_bull_c0_969,aVWAP_OB_bull_c0_841,aVWAP_OB_bull_c0_826,aVWAP_OB_bull_c0_647,aVWAP_OB_bull_c0_620,aVWAP_OB_bull_c0_602,aVWAP_OB_bull_c0_544,aVWAP_OB_bull_c0_507,aVWAP_OB_bull_c0_493,aVWAP_OB_bull_c0_477,aVWAP_OB_bull_c0_332,aVWAP_OB_bull_c0_63,aVWAP_OB_bull_c0_20,aVWAP_OB_bear_c0_943,aVWAP_OB_bear_c0_911,aVWAP_OB_bear_c0_428,aVWAP_OB_bear_c0_309,aVWAP_OB_bear_c0_9,aVWAP_QQEMOD_bull_dot_c0_1041,aVWAP_QQEMOD_bull_dot_c0_1100,aVWAP_QQEMOD_bull_dot_c0_1156,aVWAP_QQEMOD_bull_dot_c0_1223,aVWAP_QQEMOD_bull_dot_c0_1243,aVWAP_QQEMOD_bear_dot_c0_952,aVWAP_QQEMOD_bear_dot_c0_1048,aVWAP_QQEMOD_bear_dot_c0_1112,aVWAP_QQEMOD_bear_dot_c0_1183,aVWAP_QQEMOD_bear_dot_c0_1233,aVWAP_price_maxima_minima_valley_c0_1,aVWAP_price_maxima_minima_peak_c0_1,color
2021-06-21 00:00:00+00:00,7.97,7.98,7.79,7.82,336436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2021-06-22 00:00:00+00:00,7.9,8.0,7.8009,7.97,296420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-06-23 00:00:00+00:00,7.8,7.95,7.79,7.86,200978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-06-24 00:00:00+00:00,7.9,7.93,7.8,7.88,158736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-06-25 00:00:00+00:00,8.1,8.11,7.92,7.93,265441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-06-28 00:00:00+00:00,8.09,8.14,8.02,8.14,349059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-06-29 00:00:00+00:00,8.01,8.14,7.95,8.07,392947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2021-06-30 00:00:00+00:00,7.85,7.9823,7.765,7.98,446663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-07-01 00:00:00+00:00,8.08,8.12,7.85,7.9,251404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2021-07-02 00:00:00+00:00,8.07,8.17,7.98,8.11,363296,-1.0,8.17,7.98,25.0,-1.0,8.17,7.98,25.0,,,,,,,,,,,,,,,,,,,,,,,,8.073333333333332,,,,,,,,,,,,,#000000
