date,Close,High,Low,Open,Volume,OB_c0,OB_High_c0,OB_Low_c0,OB_Mitigated_Index_c0,OB,OB_High,OB_Low,OB_Mitigated_Index,aVWAP_OB_bull_c0_1232,aVWAP_OB_bull_c0_984,aVWAP_OB_bull_c0_973,aVWAP_OB_bear_c0_1165,aVWAP_OB_bear_c0_1156,aVWAP_OB_bear_c0_1145,aVWAP_OB_bear_c0_1093,aVWAP_OB_bear_c0_1024,aVWAP_OB_bear_c0_914,aVWAP_OB_bear_c0_891,aVWAP_OB_bear_c0_99,aVWAP_QQEMOD_bull_dot_c0_989,aVWAP_QQEMOD_bull_dot_c0_1024,aVWAP_QQEMOD_bull_dot_c0_1078,aVWAP_QQEMOD_bull_dot_c0_1124,aVWAP_QQEMOD_bull_dot_c0_1241,aVWAP_QQEMOD_bear_dot_c0_953,aVWAP_QQEMOD_bear_dot_c0_1005,aVWAP_QQEMOD_bear_dot_c0_1039,aVWAP_QQEMOD_bear_dot_c0_1112,aVWAP_QQEMOD_bear_dot_c0_1198,aVWAP_price_maxima_minima_valley_c0_1,aVWAP_price_maxima_minima_peak_c0_1,color
2021-06-21 00:00:00+00:00,57.89,59.57,57.25,59.01,3090686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,#000000
2021-06-22 00:00:00+00:00,60.49,60.74,57.61,57.83,2928447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)"
2021-06-23 00:00:00+00:00,61.65,61.83,59.8,60.29,2494957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)"
2021-06-24 00:00:00+00:00,61.88,63.14,61.55,62.17,3630520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)"
2021-06-25 00:00:00+00:00,64.15,64.95,62.39,62.5,6705803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)"
2021-06-28 00:00:00+00:00,66.41,67.38,64.48,64.5,5028654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,66.09,"rgba(38, 166, 154, 0.5)"
2021-06-29 00:00:00+00:00,64.42,67.37,63.83,66.55,3442216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,65.73104936879761,"rgba(38, 166, 154, 0.5)"
2021-06-30 00:00:00+00:00,62.53,65.98,62.21,64.03,5190149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,64.91128125898466,"rgba(38, 166, 154, 0.5)"
2021-07-01 00:00:00+00:00,63.8,64.44,61.7,62.59,2977982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,64.62528691596327,"rgba(38, 166, 154, 0.5)"
2021-07-02 00:00:00+00:00,60.53,64.5,60.51,63.71,2498975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,64.26246367188114,"rgba(38, 166, 154, 0.5)"
2021-07-06 00:00:00+00:00,59.99,61.8,59.2,60.84,2169041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,63.86214133040458,"rgba(38, 166, 154, 0.5)"
2021-07-07 00:00:00+00:00,58.41,60.23,57.25,60.0,2566863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,63.29959389396835,#000000
2021-07-08 00:00:00+00:00,58.5,58.5,55.6,57.1,1931412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,62.868014788336176,#000000
2021-07-09 00:00:00+00:00,59.19,59.28,57.355,58.61,1728187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,62.60064842629101,"rgba(239, 83, 80, 0.5)"
2021-07-12 00:00:00+00:00,57.51,59.1799,56.34,59.01,2813441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,62.14414654909405,"rgba(239, 83, 80, 0.5)"
2021-07-13 00:00:00+00:00,55.12,57.33,54.95,57.0,2532583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,61.655481081743645,"rgba(239, 83, 80, 0.5)"
2021-07-14 00:00:00+00:00,51.44,55.7,51.2326,55.6,5225169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,60.43990551036455,"rgba(239, 83, 80, 0.5)"
