date,Close,High,Low,Open,Volume,OB_c0,OB_High_c0,OB_Low_c0,OB_Mitigated_Index_c0,OB,OB_High,OB_Low,OB_Mitigated_Index,aVWAP_OB_bull_c0_1232,aVWAP_OB_bull_c0_1068,aVWAP_OB_bull_c0_47,aVWAP_OB_bear_c0_1121,aVWAP_OB_bear_c0_1111,aVWAP_OB_bear_c0_1080,aVWAP_OB_bear_c0_99,aVWAP_OB_bear_c0_0,aVWAP_QQEMOD_bull_dot_c0_1021,aVWAP_QQEMOD_bull_dot_c0_1047,aVWAP_QQEMOD_bull_dot_c0_1080,aVWAP_QQEMOD_bull_dot_c0_1193,aVWAP_QQEMOD_bull_dot_c0_1245,aVWAP_QQEMOD_bear_dot_c0_1038,aVWAP_QQEMOD_bear_dot_c0_1068,aVWAP_QQEMOD_bear_dot_c0_1168,aVWAP_QQEMOD_bear_dot_c0_1227,aVWAP_QQEMOD_bear_dot_c0_1252,aVWAP_price_maxima_minima_valley_c0_1,aVWAP_price_maxima_minima_peak_c0_1,color
2021-06-21 00:00:00+00:00,32.7,35.0,31.7,33.6,95154,-1.0,35.0,31.7,0.0,0.0,0.0,0.0,0.0,,,,,,,,33.13333333333333,,,,,,,,,,,,33.13333333333333,#000000
2021-06-22 00:00:00+00:00,31.6,33.1,31.0,33.1,38957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,32.77507065043136,,,,,,,,,,,,32.77507065043136,"rgba(239, 83, 80, 0.5)"
2021-06-23 00:00:00+00:00,31.7,32.1,30.5,31.9,19928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,32.6014903152232,,,,,,,,,,,,32.6014903152232,"rgba(239, 83, 80, 0.5)"
2021-06-24 00:00:00+00:00,31.8,32.9,30.6,31.5,33674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,32.45173056740876,,,,,,,,,,,,32.45173056740876,"rgba(239, 83, 80, 0.5)"
2021-06-25 00:00:00+00:00,31.5,32.2,31.3,31.8,13869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,32.3977175541467,,,,,,,,,,,,32.3977175541467,"rgba(239, 83, 80, 0.5)"
2021-06-28 00:00:00+00:00,32.7,33.0,31.201,31.9,29172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,32.38540620747636,,,,,,,,,,,,32.38540620747636,"rgba(239, 83, 80, 0.5)"
2021-06-29 00:00:00+00:00,32.4,33.4,32.0,32.9,29736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,32.409902967484356,,,,,,,,,,,,32.409902967484356,"rgba(239, 83, 80, 0.5)"
2021-06-30 00:00:00+00:00,31.95,32.9,31.5,31.8,24399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,32.38478907223515,,,,,,,,,,,,32.38478907223515,"rgba(239, 83, 80, 0.5)"
2021-07-01 00:00:00+00:00,32.2,32.9,31.4,31.7,15782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,32.373339987339435,,,,,,,,,,,,32.373339987339435,"rgba(239, 83, 80, 0.5)"
2021-07-02 00:00:00+00:00,31.3,32.4,30.8,31.9,38123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,32.27506687643032,,,,,,,,,,,,32.27506687643032,"rgba(239, 83, 80, 0.5)"
2021-07-06 00:00:00+00:00,30.4,31.3,29.7,30.8,19134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,32.17839399916557,,,,,,,,,,,,32.17839399916557,"rgba(239, 83, 80, 0.5)"
