date,Close,High,Low,Open,Volume,OB_c0,OB_High_c0,OB_Low_c0,OB_Mitigated_Index_c0,OB,OB_High,OB_Low,OB_Mitigated_Index,aVWAP_OB_bull_c0_1226,aVWAP_OB_bull_c0_1188,aVWAP_OB_bull_c0_1107,aVWAP_OB_bull_c0_1096,aVWAP_OB_bull_c0_1084,aVWAP_OB_bull_c0_986,aVWAP_OB_bull_c0_974,aVWAP_OB_bull_c0_603,aVWAP_OB_bull_c0_192,aVWAP_OB_bull_c0_95,aVWAP_OB_bear_c0_932,aVWAP_OB_bear_c0_907,aVWAP_OB_bear_c0_729,aVWAP_OB_bear_c0_697,aVWAP_OB_bear_c0_669,aVWAP_OB_bear_c0_530,aVWAP_OB_bear_c0_199,aVWAP_OB_bear_c0_175,aVWAP_OB_bear_c0_163,aVWAP_OB_bear_c0_135,aVWAP_OB_bear_c0_96,aVWAP_QQEMOD_bull_dot_c0_1114,aVWAP_QQEMOD_bull_dot_c0_1153,aVWAP_QQEMOD_bull_dot_c0_1179,aVWAP_QQEMOD_bull_dot_c0_1211,aVWAP_QQEMOD_bull_dot_c0_1244,aVWAP_QQEMOD_bear_dot_c0_1084,aVWAP_QQEMOD_bear_dot_c0_1127,aVWAP_QQEMOD_bear_dot_c0_1167,aVWAP_QQEMOD_bear_dot_c0_1188,aVWAP_QQEMOD_bear_dot_c0_1219,aVWAP_price_maxima_minima_valley_c0_1,aVWAP_price_maxima_minima_peak_c0_1,color
2021-06-21 00:00:00+00:00,197.88,198.34,191.88,194.4,691962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2021-06-22 00:00:00+00:00,197.15,201.18,196.36,197.77,554275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-06-23 00:00:00+00:00,201.41,202.35,196.88,197.21,784721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-06-24 00:00:00+00:00,194.11,201.0,193.85,199.05,901191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-06-25 00:00:00+00:00,189.73,197.71,187.11,195.4,2450799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-06-28 00:00:00+00:00,201.4,201.46,192.79,192.87,1127809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-06-29 00:00:00+00:00,201.33,208.99,200.41,201.46,942187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.57666666666668,"rgba(239, 83, 80, 0.5)"
2021-06-30 00:00:00+00:00,195.82,200.15,195.56,199.82,724347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.7949527622399,"rgba(239, 83, 80, 0.5)"
2021-07-01 00:00:00+00:00,189.94,196.3,189.09,195.82,604398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.39477782102972,"rgba(239, 83, 80, 0.5)"
2021-07-02 00:00:00+00:00,190.94,193.165,189.29,191.59,313422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.51393145701658,"rgba(239, 83, 80, 0.5)"
