date,Close,High,Low,Open,Volume,OB_c0,OB_High_c0,OB_Low_c0,OB_Mitigated_Index_c0,OB,OB_High,OB_Low,OB_Mitigated_Index,aVWAP_OB_bull_c0_1235,aVWAP_OB_bull_c0_1198,aVWAP_OB_bull_c0_1130,aVWAP_OB_bull_c0_904,aVWAP_OB_bull_c0_868,aVWAP_OB_bull_c0_530,aVWAP_OB_bull_c0_507,aVWAP_OB_bull_c0_439,aVWAP_OB_bull_c0_1,aVWAP_OB_bear_c0_1120,aVWAP_OB_bear_c0_922,aVWAP_QQEMOD_bull_dot_c0_1105,aVWAP_QQEMOD_bull_dot_c0_1155,aVWAP_QQEMOD_bull_dot_c0_1181,aVWAP_QQEMOD_bull_dot_c0_1223,aVWAP_QQEMOD_bull_dot_c0_1251,aVWAP_QQEMOD_bear_dot_c0_1039,aVWAP_QQEMOD_bear_dot_c0_1130,aVWAP_QQEMOD_bear_dot_c0_1162,aVWAP_QQEMOD_bear_dot_c0_1193,aVWAP_QQEMOD_bear_dot_c0_1232,aVWAP_price_maxima_minima_valley_c0_1,aVWAP_price_maxima_minima_peak_c0_1,color
2021-06-21 00:00:00+00:00,23.7,24.6,23.7,24.0,11459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,#000000
2021-06-22 00:00:00+00:00,24.3,24.9255,23.4,23.85,14727,1.0,24.9255,23.4,4.0,1.0,24.9255,23.4,4.0,,,,,,,,,24.2085,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)"
2021-06-23 00:00:00+00:00,25.5,25.7985,24.6015,24.75,33750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,24.96840933844916,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)"
2021-06-24 00:00:00+00:00,25.5,26.7,25.05,26.4,38793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,25.315839687177725,,,,,,,,,,,,,,25.75,"rgba(38, 166, 154, 0.5)"
2021-06-25 00:00:00+00:00,25.65,25.95,23.85,25.65,31857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,25.271490757762724,,,,,,,,,,,,,,25.479452229299362,"rgba(38, 166, 154, 0.5)"
2021-06-28 00:00:00+00:00,23.7,25.2,22.95,25.05,112640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,24.53953461727317,"rgba(38, 166, 154, 0.5)"
2021-06-29 00:00:00+00:00,22.35,23.9985,22.2,23.4,179004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,23.704514007960384,"rgba(38, 166, 154, 0.5)"
2021-06-30 00:00:00+00:00,17.85,18.0,16.05,16.8,832116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,19.242646995587776,"rgba(239, 83, 80, 0.5)"
2021-07-01 00:00:00+00:00,17.7,18.0,17.1,17.55,112897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,19.100790554934683,"rgba(239, 83, 80, 0.5)"
2021-07-02 00:00:00+00:00,16.95,17.7,16.575,17.7,113028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,18.939581364959672,"rgba(239, 83, 80, 0.5)"
2021-07-06 00:00:00+00:00,15.75,16.95,15.6,16.95,116829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,18.72376480193395,"rgba(239, 83, 80, 0.5)"
2021-07-07 00:00:00+00:00,15.15,16.2,14.85,15.75,219158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,18.309017593584773,"rgba(239, 83, 80, 0.5)"
2021-07-08 00:00:00+00:00,16.05,16.35,15.423,15.45,205202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,18.061290853438447,"rgba(239, 83, 80, 0.5)"
2021-07-09 00:00:00+00:00,16.95,16.95,15.6,16.1085,120207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,17.97113603054381,"rgba(239, 83, 80, 0.5)"
2021-07-12 00:00:00+00:00,16.2,16.8,16.05,16.35,117849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,17.88427887596723,"rgba(239, 83, 80, 0.5)"
