date,Close,High,Low,Open,Volume,OB_c0,OB_High_c0,OB_Low_c0,OB_Mitigated_Index_c0,OB,OB_High,OB_Low,OB_Mitigated_Index,aVWAP_OB_bull_c0_1243,aVWAP_OB_bull_c0_1229,aVWAP_OB_bull_c0_1183,aVWAP_OB_bull_c0_1142,aVWAP_OB_bull_c0_953,aVWAP_OB_bull_c0_847,aVWAP_OB_bull_c0_827,aVWAP_OB_bull_c0_811,aVWAP_OB_bull_c0_687,aVWAP_OB_bull_c0_666,aVWAP_OB_bull_c0_593,aVWAP_OB_bull_c0_489,aVWAP_OB_bull_c0_471,aVWAP_OB_bull_c0_451,aVWAP_OB_bull_c0_381,aVWAP_OB_bull_c0_330,aVWAP_OB_bull_c0_269,aVWAP_OB_bear_c0_1135,aVWAP_OB_bear_c0_1128,aVWAP_OB_bear_c0_665,aVWAP_OB_bear_c0_641,aVWAP_QQEMOD_bull_dot_c0_1061,aVWAP_QQEMOD_bull_dot_c0_1120,aVWAP_QQEMOD_bull_dot_c0_1169,aVWAP_QQEMOD_bull_dot_c0_1216,aVWAP_QQEMOD_bull_dot_c0_1251,aVWAP_QQEMOD_bear_dot_c0_1033,aVWAP_QQEMOD_bear_dot_c0_1095,aVWAP_QQEMOD_bear_dot_c0_1142,aVWAP_QQEMOD_bear_dot_c0_1183,aVWAP_QQEMOD_bear_dot_c0_1229,aVWAP_price_maxima_minima_valley_c0_1,aVWAP_price_maxima_minima_peak_c0_1,color
2021-06-21 00:00:00+00:00,11.4051935303,11.5461816091,11.2493646012,11.316148428,95390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2021-06-22 00:00:00+00:00,11.4422956563,11.4868182075,11.2716258768,11.4051935303,65708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)"
2021-06-23 00:00:00+00:00,11.6649084123,11.7687943651,11.4052677346,11.4645569319,140144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)"
2021-06-24 00:00:00+00:00,11.8801007431,11.954304995,11.6723288375,11.6723288375,94158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)"
2021-06-25 00:00:00+00:00,11.7465330895,12.0507705226,11.7465330895,11.8875211683,363712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)"
2021-06-28 00:00:00+00:00,11.5981245855,11.7020105383,11.4126139555,11.7020105383,123626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)"
2021-06-29 00:00:00+00:00,11.5313407587,11.6983003257,11.5164999083,11.6649084123,100160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)"
2021-06-30 00:00:00+00:00,11.4051935303,11.5789798885,11.4051935303,11.4497160815,116266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)"
2021-07-01 00:00:00+00:00,11.4051935303,11.5387611839,11.3755118296,11.4942386327,67528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)"
2021-07-02 00:00:00+00:00,11.3384097036,11.4163241681,11.2716258768,11.4051935303,90746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2021-07-06 00:00:00+00:00,11.316148428,11.4719773571,11.2716258768,11.316148428,84612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-07-07 00:00:00+00:00,11.3087280028,11.3531763497,11.2716258768,11.3013075776,83272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-07-08 00:00:00+00:00,11.1603194988,11.3235688532,11.1380582232,11.1825807744,92187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-07-09 00:00:00+00:00,11.3680914044,11.39035268,11.2493646012,11.3013075776,49773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-07-12 00:00:00+00:00,11.4942386327,11.5461816091,11.2716258768,11.316148428,71293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
