date,Close,High,Low,Open,Volume,OB_c0,OB_High_c0,OB_Low_c0,OB_Mitigated_Index_c0,OB,OB_High,OB_Low,OB_Mitigated_Index,aVWAP_OB_bull_c0_1227,aVWAP_OB_bull_c0_1158,aVWAP_OB_bull_c0_1128,aVWAP_OB_bull_c0_785,aVWAP_OB_bull_c0_712,aVWAP_OB_bull_c0_653,aVWAP_OB_bull_c0_639,aVWAP_OB_bull_c0_616,aVWAP_OB_bull_c0_593,aVWAP_OB_bull_c0_514,aVWAP_OB_bull_c0_503,aVWAP_OB_bull_c0_486,aVWAP_OB_bull_c0_452,aVWAP_OB_bull_c0_434,aVWAP_OB_bull_c0_387,aVWAP_OB_bull_c0_251,aVWAP_OB_bull_c0_0,aVWAP_OB_bear_c0_1233,aVWAP_OB_bear_c0_1102,aVWAP_OB_bear_c0_692,aVWAP_OB_bear_c0_477,aVWAP_OB_bear_c0_365,aVWAP_OB_bear_c0_202,aVWAP_QQEMOD_bull_dot_c0_1085,aVWAP_QQEMOD_bull_dot_c0_1119,aVWAP_QQEMOD_bull_dot_c0_1169,aVWAP_QQEMOD_bull_dot_c0_1205,aVWAP_QQEMOD_bull_dot_c0_1233,aVWAP_QQEMOD_bear_dot_c0_1110,aVWAP_QQEMOD_bear_dot_c0_1128,aVWAP_QQEMOD_bear_dot_c0_1194,aVWAP_QQEMOD_bear_dot_c0_1209,aVWAP_QQEMOD_bear_dot_c0_1241,aVWAP_price_maxima_minima_valley_c0_1,aVWAP_price_maxima_minima_peak_c0_1,color
2021-06-21 00:00:00+00:00,366.5871853242,367.3880285806,360.6732658919,362.2749524048,1631569,1.0,360.67328,367.38803,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,364.8828265989,,,,,,,,,,,,,,,,,364.8828265989,,#000000
2021-06-22 00:00:00+00:00,371.6860453476,371.9893232672,366.3597268845,366.7956888939,1934772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,367.6652856361552,,,,,,,,,,,,,,,,,367.6652856361552,,"rgba(38, 166, 154, 0.5)"
2021-06-23 00:00:00+00:00,371.4870192128,372.880202156,370.1791331845,372.4631950166,1538035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,368.8254058705823,,,,,,,,,,,,,,,,,368.8254058705823,,"rgba(38, 166, 154, 0.5)"
2021-06-24 00:00:00+00:00,371.5817935627,374.8325537635,371.3211641005,372.861247286,1487380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,369.6722640994814,,,,,,,,,,,,,,,,,369.6722640994814,,"rgba(38, 166, 154, 0.5)"
2021-06-25 00:00:00+00:00,373.8942876997,373.9321974396,370.8046438937,372.4347627116,2056384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,370.4343072760702,,,,,,,,,,,,,,,,,370.4343072760702,,"rgba(38, 166, 154, 0.5)"
2021-06-28 00:00:00+00:00,375.8182070022,376.6522212811,372.5864016714,374.3586820141,1645500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,371.16718880363277,,,,,,,,,,,,,,,,,371.16718880363277,,"rgba(38, 166, 154, 0.5)"
2021-06-29 00:00:00+00:00,377.9506298744,378.5673265691,374.8041214585,375.5907485625,1523560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,371.9330391034044,,,,,,,,,,,,,,,,,371.9330391034044,,"rgba(38, 166, 154, 0.5)"
2021-06-30 00:00:00+00:00,374.9936701583,379.5428389524,374.3586820141,377.1734802054,2031670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,372.5734499645283,,,,,,,,,,,,,,,,,372.5734499645283,,"rgba(38, 166, 154, 0.5)"
2021-07-01 00:00:00+00:00,373.9132425697,376.9081120258,373.2972092955,375.5907485625,1523396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,372.7848049161624,,,,,,,,,,,,,,,,,372.7848049161624,,"rgba(38, 166, 154, 0.5)"
2021-07-02 00:00:00+00:00,378.0927913992,379.827162002,375.4140891743,375.5054516476,1677408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,373.2760547303632,,,,,,,,,,,,,,,,,373.2760547303632,,"rgba(38, 166, 154, 0.5)"
