date,Close,High,Low,Open,Volume,OB_c0,OB_High_c0,OB_Low_c0,OB_Mitigated_Index_c0,OB,OB_High,OB_Low,OB_Mitigated_Index,aVWAP_OB_bull_c0_433,aVWAP_OB_bull_c0_406,aVWAP_OB_bull_c0_385,aVWAP_OB_bull_c0_274,aVWAP_OB_bull_c0_249,aVWAP_OB_bull_c0_140,aVWAP_OB_bear_c0_425,aVWAP_OB_bear_c0_38,aVWAP_QQEMOD_bull_dot_c0_303,aVWAP_QQEMOD_bull_dot_c0_335,aVWAP_QQEMOD_bull_dot_c0_398,aVWAP_QQEMOD_bull_dot_c0_414,aVWAP_QQEMOD_bull_dot_c0_440,aVWAP_QQEMOD_bear_dot_c0_274,aVWAP_QQEMOD_bear_dot_c0_315,aVWAP_QQEMOD_bear_dot_c0_385,aVWAP_QQEMOD_bear_dot_c0_406,aVWAP_QQEMOD_bear_dot_c0_433,aVWAP_price_maxima_minima_valley_c0_1,aVWAP_price_maxima_minima_peak_c0_1,color
2024-09-13 00:00:00+00:00,23.65,26.08,22.0,23.0,1828036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,#000000
2024-09-16 00:00:00+00:00,21.65,24.2425,20.515,24.0,246001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2024-09-17 00:00:00+00:00,21.5,22.875,20.92,21.98,101382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2024-09-18 00:00:00+00:00,21.0,22.45,20.688,21.5,53549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2024-09-19 00:00:00+00:00,21.23,21.98,20.2852,21.17,119525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2024-09-20 00:00:00+00:00,22.55,24.49,21.0,21.26,438199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2024-09-23 00:00:00+00:00,22.27,23.0,21.4,22.59,106745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2024-09-24 00:00:00+00:00,22.99,23.25,22.12,22.67,106343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2024-09-25 00:00:00+00:00,23.16,23.75,22.15,23.3,132863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2024-09-26 00:00:00+00:00,24.49,25.31,23.05,23.09,154229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,#000000
