date,Close,High,Low,Open,Volume,OB_c0,OB_High_c0,OB_Low_c0,OB_Mitigated_Index_c0,OB,OB_High,OB_Low,OB_Mitigated_Index,aVWAP_OB_bull_c0_1139,aVWAP_OB_bull_c0_1122,aVWAP_OB_bull_c0_1112,aVWAP_OB_bull_c0_1029,aVWAP_OB_bull_c0_981,aVWAP_OB_bull_c0_964,aVWAP_OB_bull_c0_929,aVWAP_OB_bull_c0_806,aVWAP_OB_bull_c0_785,aVWAP_OB_bull_c0_758,aVWAP_OB_bull_c0_736,aVWAP_OB_bull_c0_690,aVWAP_OB_bull_c0_667,aVWAP_OB_bull_c0_592,aVWAP_OB_bull_c0_574,aVWAP_OB_bull_c0_437,aVWAP_OB_bull_c0_347,aVWAP_OB_bull_c0_320,aVWAP_OB_bull_c0_306,aVWAP_OB_bear_c0_1177,aVWAP_OB_bear_c0_1011,aVWAP_OB_bear_c0_662,aVWAP_OB_bear_c0_632,aVWAP_QQEMOD_bull_dot_c0_960,aVWAP_QQEMOD_bull_dot_c0_1011,aVWAP_QQEMOD_bull_dot_c0_1077,aVWAP_QQEMOD_bull_dot_c0_1154,aVWAP_QQEMOD_bull_dot_c0_1177,aVWAP_QQEMOD_bear_dot_c0_968,aVWAP_QQEMOD_bear_dot_c0_1029,aVWAP_QQEMOD_bear_dot_c0_1090,aVWAP_QQEMOD_bear_dot_c0_1162,aVWAP_QQEMOD_bear_dot_c0_1191,aVWAP_price_maxima_minima_valley_c0_1,aVWAP_price_maxima_minima_peak_c0_1,color
2021-06-21 00:00:00+00:00,1.93,1.95,1.86,1.89,4449157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2021-06-22 00:00:00+00:00,1.86,1.93,1.84,1.91,4418377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-06-23 00:00:00+00:00,1.84,1.915,1.835,1.88,3752747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-06-24 00:00:00+00:00,1.84,1.88,1.82,1.86,2800012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-06-25 00:00:00+00:00,1.81,1.88,1.8,1.87,2173088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-06-28 00:00:00+00:00,1.77,1.83,1.74,1.81,9452435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-06-29 00:00:00+00:00,1.76,1.78,1.71,1.77,3665169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-06-30 00:00:00+00:00,1.81,1.82,1.75,1.77,3626038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-07-01 00:00:00+00:00,1.78,1.85,1.75,1.85,3967292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-07-02 00:00:00+00:00,1.79,1.8299,1.76,1.8,2516174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-07-06 00:00:00+00:00,1.77,1.85,1.76,1.83,3030125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-07-07 00:00:00+00:00,1.75,1.8,1.73,1.8,2428808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-07-08 00:00:00+00:00,1.71,1.78,1.67,1.76,4040056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-07-09 00:00:00+00:00,1.76,1.7899,1.7,1.7,2707284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-07-12 00:00:00+00:00,1.7,1.78,1.69,1.74,4242013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
