date,Close,High,Low,Open,Volume,OB_c0,OB_High_c0,OB_Low_c0,OB_Mitigated_Index_c0,OB,OB_High,OB_Low,OB_Mitigated_Index,aVWAP_OB_bull_c0_462,aVWAP_OB_bull_c0_326,aVWAP_OB_bull_c0_301,aVWAP_OB_bull_c0_208,aVWAP_OB_bull_c0_42,aVWAP_OB_bull_c0_2,aVWAP_OB_bear_c0_408,aVWAP_OB_bear_c0_371,aVWAP_OB_bear_c0_348,aVWAP_OB_bear_c0_333,aVWAP_QQEMOD_bull_dot_c0_124,aVWAP_QQEMOD_bull_dot_c0_162,aVWAP_QQEMOD_bull_dot_c0_333,aVWAP_QQEMOD_bull_dot_c0_466,aVWAP_QQEMOD_bull_dot_c0_507,aVWAP_QQEMOD_bear_dot_c0_114,aVWAP_QQEMOD_bear_dot_c0_150,aVWAP_QQEMOD_bear_dot_c0_208,aVWAP_QQEMOD_bear_dot_c0_462,aVWAP_QQEMOD_bear_dot_c0_488,aVWAP_price_maxima_minima_valley_c0_1,aVWAP_price_maxima_minima_peak_c0_1,color
2024-06-06 00:00:00+00:00,27.0,27.26,26.0,26.0,1044167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,26.753333333333334,,#000000
2024-06-07 00:00:00+00:00,27.14,27.64,26.925,27.49,671787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,26.941903309568126,,"rgba(38, 166, 154, 0.5)"
2024-06-10 00:00:00+00:00,27.25,27.29,26.0,27.05,477890,1.0,27.29,26.0,0.0,0.0,0.0,0.0,0.0,,,,,,26.846666666666664,,,,,,,,,,,,,,,26.921157696262814,,"rgba(38, 166, 154, 0.5)"
2024-06-11 00:00:00+00:00,26.99,27.36,26.54,27.36,224613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,26.883968784949435,,,,,,,,,,,,,,,26.92507473773567,,"rgba(38, 166, 154, 0.5)"
2024-06-12 00:00:00+00:00,27.18,27.6,26.45,26.9,226511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,26.9309521349158,,,,,,,,,,,,,,,26.938056837864703,,"rgba(38, 166, 154, 0.5)"
2024-06-13 00:00:00+00:00,28.88,29.175,27.82,27.82,446075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,27.48049649271186,,,,,,,,,,,,,,,27.18150319918983,,"rgba(38, 166, 154, 0.5)"
2024-06-14 00:00:00+00:00,30.29,31.33,29.62,29.88,332802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,28.051993131685023,,,,,,,,,,,,,,,27.49564111498427,,"rgba(38, 166, 154, 0.5)"
2024-06-17 00:00:00+00:00,30.39,30.87,28.89,30.29,524170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,28.521198614942275,,,,,,,,,,,,,,,27.834778199508698,,"rgba(38, 166, 154, 0.5)"
2024-06-18 00:00:00+00:00,31.25,31.3099,30.55,30.95,331316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,28.846318083970218,,,,,,,,,,,,,,,28.082673451247402,,"rgba(38, 166, 154, 0.5)"
2024-06-20 00:00:00+00:00,30.5,31.5,30.01,31.31,307470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,29.041635869530257,,,,,,,,,,,,,,,28.256111386301693,,"rgba(38, 166, 154, 0.5)"
