date,Close,High,Low,Open,Volume,color,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL
2026-05-26 00:00:00+00:00,23.5542,23.5542,23.52,23.52,429,#000000,,,False,False,False,False,False
2026-05-27 00:00:00+00:00,23.545,23.63,23.51,23.63,9741,"rgba(239, 83, 80, 0.5)",0.0,,False,False,False,True,False
2026-05-28 00:00:00+00:00,23.695,23.695,23.55,23.55,649,"rgba(239, 83, 80, 0.5)",31.57290470723307,-113.14580941446613,False,False,False,True,True
2026-05-29 00:00:00+00:00,23.75,23.78,23.75,23.765,1481,"rgba(38, 166, 154, 0.5)",53.10813930984109,-90.77410230313937,False,False,True,False,True
2026-06-01 00:00:00+00:00,23.8038,23.87,23.72,23.72,1700,"rgba(38, 166, 154, 0.5)",67.75697945735197,-74.15727510317248,False,False,True,False,True
2026-06-02 00:00:00+00:00,23.8707,23.88,23.7802,23.7802,736,"rgba(38, 166, 154, 0.5)",77.75724347865341,-61.070535003870475,False,False,True,False,True
2026-06-03 00:00:00+00:00,23.7204,23.88,23.72,23.88,9219,"rgba(38, 166, 154, 0.5)",72.33311188300057,-61.070535003870475,False,False,True,False,True
2026-06-04 00:00:00+00:00,23.8156,23.8156,23.77,23.77,277,"rgba(38, 166, 154, 0.5)",71.35426958614417,-58.15628497967822,False,False,True,False,True
2026-06-05 00:00:00+00:00,23.2054,23.78,23.165,23.78,4060,"rgba(38, 166, 154, 0.5)",57.01765763383522,-58.15628497967822,False,False,True,False,True
2026-06-08 00:00:00+00:00,23.2429,23.38,23.2429,23.365,724,#000000,48.37835287599671,-58.15628497967822,False,False,False,False,True
2026-06-09 00:00:00+00:00,23.176,23.44,22.79,23.44,2237,"rgba(239, 83, 80, 0.5)",41.89145552683431,-58.15628497967822,False,False,False,True,True
2026-06-10 00:00:00+00:00,22.8533,22.98,22.8533,22.98,2657,"rgba(239, 83, 80, 0.5)",34.951829521794295,-58.15628497967822,False,False,False,True,True
2026-06-11 00:00:00+00:00,23.2447,23.2447,23.1999,23.2,6401,"rgba(239, 83, 80, 0.5)",37.31729832701599,-58.15628497967822,False,False,False,True,True
2026-06-12 00:00:00+00:00,23.356,23.38,23.356,23.38,111,"rgba(239, 83, 80, 0.5)",40.37686309278183,-58.15628497967822,False,False,False,True,True
2026-06-15 00:00:00+00:00,23.7208,23.8,23.7208,23.735,911,"rgba(239, 83, 80, 0.5)",46.28201443933426,-51.90498157657482,False,False,False,True,True
2026-06-16 00:00:00+00:00,23.612,23.71,23.612,23.71,113,#000000,48.93329954710484,-45.297549385423956,False,False,False,False,True
2026-06-17 00:00:00+00:00,23.3176,23.64,23.3176,23.64,475,#000000,47.71800590435398,-42.63815844237528,False,False,False,False,True
