date,Close,High,Low,Open,Volume,OB_c0,OB_High_c0,OB_Low_c0,OB_Mitigated_Index_c0,OB,OB_High,OB_Low,OB_Mitigated_Index,aVWAP_OB_bull_c0_1220,aVWAP_OB_bull_c0_1198,aVWAP_OB_bull_c0_489,aVWAP_OB_bear_c0_496,aVWAP_OB_bear_c0_310,aVWAP_OB_bear_c0_291,aVWAP_OB_bear_c0_270,aVWAP_OB_bear_c0_240,aVWAP_OB_bear_c0_145,aVWAP_OB_bear_c0_2,aVWAP_QQEMOD_bull_dot_c0_981,aVWAP_QQEMOD_bull_dot_c0_1066,aVWAP_QQEMOD_bull_dot_c0_1151,aVWAP_QQEMOD_bull_dot_c0_1168,aVWAP_QQEMOD_bull_dot_c0_1243,aVWAP_QQEMOD_bear_dot_c0_1046,aVWAP_QQEMOD_bear_dot_c0_1109,aVWAP_QQEMOD_bear_dot_c0_1162,aVWAP_QQEMOD_bear_dot_c0_1174,aVWAP_QQEMOD_bear_dot_c0_1253,aVWAP_price_maxima_minima_valley_c0_1,aVWAP_price_maxima_minima_peak_c0_1,color
2021-06-21 00:00:00+00:00,24.02,24.39,23.75,24.05,279801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,#000000
2021-06-22 00:00:00+00:00,24.06,24.3,23.905,24.0,183231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)"
2021-06-23 00:00:00+00:00,24.02,24.47,24.0,24.17,344235,-1.0,24.47,24.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,24.163333333333334,,,,,,,,,,,,24.163333333333334,"rgba(38, 166, 154, 0.5)"
2021-06-24 00:00:00+00:00,23.9,24.2799,23.88,24.24,213648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,24.10842934522113,,,,,,,,,,,,24.10842934522113,"rgba(38, 166, 154, 0.5)"
2021-06-25 00:00:00+00:00,24.11,24.2,23.91,24.1,275419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,24.096829578872168,,,,,,,,,,,,24.096829578872168,"rgba(38, 166, 154, 0.5)"
2021-06-28 00:00:00+00:00,23.84,24.36,23.83,24.17,322726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,24.07258954085311,,,,,,,,,,,,24.07258954085311,#000000
2021-06-29 00:00:00+00:00,23.97,24.0883,23.82,24.0,348103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,24.046401652094577,,,,,,,,,,,,24.046401652094577,#000000
2021-06-30 00:00:00+00:00,23.86,24.17,23.76,24.0,382641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,24.022795172584008,,,,,,,,,,,,24.022795172584008,#000000
2021-07-01 00:00:00+00:00,23.81,24.015,23.71,24.0,269244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,24.000592051898813,,,,,,,,,,,,24.000592051898813,"rgba(239, 83, 80, 0.5)"
2021-07-02 00:00:00+00:00,23.8,23.84,23.66,23.8,259581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,23.97545433835473,,,,,,,,,,,,23.97545433835473,"rgba(239, 83, 80, 0.5)"
2021-07-06 00:00:00+00:00,23.95,24.29,23.8,24.04,464156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,23.981559640716874,,,,,,,,,,,,23.981559640716874,"rgba(239, 83, 80, 0.5)"
2021-07-07 00:00:00+00:00,23.92,24.1,23.65,24.03,327679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,23.97220568667811,,,,,,,,,,,,23.97220568667811,"rgba(239, 83, 80, 0.5)"
2021-07-08 00:00:00+00:00,23.75,23.93,23.67,23.75,300105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,23.95604576089528,,,,,,,,,,,,23.95604576089528,"rgba(239, 83, 80, 0.5)"
2021-07-09 00:00:00+00:00,23.74,23.94,23.695,23.78,139421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,23.949761647478987,,,,,,,,,,,,23.949761647478987,"rgba(239, 83, 80, 0.5)"
2021-07-12 00:00:00+00:00,23.6,23.92,23.56,23.85,317926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,23.92919982821692,,,,,,,,,,,,23.92919982821692,"rgba(239, 83, 80, 0.5)"
2021-07-13 00:00:00+00:00,23.0,23.73,22.95,23.59,266136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,23.885009688373017,,,,,,,,,,,,23.885009688373017,"rgba(239, 83, 80, 0.5)"
2021-07-14 00:00:00+00:00,22.57,23.27,22.545,23.1,394741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,23.79199331454868,,,,,,,,,,,,23.79199331454868,"rgba(239, 83, 80, 0.5)"
2021-07-15 00:00:00+00:00,22.73,22.76,22.04,22.5,740663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,23.615055186973674,,,,,,,,,,,,23.615055186973674,"rgba(239, 83, 80, 0.5)"
2021-07-16 00:00:00+00:00,22.73,23.07,22.5,22.8,428439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,23.552330196020165,,,,,,,,,,,,23.552330196020165,"rgba(239, 83, 80, 0.5)"
