date,Close,High,Low,Open,Volume,OB_c0,OB_High_c0,OB_Low_c0,OB_Mitigated_Index_c0,OB,OB_High,OB_Low,OB_Mitigated_Index,aVWAP_OB_bull_c0_202,aVWAP_OB_bull_c0_143,aVWAP_OB_bull_c0_116,aVWAP_OB_bull_c0_44,aVWAP_OB_bear_c0_229,aVWAP_OB_bear_c0_218,aVWAP_OB_bear_c0_38,aVWAP_OB_bear_c0_25,aVWAP_QQEMOD_bull_dot_c0_89,aVWAP_QQEMOD_bull_dot_c0_161,aVWAP_QQEMOD_bull_dot_c0_218,aVWAP_QQEMOD_bear_dot_c0_103,aVWAP_QQEMOD_bear_dot_c0_195,aVWAP_QQEMOD_bear_dot_c0_253,aVWAP_price_maxima_minima_valley_c0_1,aVWAP_price_maxima_minima_peak_c0_1,color
2025-06-09 00:00:00+00:00,15.089,15.21,14.91,14.985,131171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,#000000
2025-06-10 00:00:00+00:00,14.6,15.2599,14.54,15.18,39626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-06-11 00:00:00+00:00,14.26,14.82,14.22,14.76,77732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-06-12 00:00:00+00:00,14.8,14.98,14.39,14.39,112064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-06-13 00:00:00+00:00,15.35,15.42,14.67,14.8,76089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-06-16 00:00:00+00:00,15.03,15.785,15.0,15.55,90424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-06-17 00:00:00+00:00,14.11,14.95,13.83,14.95,105597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-06-18 00:00:00+00:00,13.8,14.28,13.74,13.91,114863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-06-20 00:00:00+00:00,13.86,14.03,13.74,13.79,220393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-06-23 00:00:00+00:00,13.89,14.38,13.72,13.99,148117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
