date,Close,High,Low,Open,Volume,OB_c0,OB_High_c0,OB_Low_c0,OB_Mitigated_Index_c0,OB,OB_High,OB_Low,OB_Mitigated_Index,aVWAP_OB_bull_c0_347,aVWAP_OB_bull_c0_184,aVWAP_OB_bull_c0_171,aVWAP_OB_bull_c0_134,aVWAP_OB_bull_c0_101,aVWAP_OB_bull_c0_89,aVWAP_OB_bear_c0_326,aVWAP_OB_bear_c0_293,aVWAP_QQEMOD_bull_dot_c0_148,aVWAP_QQEMOD_bull_dot_c0_219,aVWAP_QQEMOD_bull_dot_c0_285,aVWAP_QQEMOD_bull_dot_c0_326,aVWAP_QQEMOD_bull_dot_c0_359,aVWAP_QQEMOD_bear_dot_c0_159,aVWAP_QQEMOD_bear_dot_c0_245,aVWAP_QQEMOD_bear_dot_c0_309,aVWAP_QQEMOD_bear_dot_c0_338,aVWAP_QQEMOD_bear_dot_c0_369,aVWAP_price_maxima_minima_valley_c0_1,aVWAP_price_maxima_minima_peak_c0_1,color
2024-12-24 00:00:00+00:00,26.8627350792,27.0595660062,26.5018783798,26.656531251,293849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,#000000
2024-12-26 00:00:00+00:00,26.6096667446,27.1439221178,26.525310633,26.590920942,611967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2024-12-27 00:00:00+00:00,26.4222087189,26.7033957574,26.2628693971,26.4971919292,755902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2024-12-30 00:00:00+00:00,26.3097339035,26.9377182895,25.8692075432,25.9723094573,848174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2024-12-31 00:00:00+00:00,25.9254449509,26.6471583497,25.8879533457,26.3565984099,918206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-01-02 00:00:00+00:00,26.2909881009,26.6940228561,25.8223430367,26.0754113714,570818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-01-03 00:00:00+00:00,26.72214156,26.853362178,26.2066319894,26.4784461266,624775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-01-06 00:00:00+00:00,27.1907866242,27.4907194653,26.7408873626,26.8814808818,852306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-01-07 00:00:00+00:00,27.350125946,27.6781774909,27.1031499972,27.3313801434,763727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,#000000
2025-01-08 00:00:00+00:00,25.8504617406,27.1814137229,25.6864359681,27.1814137229,1225389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-01-10 00:00:00+00:00,25.269341861,25.4474269854,24.4351536467,25.3536979726,1285709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-01-13 00:00:00+00:00,24.8475613032,25.1006296379,24.1992377214,25.1006296379,926703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-01-14 00:00:00+00:00,24.3507975352,25.1287483417,24.3133059301,25.1006296379,856173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-01-15 00:00:00+00:00,23.9290169774,24.9600361186,23.8634066684,24.9600361186,1417950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-01-16 00:00:00+00:00,24.4070349429,24.8100696981,23.7115656676,23.8915253723,1105170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-01-17 00:00:00+00:00,23.7603047543,24.4632723506,23.5166093209,24.2476956211,1357359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-01-21 00:00:00+00:00,23.7321860505,23.9571356813,23.2354222824,23.94776278,1350440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-01-22 00:00:00+00:00,23.0760829606,23.9852543851,22.9448623426,23.8071692607,1793002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-01-23 00:00:00+00:00,23.4041345055,23.9382961497,22.8323875272,23.0104726516,2661949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-01-24 00:00:00+00:00,23.9665085826,24.3320517326,23.3900751536,23.4322532094,1159611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-01-27 00:00:00+00:00,23.7321860505,23.9008982736,23.0385913555,23.7603047543,1423768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-01-28 00:00:00+00:00,23.057337158,23.8727795697,22.7988325406,23.8727795697,1104711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-01-29 00:00:00+00:00,23.2354222824,23.5728467286,23.0105663806,23.1979306773,1033945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-01-30 00:00:00+00:00,23.9102711749,23.9758814838,23.450999012,23.6572028402,1205199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-01-31 00:00:00+00:00,25.0162735263,25.7153982331,24.2008311147,24.7819509942,1653081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-02-03 00:00:00+00:00,24.2758143249,24.8006967968,24.0368053422,24.3133059301,1207122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-02-04 00:00:00+00:00,24.7350864878,25.1193754405,24.1539666082,24.2664414236,1086867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,#000000
2025-02-05 00:00:00+00:00,25.4099353803,25.5692747021,24.6882219814,25.0162735263,2094644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,#000000
