date,Close,High,Low,Open,Volume,aVWAP_price_maxima_minima_valley_c0_1,aVWAP_price_maxima_minima_valley_c0_2,aVWAP_price_maxima_minima_peak_c0_1,aVWAP_price_maxima_minima_peak_c0_2,color
2026-05-26 00:00:00+00:00,30.71,30.93,29.82,29.82,120595,,,30.486666666666668,,#000000
2026-05-27 00:00:00+00:00,29.39,30.39,29.28,29.74,221315,,29.686666666666667,29.968834488608117,,"rgba(239, 83, 80, 0.5)"
2026-05-28 00:00:00+00:00,29.33,29.61,28.33,29.39,294433,,29.346038381793697,29.562201784257862,,"rgba(239, 83, 80, 0.5)"
2026-05-29 00:00:00+00:00,30.2,30.46,29.27,29.35,150894,,29.4887806998859,29.641644523821927,,"rgba(239, 83, 80, 0.5)"
2026-06-01 00:00:00+00:00,28.6,29.28,27.96,29.0,160238,,29.31913101054567,29.467735419580112,,"rgba(239, 83, 80, 0.5)"
2026-06-02 00:00:00+00:00,29.1,29.43,28.34,28.78,83868,,29.285752776838383,29.426175711345948,,"rgba(239, 83, 80, 0.5)"
2026-06-03 00:00:00+00:00,27.9,29.0,27.65,29.0,73172,,29.203768229801884,29.343839787900873,,"rgba(239, 83, 80, 0.5)"
2026-06-04 00:00:00+00:00,28.29,29.21,28.21,28.32,98543,,29.146072564758953,29.280454236897416,,"rgba(239, 83, 80, 0.5)"
2026-06-05 00:00:00+00:00,25.75,28.14,25.63,28.14,296123,,28.579122956420566,28.732566892634484,,"rgba(239, 83, 80, 0.5)"
2026-06-08 00:00:00+00:00,26.15,26.64,25.7,25.73,256896,,28.199658865092985,28.35671445310579,,"rgba(239, 83, 80, 0.5)"
2026-06-09 00:00:00+00:00,25.03,26.41,24.605,26.4,117877,,28.007966405244638,28.16747878283031,,"rgba(239, 83, 80, 0.5)"
2026-06-10 00:00:00+00:00,24.02,25.33,23.9,24.61,382282,,27.365119949935405,27.531965495483036,,"rgba(239, 83, 80, 0.5)"
2026-06-11 00:00:00+00:00,25.25,25.53,23.6801,23.91,674995,24.82003333333333,26.753898596201473,26.907469967907677,,"rgba(239, 83, 80, 0.5)"
2026-06-12 00:00:00+00:00,26.22,26.53,25.23,25.72,408324,25.262272922226355,26.657421146840388,26.795699409502163,,"rgba(239, 83, 80, 0.5)"
2026-06-15 00:00:00+00:00,27.87,28.72,27.58,27.76,841807,26.484187859132337,26.94748818917707,27.0495619222078,,"rgba(239, 83, 80, 0.5)"
2026-06-16 00:00:00+00:00,28.58,28.69,27.76,28.38,591685,26.921260205805417,27.125007620676868,27.209942730817442,,"rgba(239, 83, 80, 0.5)"
2026-06-17 00:00:00+00:00,27.62,29.35,27.52,28.55,370954,27.0808133532911,27.201682903624885,27.278695450260084,28.163333333333338,"rgba(239, 83, 80, 0.5)"
