date,Close,High,Low,Open,Volume,aVWAP_price_maxima_minima_valley_c0_1,aVWAP_price_maxima_minima_valley_c0_2,aVWAP_price_maxima_minima_valley_c0_3,aVWAP_price_maxima_minima_valley_c0_4,aVWAP_price_maxima_minima_valley_c0_5,aVWAP_price_maxima_minima_valley_c0_6,aVWAP_price_maxima_minima_valley_c0_7,aVWAP_price_maxima_minima_peak_c0_1,aVWAP_price_maxima_minima_peak_c0_2,aVWAP_price_maxima_minima_peak_c0_3,aVWAP_price_maxima_minima_peak_c0_4,aVWAP_price_maxima_minima_peak_c0_5,aVWAP_price_maxima_minima_peak_c0_6,aVWAP_price_maxima_minima_peak_c0_7,color
2026-02-19 00:00:00+00:00,23.85,50.0,18.0,50.0,37418,,,,,,,,30.616666666666667,,,,,,,#000000
2026-02-20 00:00:00+00:00,14.778,20.663,13.0,19.4,27739,,,,,,,16.147,24.456559791478018,,,,,,,"rgba(239, 83, 80, 0.5)"
2026-02-23 00:00:00+00:00,10.33,14.09,8.02,13.81,1231652,,,,,,,10.93081120928025,11.49882495648935,,,,,,,"rgba(239, 83, 80, 0.5)"
2026-02-24 00:00:00+00:00,7.98,9.39,7.38,8.65,184386,,,,,,,10.58844250854991,11.09439620914194,,,,,,,"rgba(239, 83, 80, 0.5)"
2026-02-25 00:00:00+00:00,5.68,7.63,5.22,7.4,1206606,,,,,,,8.579949697710356,8.88673203596546,,,,,,,"rgba(239, 83, 80, 0.5)"
2026-02-26 00:00:00+00:00,4.08,5.2499,3.665,4.82,633168,,,,,,,7.760745739617464,8.018267821048616,,,,,,,"rgba(239, 83, 80, 0.5)"
2026-02-27 00:00:00+00:00,3.82,3.99,3.21,3.63,460196,,,,,,,7.258305045916119,7.489456866882737,,,,,,,"rgba(239, 83, 80, 0.5)"
2026-03-02 00:00:00+00:00,3.39,3.82,3.22,3.52,353509,,,,,,,6.932027361092399,7.146368765888998,,,,,,,"rgba(239, 83, 80, 0.5)"
2026-03-03 00:00:00+00:00,2.95,3.84,2.9,3.15,338981,,,,,,,6.649148665276449,6.849614858707998,,,,,,,"rgba(239, 83, 80, 0.5)"
2026-03-04 00:00:00+00:00,3.34,3.42,2.81,3.05,333763,,,,,,,6.407107609517819,6.5955400031229505,,,,,,,"rgba(239, 83, 80, 0.5)"
2026-03-05 00:00:00+00:00,3.1,3.49,2.93,3.15,226042,,,,,,,6.260798029867109,6.4418559686709855,,,,,,,"rgba(239, 83, 80, 0.5)"
2026-03-06 00:00:00+00:00,2.8,3.0288,2.72,2.97,173624,,,,,,,6.146232437672633,6.322076481667409,,,,,,,"rgba(239, 83, 80, 0.5)"
