date,Close,High,Low,Open,Volume,aVWAP_price_maxima_minima_valley_c0_1,aVWAP_price_maxima_minima_peak_c0_1,aVWAP_price_maxima_minima_peak_c0_2,color
2026-05-26 00:00:00+00:00,23.5542,23.5542,23.52,23.52,429,,,,#000000
2026-05-27 00:00:00+00:00,23.545,23.63,23.51,23.63,9741,,,,"rgba(239, 83, 80, 0.5)"
2026-05-28 00:00:00+00:00,23.695,23.695,23.55,23.55,649,,,,"rgba(239, 83, 80, 0.5)"
2026-05-29 00:00:00+00:00,23.75,23.78,23.75,23.765,1481,,,,"rgba(38, 166, 154, 0.5)"
2026-06-01 00:00:00+00:00,23.8038,23.87,23.72,23.72,1700,,,,"rgba(38, 166, 154, 0.5)"
2026-06-02 00:00:00+00:00,23.8707,23.88,23.7802,23.7802,736,,23.843633333333337,,"rgba(38, 166, 154, 0.5)"
2026-06-03 00:00:00+00:00,23.7204,23.88,23.72,23.88,9219,,23.77865427758245,,"rgba(38, 166, 154, 0.5)"
2026-06-04 00:00:00+00:00,23.8156,23.8156,23.77,23.77,277,,23.77924297628355,,"rgba(38, 166, 154, 0.5)"
2026-06-05 00:00:00+00:00,23.2054,23.78,23.165,23.78,4060,,23.66681281835992,,"rgba(38, 166, 154, 0.5)"
2026-06-08 00:00:00+00:00,23.2429,23.38,23.2429,23.365,724,,23.648577197655833,,#000000
2026-06-09 00:00:00+00:00,23.176,23.44,22.79,23.44,2237,23.135333333333335,23.582030711567068,,"rgba(239, 83, 80, 0.5)"
2026-06-10 00:00:00+00:00,22.8533,22.98,22.8533,22.98,2657,23.005143590791448,23.490417274401473,,"rgba(239, 83, 80, 0.5)"
2026-06-11 00:00:00+00:00,23.2447,23.2447,23.1999,23.2,6401,23.13243994392799,23.427005600952704,,"rgba(239, 83, 80, 0.5)"
2026-06-12 00:00:00+00:00,23.356,23.38,23.356,23.38,111,23.134693421590974,23.426740911614054,,"rgba(239, 83, 80, 0.5)"
2026-06-15 00:00:00+00:00,23.7208,23.8,23.7208,23.735,911,23.1799961327163,23.437421708801324,,"rgba(239, 83, 80, 0.5)"
2026-06-16 00:00:00+00:00,23.612,23.71,23.612,23.71,113,23.18422041029767,23.43827497267361,,#000000
2026-06-17 00:00:00+00:00,23.3176,23.64,23.3176,23.64,475,23.193085344181846,23.43805026921194,23.42506666666667,#000000
