date,Close,High,Low,Open,Volume,aVWAP_price_maxima_minima_valley_c0_1,aVWAP_price_maxima_minima_peak_c0_1,color
2026-06-04 00:00:00+00:00,25.2,25.2,25.2,25.2,200,,,#000000
2026-06-05 00:00:00+00:00,25.18,25.18,25.18,25.18,0,,,"rgba(239, 83, 80, 0.5)"
2026-06-08 00:00:00+00:00,25.35,25.35,25.35,25.35,0,,,"rgba(239, 83, 80, 0.5)"
2026-06-09 00:00:00+00:00,25.32,25.4,25.25,25.25,3400,25.32333333333333,25.32333333333333,"rgba(239, 83, 80, 0.5)"
2026-06-10 00:00:00+00:00,25.4,25.4,25.32,25.32,1000,25.334696969696967,25.334696969696967,"rgba(38, 166, 154, 0.5)"
