date,Close,High,Low,Open,Volume,aVWAP_QQEMOD_bear_dot_c0_91,aVWAP_QQEMOD_bear_dot_c0_153,aVWAP_QQEMOD_bear_dot_c0_185,aVWAP_QQEMOD_bear_dot_c0_209,aVWAP_QQEMOD_bear_dot_c0_226,aVWAP_QQEMOD_bear_dot_c0_276,aVWAP_QQEMOD_bear_dot_c0_338,aVWAP_QQEMOD_bear_dot_c0_421,aVWAP_QQEMOD_bear_dot_c0_482,aVWAP_QQEMOD_bear_dot_c0_520,aVWAP_QQEMOD_bear_dot_c0_570,aVWAP_price_maxima_minima_valley_c0_1,aVWAP_price_maxima_minima_valley_c0_2,aVWAP_price_maxima_minima_valley_c0_3,aVWAP_price_maxima_minima_valley_c0_4,aVWAP_price_maxima_minima_valley_c0_5,aVWAP_price_maxima_minima_valley_c0_6,aVWAP_price_maxima_minima_valley_c0_7,aVWAP_price_maxima_minima_valley_c0_8,aVWAP_price_maxima_minima_valley_c0_9,aVWAP_price_maxima_minima_valley_c0_10,aVWAP_price_maxima_minima_peak_c0_1,aVWAP_price_maxima_minima_peak_c0_2,aVWAP_price_maxima_minima_peak_c0_3,aVWAP_price_maxima_minima_peak_c0_4,aVWAP_price_maxima_minima_peak_c0_5,aVWAP_price_maxima_minima_peak_c0_6,aVWAP_price_maxima_minima_peak_c0_7,aVWAP_price_maxima_minima_peak_c0_8,aVWAP_price_maxima_minima_peak_c0_9,aVWAP_price_maxima_minima_peak_c0_10,color
2021-06-21 00:00:00+00:00,6.1,6.38,6.03,6.31,179989,,,,,,,,,,,,,,,,,,,,,,6.169999999999999,,,,,,,,,,#000000
2021-06-22 00:00:00+00:00,5.75,6.16,5.73,6.11,157306,,,,,,,,,,,,,,,,,,,,,,6.034751211847197,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-06-23 00:00:00+00:00,5.52,5.88,5.5,5.85,194990,,,,,,,,,,,,,,,,,,,,,,5.8877012815816085,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-06-24 00:00:00+00:00,5.56,5.65,5.45,5.6,170399,,,,,,,,,,,,,,,,,,,,,,5.806617943959637,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-06-25 00:00:00+00:00,5.26,5.5565,5.26,5.54,249947,,,,,,,,,,,,,,,,,,,,,,5.689130249278053,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-06-28 00:00:00+00:00,5.32,5.44,5.22,5.27,140681,,,,,,,,,,,,,,,,,,,,,,5.642490553321772,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-06-29 00:00:00+00:00,5.47,5.47,5.07,5.36,172110,,,,,,,,,,,,,,,,,,,,,,5.60089545766814,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-06-30 00:00:00+00:00,5.23,5.4473,5.15,5.38,138193,,,,,,,,,,,,,,,,,,,,,,5.5688848828204325,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-07-01 00:00:00+00:00,5.32,5.35,5.17,5.23,101901,,,,,,,,,,,,,,,,,,,,,,5.549331680832354,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-07-02 00:00:00+00:00,5.05,5.35,4.96,5.35,214918,,,,,,,,,,,,,,,,,,,,,,5.495699221708011,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-07-06 00:00:00+00:00,4.89,5.2,4.81,5.2,141180,,,,,,,,,,,,,,,,,,,,,,5.455578758432199,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-07-07 00:00:00+00:00,4.8,4.9,4.71,4.83,100167,,,,,,,,,,,,,,,,,,,,,,5.422275618328448,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-07-08 00:00:00+00:00,4.63,4.7343,4.52,4.67,80728,,,,,,,,,,,,,,,,,,,,,,5.3908866700709765,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-07-09 00:00:00+00:00,5.05,5.05,4.62,4.68,60339,,,,,,,,,,,,,,,,,,,,,,5.37699248904343,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-07-12 00:00:00+00:00,4.95,5.0572,4.8656,5.05,81603,,,,,,,,,,,,,,,,,,,,,,5.361325538728037,,,4.957599999999999,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-07-13 00:00:00+00:00,4.6,4.92,4.6,4.92,80039,,,,,,,,,,,,,,,,,,,,,,5.3381864471617595,,,4.8333473115485655,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-07-14 00:00:00+00:00,4.59,4.7701,4.57,4.65,76103,,,,,,,,,,,,,,,,,,,,,,5.315594792074771,,,4.772533847469628,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-07-15 00:00:00+00:00,4.44,4.65,4.33,4.6,102052,,,,,,,,,,,,,,,,,,,,,,5.280405697307631,,,4.682674281703488,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-07-16 00:00:00+00:00,4.0,4.39,3.999,4.39,334045,,,,,,,,,,,,,,,,,,,,,,5.141967982081782,,,4.408530745436863,,,,,,,"rgba(239, 83, 80, 0.5)"
2021-07-19 00:00:00+00:00,3.7,3.95,3.5659,3.91,303202,,,,,,,,,,,,,,,,,,,,,,5.003815776689572,,,4.200644268323638,,,,,,,"rgba(239, 83, 80, 0.5)"
