date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_912,Gap_Up_aVWAP_910,Gap_Up_aVWAP_909,Gap_Up_aVWAP_901,Gap_Up_aVWAP_900,Gap_Up_aVWAP_899,Gap_Up_aVWAP_898,Gap_Up_aVWAP_892,Gap_Up_aVWAP_888,Gap_Up_aVWAP_887,Gap_Down_aVWAP_914,Gap_Down_aVWAP_911,Gap_Down_aVWAP_907,Gap_Down_aVWAP_906,Gap_Down_aVWAP_903,Gap_Down_aVWAP_902,Gap_Down_aVWAP_897,Gap_Down_aVWAP_895,Gap_Down_aVWAP_894,Gap_Down_aVWAP_893,aVWAP_OB_bull_817,aVWAP_OB_bull_584,aVWAP_OB_bull_457,aVWAP_OB_bull_196,aVWAP_OB_bear_803,aVWAP_OB_bear_106,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,65.0483805575,65.096258865,64.6676340168,65.0871391874,4188,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,1.0,63.39958,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,4188.0,False,False,False,False
2022-01-04 00:00:00+00:00,64.8956259573,65.0597801545,64.7569156607,65.0506604769,1331,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-1331,-52.19607843137255,False,False,False,False,4075.9607843137255,False,False,False,False
2022-01-05 00:00:00+00:00,64.3119665895,65.0415407993,64.3119665895,64.8454677304,1244,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-2575,-151.12956555171087,False,False,False,False,3964.903498654364,False,False,False,False
2022-01-06 00:00:00+00:00,63.8103843203,64.1568408732,63.7556662546,64.0658264905,6674,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-9249,-507.9087982751732,False,False,False,False,4071.1425771385066,False,False,False,False
2022-01-07 00:00:00+00:00,64.0292565832,64.0292565832,63.8651023861,63.8651023861,2304,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.735709206225512,-44.74226656095995,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-6945,-760.3437473624213,False,False,False,False,4001.8428682311146,False,False,False,False
2022-01-10 00:00:00+00:00,62.1870817036,62.1870817036,61.7766962106,62.177962026,2137,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0357239871826245,-44.74226656095995,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-9082,-1086.6832082501694,False,False,False,False,3928.7117753593066,False,False,False,False
2022-01-11 00:00:00+00:00,62.588347519,62.588347519,62.3056375127,62.3785949337,4735,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.229071837585028,-41.15782538449559,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-4347,-1214.5387687109471,False,False,False,False,3960.3309214236474,False,False,False,False
2022-01-12 00:00:00+00:00,63.769345771,63.9288489326,63.2996823735,63.5641530245,3227,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.986605626252953,-31.650776232944807,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1120,-1210.8313660164004,False,False,False,False,3931.5728460737005,False,False,False,False
2022-01-13 00:00:00+00:00,63.6051915738,63.9829286209,63.6051915738,63.8468630308,1184,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.549855006347784,-26.4295958031004,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-2304,-1253.7007242118357,False,False,False,False,3823.8248913257125,False,False,False,False
2022-01-14 00:00:00+00:00,63.1628872092,63.4547168931,63.0078526896,63.1993659197,2419,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.39433826847424,-24.64360483911816,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-4723,-1389.7516762035284,False,False,False,False,3768.7337191168613,False,False,False,False
2022-01-18 00:00:00+00:00,62.4059539666,62.5792278414,62.2691588022,62.5792278414,2599,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.182183946821695,-24.64360483911816,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-7322,-1622.3888653720173,False,False,False,False,3722.861808563259,False,False,False,False
2022-01-19 00:00:00+00:00,62.7789487813,62.8254591372,62.6339459071,62.8254591372,11951,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.072521622014314,-24.004341358807807,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,4629,-1377.2363608476246,False,False,False,False,4045.5338945019544,False,False,False,False
2022-01-20 00:00:00+00:00,62.3329965456,62.9531346239,62.3329965456,62.9531346239,1676,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.108552576640335,-24.004341358807807,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,2953,-1207.4231702261493,False,False,False,False,3952.6109966783483,False,False,False,False
2022-01-21 00:00:00+00:00,61.4533124422,61.9773291183,61.3232658393,61.9773291183,6953,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.181912266557163,-24.004341358807807,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-4000,-1316.9359870800258,False,False,False,False,4070.2733105340994,False,False,False,False
2022-01-24 00:00:00+00:00,60.2984876649,60.417864245,58.6930596164,59.9527606863,20958,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,59.803137175433335,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.07219141310739,-24.004341358807807,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-24958,-2244.0365366062993,False,False,False,False,4732.53710227786,False,False,False,False
2022-01-25 00:00:00+00:00,60.0650239178,60.1989919821,59.4511784171,59.5514948709,22300,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,59.855682032127355,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.691768638056594,-18.767219801623988,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-47258,-4009.290005758993,False,False,False,False,5421.4572159140225,False,False,False,False
2022-01-26 00:00:00+00:00,60.1670731104,61.2112761981,60.1670731104,61.2112761981,1765,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,59.88153425735479,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.660312280538236,-19.813529141853227,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-45493,-5636.102162395895,False,False,False,False,5278.066736858571,False,False,False,False
2022-01-27 00:00:00+00:00,59.9892393968,60.6458561855,59.9892393968,60.417864245,12261,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,59.951434500531846,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.69647590617928,-20.888642572387287,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-57754,-7679.941293282331,False,False,False,False,5551.9072569817645,False,False,False,False
2022-01-28 00:00:00+00:00,59.9942552194,60.080436173,59.1821479272,59.3691013185,12085,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,59.91673910518515,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.085317673421567,-21.704337839243273,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-45669,-9169.708301388906,False,False,False,False,5808.106972394245,False,False,False,False
2022-01-31 00:00:00+00:00,61.1839171652,61.1839171652,60.417864245,60.417864245,23098,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,60.16949070355678,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.923069806015288,-21.704337839243273,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-22571,-9695.249152314833,False,False,False,False,6486.141993084667,False,False,False,False
2022-02-01 00:00:00+00:00,61.9382968981,61.9590897631,61.4027894281,61.7584568554,6189,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,60.26969023838399,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.66851817337631,-22.217987722608747,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-16382,-9957.474675753467,False,False,False,False,6474.489365904877,False,False,False,False
2022-02-02 00:00:00+00:00,62.0411668617,62.1870817036,61.8040552435,61.9955684736,1457,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,60.295029107520016,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.525210610807974,-17.924888408110995,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-14925,-10152.279590429802,False,False,False,False,6277.725077045862,False,False,False,False
2022-02-03 00:00:00+00:00,60.8738481261,61.6399010463,60.8738481261,61.1839171652,44353,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,60.55113048538255,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.377805342120354,-17.924888408110995,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-59278,-12078.77843002079,False,False,False,False,7770.873113240142,False,False,False,False
2022-02-04 00:00:00+00:00,60.3778288602,60.609377475,60.0713164954,60.4543429555,7964,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,60.540770464971295,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.134029829513814,-17.924888408110995,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-67242,-14242.042021000369,False,False,False,False,7778.446716642489,False,False,False,False
2022-02-07 00:00:00+00:00,60.5911381198,60.5911381198,60.4680224719,60.4680224719,2287,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,60.54090836619962,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.16146342611321,-17.924888408110995,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-64955,-16230.785471157218,False,False,False,False,7563.095865009451,False,False,False,False
