date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_882,Gap_Up_aVWAP_870,Gap_Up_aVWAP_822,Gap_Up_aVWAP_771,Gap_Up_aVWAP_753,Gap_Up_aVWAP_715,Gap_Up_aVWAP_597,Gap_Up_aVWAP_545,Gap_Up_aVWAP_473,Gap_Up_aVWAP_469,Gap_Down_aVWAP_816,Gap_Down_aVWAP_666,Gap_Down_aVWAP_651,Gap_Down_aVWAP_603,Gap_Down_aVWAP_453,Gap_Down_aVWAP_440,Gap_Down_aVWAP_357,Gap_Down_aVWAP_215,Gap_Down_aVWAP_182,Gap_Down_aVWAP_158,aVWAP_OB_bull_817,aVWAP_OB_bull_507,aVWAP_OB_bear_808,aVWAP_OB_bear_1,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,3.0,3.22,2.8599,2.9,480958,,,,,,,,,,,,,,,,,,,,,,,,,#000000,-1.0,3.9385571,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,480958.0,False,False,False,False
2022-01-04 00:00:00+00:00,2.91,3.02,2.86,2.9,295763,,,,,,,,,,,,,,,,,,,,,,,,2.9299999999999997,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,-1.0,3.02,2.86,38.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-295763,-11598.549019607843,False,False,False,False,473695.45098039217,False,False,False,False
2022-01-05 00:00:00+00:00,2.91,2.975,2.85,2.94,423345,,,,,,,,,,,,,,,,,,,,,,,,2.9192070106298353,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-295763,-22742.25297962322,False,False,False,False,471720.92349096504,False,False,False,False
2022-01-06 00:00:00+00:00,2.77,2.9,2.67,2.9,229206,,,,,,,,,,,,,,,,,,,,,,,,2.885560895441805,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-524969,-42437.41952944192,False,False,False,False,462210.5343344566,False,False,False,False
2022-01-07 00:00:00+00:00,2.65,2.78,2.57,2.75,270734,,,,,,,,,,,,,,,,,,,,,,,,2.836947460914856,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-795703,-71977.24621456183,False,False,False,False,454701.65063506615,False,False,False,False
2022-01-10 00:00:00+00:00,2.51,2.68,2.44,2.68,400704,,,,,,,,,,,,,,,,,,,,,,,,2.764311430597606,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1196407,-116072.53067673589,False,False,False,False,452584.0957082008,False,False,False,False
2022-01-11 00:00:00+00:00,2.62,2.66,2.46,2.5,232929,,,,,,,,,,,,,,,,,,,,,,,,2.7411388082100125,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.36998763973115,-43.24417799691311,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-963478,-149304.11770902073,False,False,False,False,443970.1703863106,False,False,False,False
2022-01-12 00:00:00+00:00,2.75,2.76,2.66,2.68,398515,,,,,,,,,,,,,,,,,,,,,,,,2.7379868175257362,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.079849034891414,-33.83624880911238,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-564963,-165604.46603415717,False,False,False,False,442187.61468488665,False,False,False,False
2022-01-13 00:00:00+00:00,2.48,2.8042,2.41,2.78,516664,,,,,,,,,,,,,,,,,,,,,,,,2.705646367446331,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.772440310197,-32.21893478841516,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1081627,-201526.91834654319,False,False,False,False,445108.2572462636,False,False,False,False
2022-01-14 00:00:00+00:00,2.58,2.61,2.4104,2.46,240986,,,,,,,,,,,,,,,,,,,,,,,,2.6918560646617786,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.544962411848143,-28.50774942486264,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-840641,-226590.2156662866,False,False,False,False,437103.4628444494,False,False,False,False
2022-01-18 00:00:00+00:00,2.63,2.64,2.45,2.53,250428,,,,,,,,,,,,,,,,,,,,,,,,2.6827493094269874,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.076356092206673,-24.978435957193845,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-590213,-240849.93269898125,False,False,False,False,429782.8564583926,False,False,False,False
2022-01-19 00:00:00+00:00,2.46,2.67,2.36,2.67,355444,,,,,,,,,,,,,,,,,,,,,,,,2.6644513512257397,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.62930112416156,-24.978435957193845,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-945657,-268489.42553431535,False,False,False,False,426867.60718551447,False,False,False,False
2022-01-20 00:00:00+00:00,2.43,2.58,2.41,2.46,223889,,,,,,,,,,,,,,,,,,,,,,,,2.6533042809713705,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.62323848986502,-24.978435957193845,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1169546,-303824.9774741461,False,False,False,False,418907.6618056904,False,False,False,False
2022-01-21 00:00:00+00:00,2.39,2.46,2.32,2.38,310926,,,,,,,,,,,,,,,,,,,,,,,,2.633574796505214,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.115290825493194,-24.978435957193845,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1480472,-349967.9979653561,False,False,False,False,414673.0868329182,False,False,False,False
2022-01-24 00:00:00+00:00,2.41,2.45,2.24,2.33,356275,,,,,,,,,,,,,,,,,,,,,,,,2.6124703255738675,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.40160751702477,-24.978435957193845,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1124197,-380329.9196137735,False,False,False,False,412382.96578064695,False,False,False,False
2022-01-25 00:00:00+00:00,2.35,2.44,2.34,2.37,160838,,,,,,,,,,,,,,,,,,,,,,,,2.604343249105818,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.763829221609697,-24.978435957193845,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1285035,-415808.55021715496,False,False,False,False,402518.4573186608,False,False,False,False
2022-01-26 00:00:00+00:00,2.3,2.43,2.26,2.41,137297,,,,,,,,,,,,,,,,,,,,,,,,2.5965025013965963,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.687884275967132,-24.978435957193845,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1422332,-455280.0580517764,False,False,False,False,392117.6158551839,False,False,False,False
2022-01-27 00:00:00+00:00,2.17,2.35,2.15,2.28,194979,,,,,,,,,,,,,,,,,,,,,,,,2.5819473330583413,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.52105857392357,-24.978435957193845,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-1617311,-500849.89891249104,False,False,False,False,384386.6897432159,False,False,False,False
2022-01-28 00:00:00+00:00,2.18,2.21,2.08,2.21,182160,,,,,,,,,,,,,,,,,,,,,,,,2.566995026534355,"rgba(239, 83, 80, 0.5)",0.0,0.0,,2.156666666666667,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.431248034283218,-24.978435957193845,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-1435151,-537489.1577786679,False,False,False,False,376456.23132191336,False,False,False,False
