date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_443,Gap_Up_aVWAP_441,Gap_Up_aVWAP_436,Gap_Up_aVWAP_427,Gap_Up_aVWAP_419,Gap_Up_aVWAP_417,Gap_Up_aVWAP_415,Gap_Up_aVWAP_410,Gap_Up_aVWAP_409,Gap_Up_aVWAP_402,Gap_Down_aVWAP_438,Gap_Down_aVWAP_435,Gap_Down_aVWAP_428,Gap_Down_aVWAP_424,Gap_Down_aVWAP_423,Gap_Down_aVWAP_421,Gap_Down_aVWAP_416,Gap_Down_aVWAP_414,Gap_Down_aVWAP_413,Gap_Down_aVWAP_407,aVWAP_OB_bull_426,aVWAP_OB_bull_343,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-12-14 17:00:00+00:00,1.315,1.35,1.31,1.345,1240.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,1240.0,False,False,False,False
2023-12-15 17:00:00+00:00,1.335,1.39,1.335,1.365,756.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,756.0,11.720930232558139,False,False,False,False,1232.4961240310079,False,False,False,False
2023-12-18 17:00:00+00:00,1.37,1.37,1.37,1.37,310.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,1066.0,28.066342166937083,False,False,False,False,1218.193858542155,False,False,False,False
2023-12-19 17:00:00+00:00,1.385,1.385,1.37,1.37,156.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,1066.0,44.15833686202333,False,False,False,False,1201.725736704292,False,False,False,False
2023-12-20 17:00:00+00:00,1.36,1.385,1.36,1.37,0.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,1066.0,60.00084326726328,False,False,False,False,1183.094329933683,False,False,False,False
2023-12-21 17:00:00+00:00,1.39,1.4,1.38,1.39,700.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,1766.0,86.450442596453,False,False,False,False,1175.6044953610676,False,False,False,False
2023-12-22 17:00:00+00:00,1.4,1.45,1.39,1.405,1999.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,3765.0,143.48221868022893,False,False,False,False,1188.3703171384154,False,False,False,False
2023-12-25 17:00:00+00:00,1.405,1.405,1.405,1.405,0.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,3765.0,199.62978118131065,False,False,False,False,1169.9459711362695,False,False,False,False
2023-12-26 17:00:00+00:00,1.44,1.44,1.4,1.425,138.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,3903.0,257.0463737211353,False,False,False,False,1153.9468087930713,False,False,False,False
2023-12-27 17:00:00+00:00,1.45,1.46,1.44,1.445,1246.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,1.4483333333333333,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,5149.0,332.89061598902464,False,False,False,False,1155.3739900520934,False,False,False,False
2023-12-28 17:00:00+00:00,1.445,1.445,1.37,1.37,300.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,1.4379840448469168,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.87365006416847,33.68628505775163,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,4849.0,402.90781574113277,False,False,False,False,1142.1123778032238,False,False,False,False
2023-12-29 17:00:00+00:00,1.385,1.385,1.32,1.32,599.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,1.4110870240870241,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.38405313293147,19.933228815788212,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,4250.0,462.5526558071617,False,False,False,False,1133.6920308605381,False,False,False,False
2024-01-01 17:00:00+00:00,1.32,1.32,1.32,1.32,0.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,1.4110870240870241,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.390988512106794,11.608889670866837,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,4250.0,521.2727696706165,False,False,False,False,1116.1154102270414,False,False,False,False
2024-01-02 17:00:00+00:00,1.325,1.345,1.325,1.34,500.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,1.3970189035916825,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.94408186136957,9.025941943431043,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,4750.0,586.8344321563434,False,False,False,False,1106.5632333242966,False,False,False,False
2024-01-03 17:00:00+00:00,1.335,1.35,1.32,1.335,400.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,1.388871921182266,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.50435075453237,6.75984325490802,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,4350.0,645.1780843709737,False,False,False,False,1095.6087645905864,False,False,False,False
2024-01-04 17:00:00+00:00,1.36,1.39,1.36,1.37,800.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,1.3856389250108365,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.53257955997667,6.75984325490802,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,5150.0,715.0202846132842,False,False,False,False,1091.0256829690268,False,False,False,False
2024-01-05 17:00:00+00:00,1.37,1.37,1.34,1.34,334.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,1.3827905400015952,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.87770283981374,6.75984325490802,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,4816.0,778.6013654719928,False,False,False,False,1079.2888506749332,False,False,False,False
2024-01-08 17:00:00+00:00,1.38,1.38,1.35,1.375,430.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,1.3814417444131046,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.231297103005325,6.75984325490802,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,5246.0,847.8633598057604,False,False,False,False,1069.2223568660195,False,False,False,False
2024-01-09 17:00:00+00:00,1.375,1.375,1.31,1.31,800.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,1.3740799285142047,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.81231090827045,6.363375193490583,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,4446.0,903.6484239948184,False,False,False,False,1065.048366837089,False,False,False,False
2024-01-10 17:00:00+00:00,1.34,1.34,1.33,1.335,2.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,1.3740654838908395,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.71315204141671,5.735638877815759,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,4448.0,958.5996112197049,False,False,False,False,1048.566996808607,False,False,False,False
2024-01-11 17:00:00+00:00,1.275,1.295,1.27,1.275,293.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,1.3692335787751284,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.24206902487,1.872475122222255,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,4155.0,1008.1562063945933,False,False,False,False,1036.8527798038224,False,False,False,False
2024-01-12 17:00:00+00:00,1.31,1.31,1.29,1.29,132.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,1.3675922435458074,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.208502904720355,0.30611769720353976,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,4287.0,1058.9909938923515,False,False,False,False,1022.824054535546,False,False,False,False
2024-01-15 17:00:00+00:00,1.29,1.29,1.29,1.29,0.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,1.3675922435458074,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.51945882462059,-1.018913001701776,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,4287.0,1109.0376451498344,False,False,False,False,1006.9663172559251,False,False,False,False
2024-01-16 17:00:00+00:00,1.275,1.275,1.19,1.215,426.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,1.3580051634195678,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.49680577967598,-5.384797305134583,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,3861.0,1151.7037281707671,False,False,False,False,997.959087531027,False,False,False,False
2024-01-17 17:00:00+00:00,1.155,1.165,1.13,1.145,2662.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,1.294963581353653,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.7014969777616,-10.244979108897553,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,1199.0,1152.4370037030033,False,False,False,False,1023.7581714452747,False,False,False,False
2024-01-18 17:00:00+00:00,1.115,1.12,1.09,1.095,3118.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,1.244913774013176,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.385207299072384,-14.493299497434577,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-1919.0,1104.8178253510187,False,False,False,False,1056.2270370042627,False,False,False,False
2024-01-19 17:00:00+00:00,1.06,1.12,1.06,1.11,1399.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,1.1630751060188973,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.828242806843946,-16.17592692288249,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-520.0,1079.6268513145687,False,False,False,False,1061.5413465080726,False,False,False,False
