date,Close,High,Low,Open,Volume,aVWAP_OB_bear_177,aVWAP_OB_bear_118,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,5.03,5.75,5.02,5.67,330427,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,330427.0,False,False,False,False
2022-01-07 00:00:00+00:00,5.08,5.45,4.5762,5.3,155212,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,155212,11497.185185185184,False,False,False,False,317448.1111111111,False,False,False,False
2022-01-14 00:00:00+00:00,4.71,5.0376,4.41,4.96,131398,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.62857142857142,-64.17142857142862,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,23814,12409.54183813443,False,False,False,False,303666.62139917695,False,False,False,False
2022-01-21 00:00:00+00:00,5.72,5.88,4.505,4.74,256288,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.82433418164723,-62.59887159391164,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,280102,32238.612813087435,False,False,False,False,300157.0938881268,False,False,False,False
2022-01-28 00:00:00+00:00,4.77,5.47,4.6,5.47,172563,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.9013731701361,-62.59887159391164,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,107539,37816.41927137726,False,False,False,False,290705.6795260433,False,False,False,False
2022-02-04 00:00:00+00:00,5.21,5.5,4.7,4.7,52092,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.31381589933048,-62.59887159391164,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,159631,46839.721547571535,False,False,False,False,273030.59215374384,False,False,False,False
2022-02-11 00:00:00+00:00,7.26,7.98,5.25,5.34,844683,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,6.830000000000001,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.92596908590927,-62.59887159391164,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,1004314,117763.74217367734,False,False,False,False,315375.21495717025,False,False,False,False
2022-02-18 00:00:00+00:00,6.54,7.42,6.5,7.24,176174,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,6.828274253886685,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.32713022736351,-60.85370347674443,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,828140,170384.2057163679,False,False,False,False,305064.0138492317,False,False,False,False
2022-02-25 00:00:00+00:00,6.07,6.6,5.57,6.6,105210,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,6.758361953596012,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.184122904665955,-59.1757947411956,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,722930,211313.52381145174,False,False,False,False,290260.01282336266,False,False,False,False
2022-03-04 00:00:00+00:00,6.47,7.47,5.92,6.06,237224,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,6.734285820122043,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.60518024567064,-55.73038575654326,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,960154,266783.18871430715,False,False,False,False,286331.41928089136,False,False,False,False
