date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_899,Gap_Up_aVWAP_851,Gap_Up_aVWAP_844,Gap_Up_aVWAP_828,Gap_Up_aVWAP_807,Gap_Up_aVWAP_695,Gap_Up_aVWAP_635,Gap_Up_aVWAP_586,Gap_Up_aVWAP_561,Gap_Up_aVWAP_555,Gap_Down_aVWAP_911,Gap_Down_aVWAP_826,Gap_Down_aVWAP_816,Gap_Down_aVWAP_589,Gap_Down_aVWAP_571,Gap_Down_aVWAP_569,Gap_Down_aVWAP_530,Gap_Down_aVWAP_522,Gap_Down_aVWAP_457,Gap_Down_aVWAP_325,aVWAP_OB_bull_817,aVWAP_OB_bull_656,aVWAP_OB_bull_589,aVWAP_OB_bull_457,aVWAP_OB_bull_353,aVWAP_OB_bull_241,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,170.3278764488,172.5775787131,168.506464783,172.2857763273,478109,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,478109.0,False,False,False,False
2022-01-04 00:00:00+00:00,169.9701832018,171.0177537666,168.7182568372,169.979596182,641332,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-641332,-25150.27450980392,False,False,False,False,484509.90196078434,False,False,False,False
2022-01-05 00:00:00+00:00,167.0427463643,170.5349620129,166.9909749732,169.8572274396,402870,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1044202,-65113.08727412533,False,False,False,False,481308.33717800846,False,False,False,False
2022-01-06 00:00:00+00:00,164.0400056852,167.2780708689,162.2609524302,166.063796425,548768,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1592970,-125029.04463592434,False,False,False,False,483953.8141514199,False,False,False,False
2022-01-07 00:00:00+00:00,161.432610174,163.4658138939,161.4043712334,163.4375749534,428898,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-2021868,-199414.88602275084,False,False,False,False,481794.7626160701,False,False,False,False
2022-01-10 00:00:00+00:00,158.3733916138,159.7429802307,156.5190345173,159.4276453945,491435,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-2513303,-290155.59637479985,False,False,False,False,482172.8111409301,False,False,False,False
2022-01-11 00:00:00+00:00,158.0815892281,158.8722795636,155.4930196772,157.9498075055,745278,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-3258581,-406564.43573265086,False,False,False,False,492490.66168442304,False,False,False,False
2022-01-12 00:00:00+00:00,160.4348342743,160.7266366601,157.6956570405,158.8534536032,754639,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.018555167250534,-43.566324430020344,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-2503942,-488814.53629215475,False,False,False,False,502770.9886771908,False,False,False,False
2022-01-13 00:00:00+00:00,153.8834000655,161.2914154712,153.4033380761,160.8301794421,779785,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.946131891286097,-42.18929883116833,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-3283727,-598418.9466336389,False,False,False,False,513634.28323886957,False,False,False,False
2022-01-14 00:00:00+00:00,150.6641608422,153.0456448291,148.9509984486,152.5938217802,650187,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.485092356763415,-42.04603916579008,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-3933914,-729222.6742166334,False,False,False,False,518989.29173930606,False,False,False,False
2022-01-18 00:00:00+00:00,150.5323791196,150.6265089215,147.2378360549,148.6968479836,695989,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.81689414925674,-41.97414831378016,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-4629903,-882190.5301297067,False,False,False,False,525930.4567691372,False,False,False,False
2022-01-19 00:00:00+00:00,151.05950601,154.10931159,150.2170442834,151.3230694552,582751,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.029658664614388,-40.99319003717589,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-4047152,-1006306.6662030516,False,False,False,False,528158.713366426,False,False,False,False
2022-01-20 00:00:00+00:00,150.4100103772,152.6032347604,149.3839955371,150.6076829611,1030133,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.644876164788291,-40.53402697498993,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-5077285,-1165952.8753715593,False,False,False,False,547843.9795089191,False,False,False,False
2022-01-21 00:00:00+00:00,147.4072696982,152.3396713152,147.3131398964,150.9371372676,755546,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.283491817359351,-40.53402697498993,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-5832831,-1348967.703788361,False,False,False,False,555989.156783079,False,False,False,False
2022-01-24 00:00:00+00:00,148.6497830826,148.9039335476,142.870213249,145.2516972358,775955,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.29754256394824,-39.11860873843184,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-5056876,-1494375.8722672488,False,False,False,False,564615.2682817818,False,False,False,False
2022-01-25 00:00:00+00:00,143.0867117933,148.0802977814,143.0396468923,145.9576707497,863912,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.072797192977697,-39.11860873843184,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-5920788,-1667960.661590102,False,False,False,False,576352.3950158296,False,False,False,False
2022-01-26 00:00:00+00:00,140.225165817,145.6282164432,139.5380182635,144.4610069003,808678,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.362807650465657,-39.11860873843184,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-6729466,-1866451.0670179413,False,False,False,False,585463.2030544246,False,False,False,False
2022-01-27 00:00:00+00:00,141.3358974788,143.6955433516,140.3969527054,141.7594815872,837556,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.486091211345052,-39.07294684590737,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-5891910,-2024312.2016446886,False,False,False,False,595349.195091506,False,False,False,False
2022-01-28 00:00:00+00:00,145.1010895529,145.1952193547,140.1969268764,141.6088739042,828534,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.927182125276932,-34.04691858359743,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-5063376,-2143491.1741292104,False,False,False,False,604493.6972447803,False,False,False,False
2022-01-31 00:00:00+00:00,149.8734705067,150.0240781897,144.8281131275,144.8281131275,942795,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.97445142054747,-26.875879106868165,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-4120581,-2221024.1084770844,False,False,False,False,617760.414999887,False,False,False,False
2022-02-01 00:00:00+00:00,144.3292251777,148.7909777854,140.8464225092,148.5274143402,1124502,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.547519347931683,-25.018772810546977,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-5245083,-2339614.653242689,False,False,False,False,637632.6340194993,False,False,False,False
2022-02-02 00:00:00+00:00,145.2422842556,145.7882371064,142.8513872886,144.8375261077,1044724,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0036703329658,-23.137655202546178,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-4200359,-2412585.0197821916,False,False,False,False,653597.0013128523,False,False,False,False
2022-02-03 00:00:00+00:00,139.6792129663,145.4305438593,139.4533014418,143.6232516638,626823,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.355870182579363,-23.137655202546178,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-4827182,-2507275.097437792,False,False,False,False,652547.0404770542,False,False,False,False
2022-02-04 00:00:00+00:00,141.0817470138,142.3995642397,138.4743515026,139.208563957,620943,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.06588604855526,-23.137655202546178,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-4206239,-2573901.1328323884,False,False,False,False,651307.6663406991,False,False,False,False
2022-02-07 00:00:00+00:00,139.1897379966,140.8417160191,138.9826524326,140.8181835687,534066,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.78293434063067,-23.137655202546178,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-4740305,-2658858.1472311183,False,False,False,False,646709.9539351815,False,False,False,False
2022-02-08 00:00:00+00:00,140.0651451538,140.9029003903,138.088419315,138.8414577298,615944,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.358603064718224,-23.033635185317866,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-4124361,-2716328.847339702,False,False,False,False,645503.4459377234,False,False,False,False
2022-02-09 00:00:00+00:00,142.004219072,142.8513872886,141.2700066175,141.9759801314,403747,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.407338609115286,-20.91048853059879,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-3720614,-2755712.5788165764,False,False,False,False,636022.8009989891,False,False,False,False
2022-02-10 00:00:00+00:00,137.8530948104,141.2135287364,137.175360237,139.2556288579,558283,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.843927576611485,-20.91048853059879,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-4278897,-2815445.3012159267,False,False,False,False,632974.18135197,False,False,False,False
2022-02-11 00:00:00+00:00,136.1305194365,139.5286052833,135.3727745316,138.4649385224,924135,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.7681069613205,-20.91048853059879,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-5203032,-2909076.1521486356,False,False,False,False,644392.2526715006,False,False,False,False
2022-02-14 00:00:00+00:00,136.3376050006,138.1637231565,134.6150296267,135.3304161208,756212,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.24561039920598,-20.91048853059879,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-4446820,-2969379.8324565324,False,False,False,False,648777.3408020299,False,False,False,False
2022-02-15 00:00:00+00:00,138.9638264722,139.5944961446,137.071817455,138.3802217007,1008694,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.30762611416485,-20.38684888505883,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-3438126,-2987762.035105296,False,False,False,False,662891.7195941072,False,False,False,False
2022-02-16 00:00:00+00:00,137.4012717615,139.4438884616,135.4810238037,138.191962097,655300,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.85780623370891,-19.67932700085801,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-4093426,-3031121.4062776375,False,False,False,False,662594.0051002207,False,False,False,False
2022-02-17 00:00:00+00:00,134.022011875,136.5070386439,133.5701888261,136.4317348024,498037,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.63309439119985,-19.67932700085801,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-4591463,-3092311.2726981225,False,False,False,False,656140.7892139376,False,False,False,False
2022-02-18 00:00:00+00:00,134.022011875,134.8503541313,132.5827672047,134.0973157165,1409895,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.81661982952714,-19.67932700085801,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-4591463,-3151101.5365138827,False,False,False,False,685699.7778722146,False,False,False,False
2022-02-22 00:00:00+00:00,134.4926608843,135.1609824774,131.9511562343,133.4572330639,704140,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.77435732355245,-19.67932700085801,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-3887323,-3179972.966454515,False,False,False,False,686422.9238380102,False,False,False,False
2022-02-23 00:00:00+00:00,132.6194778275,136.1964102978,132.497109085,135.2739382396,683648,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.79336844714474,-19.67932700085801,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-4570971,-3234521.9089464946,False,False,False,False,686314.1032953431,False,False,False,False
2022-02-24 00:00:00+00:00,136.7611891089,137.0153395739,129.5016164008,130.2003419199,820106,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,134.4260483612,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.24129814916462,-18.672587718718944,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-3750865,-3254770.6576152593,False,False,False,False,691560.8443425846,False,False,False,False
2022-02-25 00:00:00+00:00,139.5474312437,139.613322105,136.1775843374,136.968274673,693518,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,136.2679766633632,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.755477034792435,-14.463686527979668,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-3057347,-3247028.5533950534,False,False,False,False,691637.5955448363,False,False,False,False
