date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_190,Gap_Up_aVWAP_153,Gap_Up_aVWAP_124,Gap_Up_aVWAP_110,Gap_Up_aVWAP_48,Gap_Up_aVWAP_40,Gap_Up_aVWAP_22,Gap_Up_aVWAP_5,Gap_Down_aVWAP_182,Gap_Down_aVWAP_167,Gap_Down_aVWAP_144,Gap_Down_aVWAP_24,Gap_Down_aVWAP_19,aVWAP_OB_bull_4,aVWAP_OB_bear_180,aVWAP_OB_bear_130,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,52.4649418508,52.8912195034,51.2282682215,51.8887643644,8419758,,,,,,,,,,,,,,,,,#000000,1.0,58.059784,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,8419758.0,False,False,False,False
2022-01-07 00:00:00+00:00,47.5416691825,51.3969055346,46.9701760659,51.3641149459,25391502,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-25391502,-1880852.0,False,False,False,False,9676924.222222222,False,False,False,False
2022-01-14 00:00:00+00:00,45.1198499917,47.7430970843,44.6715558011,46.9045948886,14689024,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-40080526,-4710457.481481481,False,False,False,False,10048190.872427985,False,False,False,False
2022-01-21 00:00:00+00:00,44.6701504901,46.187886308,44.5600677997,44.8153659542,11065620,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-51146146,-8150138.112482853,False,False,False,False,10123555.992988875,False,False,False,False
2022-01-28 00:00:00+00:00,45.3259622633,45.4009121802,42.866668114,43.4709518193,19260998,,,,,,,,,,,,,,44.5311808525,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,44.5311808525,,1.0,45.400913,42.86667,0.0,0.0,0.0,0.0,0.0,2.6067694135184514,-47.53578828878334,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-31885148,-9908286.993039679,False,False,False,False,10800403.549063774,False,False,False,False
2022-02-04 00:00:00+00:00,46.6891138774,50.2023912335,45.9396147081,46.0145646251,20927648,,,,,,,,47.61037327300001,,,,,,46.13462514620653,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,46.13462514620653,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.853527883221552,-41.73756769961847,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-10957500,-9986006.475036738,False,False,False,False,11550569.804688679,False,False,False,False
2022-02-11 00:00:00+00:00,46.333101772,49.8323260187,45.9958271458,47.2043945563,12237574,,,,,,,,47.52798253781366,,,,,,46.426980190758634,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,46.426980190758634,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.000019555819474,-38.15201323667095,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-23195074,-10964455.921330312,False,False,False,False,11601459.00434137,False,False,False,False
2022-02-18 00:00:00+00:00,47.2231320356,48.4879118838,45.5695494933,45.7100805875,9813730,,,,,,,,47.428780753178565,,,,,,46.532079102682864,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,46.532079102682864,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.322813469891216,-33.53177665353094,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-13381344,-11143484.667898437,False,False,False,False,11469034.633649416,False,False,False,False
2022-02-25 00:00:00+00:00,48.1318997783,48.3544073442,44.3844039318,46.7546950548,8591302,,,,,,,,47.35016879983039,,,,,,46.58360715250056,,,"rgba(239, 83, 80, 0.5)",-1.0,51.791073,,46.58360715250056,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.186046513006517,-28.49810665327714,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-4790042,-10672859.285091145,False,False,False,False,11255869.25337909,False,False,False,False
2022-03-04 00:00:00+00:00,48.7689740722,50.2773411505,47.6213034693,47.9257875068,11232242,,,,,,,,47.625426026393676,,,,,,46.899180442628065,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,46.899180442628065,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.657214190729896,-23.919337769396915,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,6442200,-9405077.115825133,False,False,False,False,11254119.08646212,False,False,False,False
