date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_179,Gap_Up_aVWAP_53,Gap_Down_aVWAP_19,Gap_Down_aVWAP_18,Gap_Down_aVWAP_17,aVWAP_OB_bull_171,aVWAP_OB_bull_150,aVWAP_OB_bull_113,aVWAP_OB_bear_70,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,10.43,10.43,10.01,10.1899,94589,,,,,,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,94589.0,False,False,False,False
2022-01-07 00:00:00+00:00,10.16,10.45,9.91,10.42,100311,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-100311,-7430.444444444444,False,False,False,False,95012.85185185184,False,False,False,False
2022-01-14 00:00:00+00:00,11.24,11.41,9.99,10.2,92576,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.166023166023173,-107.91505791505793,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-7735,-7453.004115226337,False,False,False,False,94832.34430727022,False,False,False,False
2022-01-21 00:00:00+00:00,12.655,13.05,11.0828,11.3,197216,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.59056149164386,-88.28590713722775,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,189481,7134.699893308947,False,False,False,False,102416.31880302797,False,False,False,False
2022-01-28 00:00:00+00:00,10.6152,13.05,10.45,12.55,241765,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,11.371733333333335,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.71432740276403,-84.85793344332293,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-52284,2733.3147160268036,False,False,False,False,112738.44333613702,False,False,False,False
2022-02-04 00:00:00+00:00,9.9,11.04,9.72,10.71,247207,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,10.789457574939533,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.159809404468675,-83.20092598523546,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-299491,-19653.67155923444,False,False,False,False,122699.07716308982,False,False,False,False
2022-02-11 00:00:00+00:00,10.38,10.71,9.52,9.9,222938,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,10.404621658168402,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.30693758371356,-79.2145707102858,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-76553,-23868.436628920776,False,False,False,False,130124.1825584165,False,False,False,False
2022-02-18 00:00:00+00:00,10.31,10.66,10.05,10.39,127062,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,10.409293016594368,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.92627789315187,-75.29091876177719,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-203615,-37182.99687863035,False,False,False,False,129897.35422075602,False,False,False,False
2022-02-25 00:00:00+00:00,10.47,10.92,9.93,10.26,156280,,,,,,,,,,#000000,0.0,0.0,,10.428298704913779,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.88443445941265,-70.74252908633733,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,-47335,-37934.99710984292,False,False,False,False,131851.6242784778,False,False,False,False
2022-03-04 00:00:00+00:00,11.69,11.765,10.34,10.63,250140,,,,,,,,,,#000000,0.0,0.0,,10.658304646435678,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.7456944349974,-63.286988236049815,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,202805,-20102.404731336042,False,False,False,False,140613.72618377573,False,False,False,False
2022-03-11 00:00:00+00:00,12.75,13.39,11.45,11.84,313295,,,,,,,,,,"rgba(38, 166, 154, 0.5)",1.0,12.565,,11.591312937561208,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.42143597793111,-55.11456934731585,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,516100,19616.29191542959,False,False,False,False,153404.93165164418,False,False,False,False
