date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_176,Gap_Up_aVWAP_83,Gap_Down_aVWAP_136,Gap_Down_aVWAP_63,Gap_Down_aVWAP_2,aVWAP_OB_bull_181,aVWAP_OB_bull_121,aVWAP_OB_bull_96,aVWAP_OB_bull_63,aVWAP_OB_bear_164,aVWAP_OB_bear_57,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,41.0947108657,41.5005845533,40.1445974608,41.1685060816,152250,,,,,,,,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,152250.0,False,False,False,False
2022-01-07 00:00:00+00:00,39.9785582249,41.9664168538,39.8125189891,41.4267893374,132835,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-132835,-9839.62962962963,False,False,False,False,150811.85185185185,False,False,False,False
2022-01-14 00:00:00+00:00,38.5948979264,39.6557041553,37.9312022032,39.6557041553,227056,,,,,38.72726809496667,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-359891,-35769.36076817558,False,False,False,False,156459.56652949244,False,False,False,False
2022-01-21 00:00:00+00:00,37.109769206,38.4473074946,36.2518998209,38.4380830926,201636,,,,,38.04167914151375,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-561527,-74714.37108164406,False,False,False,False,159805.9690087893,False,False,False,False
2022-01-28 00:00:00+00:00,36.159655801,38.3458390727,34.9697079443,36.7407931264,279868,,,,,37.429479792757824,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-841395,-131505.52877930005,False,False,False,False,168699.45278591604,False,False,False,False
2022-02-04 00:00:00+00:00,33.5491500379,37.9005771886,33.3416009931,35.7353333095,487480,,,,,36.41092641449006,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1328875,-220199.56368453708,False,False,False,False,192312.82665362596,False,False,False,False
2022-02-11 00:00:00+00:00,33.9273505195,36.196553409,33.7059648717,33.9365749214,352249,,,,,36.00119029056413,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6151405634529274,-48.473187436110905,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-976626,-276231.15155975654,False,False,False,False,204159.95060520922,False,False,False,False
2022-02-18 00:00:00+00:00,34.6476971919,35.25929067,33.9434380353,33.9712377388,220972,,,,,35.82828782802873,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.556894051635956,-44.813244591485756,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-755654,-311743.95514792274,False,False,False,False,205405.28759741594,False,False,False,False
2022-02-25 00:00:00+00:00,34.8422951167,34.9534939309,33.0260478181,34.517965242,235109,,,,,35.64596627974138,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.074920601109131,-41.69758797661213,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-520545,-327210.6992110396,False,False,False,False,207605.56259019996,False,False,False,False
2022-03-04 00:00:00+00:00,35.7596853339,36.3898119477,34.1843687994,34.5364983777,379645,,,,,35.61390300042812,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.59189316617153,-36.778318883352455,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-140900,-313409.90667688847,False,False,False,False,220349.22462055553,False,False,False,False
