date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_446,Gap_Up_aVWAP_444,Gap_Up_aVWAP_441,Gap_Up_aVWAP_438,Gap_Up_aVWAP_434,Gap_Up_aVWAP_433,Gap_Up_aVWAP_428,Gap_Up_aVWAP_427,Gap_Up_aVWAP_419,Gap_Up_aVWAP_418,Gap_Down_aVWAP_445,Gap_Down_aVWAP_443,Gap_Down_aVWAP_442,Gap_Down_aVWAP_430,Gap_Down_aVWAP_429,Gap_Down_aVWAP_426,Gap_Down_aVWAP_422,Gap_Down_aVWAP_420,Gap_Down_aVWAP_413,Gap_Down_aVWAP_412,aVWAP_OB_bull_426,aVWAP_OB_bull_397,aVWAP_OB_bear_317,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-12-14 17:00:00+00:00,21.37,21.42,21.215,21.25,259.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,259.0,False,False,False,False
2023-12-15 17:00:00+00:00,21.15,21.16,20.955,21.025,1249.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-1249.0,-19.364341085271317,False,False,False,False,274.3488372093023,False,False,False,False
2023-12-18 17:00:00+00:00,21.025,21.025,20.79,20.79,171.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1420.0,-41.079622618833,False,False,False,False,272.74652965566975,False,False,False,False
2023-12-19 17:00:00+00:00,21.02,21.095,21.01,21.08,800.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714246,-37.14285714285718,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-620.0,-50.0551323456728,False,False,False,False,280.921002064109,False,False,False,False
2023-12-20 17:00:00+00:00,21.125,21.17,20.715,20.72,1133.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.460635409787905,-34.24257098833374,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1753.0,-76.45737835581741,False,False,False,False,294.13152916389026,False,False,False,False
2023-12-21 17:00:00+00:00,20.83,20.965,20.73,20.95,85.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.4171938509891,-27.78930651583994,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1668.0,-101.13245776115357,False,False,False,False,290.8891798745276,False,False,False,False
2023-12-22 17:00:00+00:00,21.125,21.15,20.98,21.05,1139.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.52803398607603,-22.183398519561273,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-529.0,-107.7660630671822,False,False,False,False,304.03818483771323,False,False,False,False
2023-12-25 17:00:00+00:00,21.05,21.05,21.05,21.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.268594076133994,-18.651593707120906,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-529.0,-114.2968217793189,False,False,False,False,299.3244145301518,False,False,False,False
2023-12-26 17:00:00+00:00,21.165,21.28,21.165,21.22,929.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.358190605340965,-13.667752697179694,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,400.0,-106.32322764320543,False,False,False,False,309.0868267079789,False,False,False,False
2023-12-27 17:00:00+00:00,21.21,21.285,21.165,21.22,404.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.41792162481228,-10.400640579884772,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,400.0,-98.47325512160535,False,False,False,False,310.55834877452185,False,False,False,False
2023-12-28 17:00:00+00:00,21.23,21.275,21.19,21.25,1302.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.64890532835127,-7.647288855904691,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,1702.0,-70.55894108871225,False,False,False,False,325.92953716561453,False,False,False,False
2023-12-29 17:00:00+00:00,21.09,21.16,21.07,21.135,195.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.187075325039736,-7.647288855904691,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,1507.0,-46.10066293229809,False,False,False,False,323.89962186072125,False,False,False,False
2024-01-01 17:00:00+00:00,21.135,21.135,21.135,21.135,0.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.87918865616538,-7.647288855904691,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,1507.0,-22.021582886836104,False,False,False,False,318.87792229698914,False,False,False,False
2024-01-02 17:00:00+00:00,21.43,21.5,21.305,21.37,101.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,21.391666666666662,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.96540273600692,-3.7835083518574137,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,1608.0,3.250069561021821,False,False,False,False,315.49997001331485,False,False,False,False
2024-01-03 17:00:00+00:00,21.11,21.215,20.965,20.985,200.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,21.167967884828347,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.89188474752068,-3.7835083518574137,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,1408.0,25.029138249998226,False,False,False,False,313.7092728038061,False,False,False,False
2024-01-04 17:00:00+00:00,21.0,21.005,20.915,20.94,500.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,21.033988764044942,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.59571732534046,-3.7835083518574137,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,908.0,38.718608974804454,False,False,False,False,316.5975011324292,False,False,False,False
2024-01-05 17:00:00+00:00,21.1,21.135,20.99,21.07,40.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,21.035463733650413,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.69768826565725,-3.7835083518574137,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,948.0,52.81599488217182,False,False,False,False,312.3091677815388,False,False,False,False
2024-01-08 17:00:00+00:00,21.145,21.225,21.1,21.21,109.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,21.05185614035087,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.92050759489824,-3.7835083518574137,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,1057.0,68.3847391475645,False,False,False,False,309.1570876608948,False,False,False,False
2024-01-09 17:00:00+00:00,21.02,21.05,20.965,21.0,601.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,21.033699763593376,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.26479393835887,-3.7835083518574137,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,456.0,74.39427807550923,False,False,False,False,313.6817839762297,False,False,False,False
2024-01-10 17:00:00+00:00,20.94,21.01,20.9,20.96,100.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,21.02903391883706,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.62493818576152,-3.7835083518574137,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,356.0,78.76025826038506,False,False,False,False,310.36888810062925,False,False,False,False
2024-01-11 17:00:00+00:00,20.62,20.75,20.615,20.735,432.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,20.960794527124335,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.86464653596831,-0.1085620524007993,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-76.0,76.36087441138683,False,False,False,False,312.2546417734877,False,False,False,False
2024-01-12 17:00:00+00:00,20.635,20.715,20.615,20.66,100.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,20.947168269964877,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.59505595776773,-3.429605674245984,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-176.0,72.44830271508626,False,False,False,False,308.96387213358867,False,False,False,False
2024-01-15 17:00:00+00:00,20.66,20.66,20.66,20.66,0.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,20.947168269964877,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.415328905634006,-5.703303503818326,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-176.0,68.59639104508491,False,False,False,False,304.1737345811299,False,False,False,False
2024-01-16 17:00:00+00:00,20.41,20.415,20.245,20.3,2528.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,20.61061947215736,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.851857913893255,-10.145823397567625,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-2704.0,25.610400486246384,False,False,False,False,338.6516611767713,False,False,False,False
2024-01-17 17:00:00+00:00,20.09,20.095,19.97,20.09,21.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,20.608138912369682,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.573533411027483,-14.198999494973854,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-2725.0,-17.034722001912478,False,False,False,False,333.7268292205423,False,False,False,False
2024-01-18 17:00:00+00:00,19.905,20.04,19.86,20.03,600.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,20.25687359339835,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.402155097139538,-17.198243681738845,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-3325.0,-68.32100538172779,False,False,False,False,337.85509543417726,False,False,False,False
2024-01-19 17:00:00+00:00,19.98,20.255,19.98,20.235,2574.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,20.26793364327636,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.47810808626634,-17.198243681738845,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-751.0,-78.90517584092579,False,False,False,False,372.5240086832598,False,False,False,False
