date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_138,Gap_Down_aVWAP_60,Gap_Down_aVWAP_24,aVWAP_OB_bull_171,aVWAP_OB_bull_136,aVWAP_OB_bull_95,aVWAP_OB_bear_6,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,56.0004269341,56.2152423533,53.8716766588,54.0880287739,8813675,,,,,,,,#000000,1.0,55.25871,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,8813675.0,False,False,False,False
2022-01-07 00:00:00+00:00,57.1953625982,57.2940842266,55.8211575317,55.860646183,12303293,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,12303293,911355.037037037,False,False,False,False,9072165.222222222,False,False,False,False
2022-01-14 00:00:00+00:00,58.0720106579,58.6327495069,56.3661009201,57.0453057231,9783110,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,22086403,2479877.1083676266,False,False,False,False,9124827.79835391,False,False,False,False
2022-01-21 00:00:00+00:00,56.4371804925,58.5853631253,56.1291690121,58.3958175989,8134410,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.63136479068112,37.36246202869074,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,13951993,3329663.4707107656,False,False,False,False,9051463.51699436,False,False,False,False
2022-01-28 00:00:00+00:00,55.8527484527,57.2585444404,54.2889978597,55.0866686168,10517150,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.77182195016951,26.69981086577684,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,3434843,3337454.5469544125,False,False,False,False,9160032.88610589,False,False,False,False
2022-02-04 00:00:00+00:00,57.7955900986,58.1983743422,55.623714275,55.7105893079,7099256,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.80731122518023,24.783667184914776,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,10534099,3870539.3212540857,False,False,False,False,9007382.746394342,False,False,False,False
2022-02-11 00:00:00+00:00,57.7166127959,59.1224087835,57.4322945062,57.9535447039,6536649,,,,,,,58.09043869519999,"rgba(38, 166, 154, 0.5)",0.0,0.0,,58.09043869519999,,-1.0,59.12241,57.432293,191.0,0.0,0.0,0.0,0.0,69.41260778603186,23.27607454638388,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,3997450,3879940.1122723017,False,False,False,False,8824365.431846613,False,False,False,False
2022-02-18 00:00:00+00:00,56.8557601967,58.2141698027,56.80442495,57.5744536511,6499346,,,,,,,57.69208833854733,"rgba(38, 166, 154, 0.5)",0.0,0.0,,57.69208833854733,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.9906950105636,19.714812664416314,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-2501896,3407211.5113632423,False,False,False,False,8652141.770228345,False,False,False,False
2022-02-25 00:00:00+00:00,57.0295102626,57.1716694074,53.8783158858,56.4687714136,10342672,,,,,,,56.95523498440809,"rgba(38, 166, 154, 0.5)",-1.0,51.262753,,56.49086675150404,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.244683357570416,17.704095025691203,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,7840776,3735623.6957067056,False,False,False,False,8777366.231692912,False,False,False,False
2022-03-04 00:00:00+00:00,57.8587719407,58.7907041123,56.0028053278,56.1765553937,11770107,,,,,,,57.15465583965844,"rgba(38, 166, 154, 0.5)",0.0,0.0,,56.99624139142574,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.044256844762835,17.704095025691203,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,19610883,4911568.829358061,False,False,False,False,8999050.733048992,False,False,False,False
