date,Close,High,Low,Open,Volume,Gap_Down_aVWAP_68,Gap_Down_aVWAP_32,aVWAP_OB_bear_135,aVWAP_OB_bear_70,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,144.9,176.75,141.4,165.9,49917,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,49917.0,False,False,False,False
2022-01-07 00:00:00+00:00,127.4,150.5,124.6,147.35,13318,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,-1.0,141.4,129.15,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-13318,-986.5185185185185,False,False,False,False,47205.96296296296,False,False,False,False
2022-01-14 00:00:00+00:00,106.4,129.15,105.35,122.85,9984,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,-1.0,124.6,108.43,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-23302,-2639.5171467764058,False,False,False,False,44448.780521262,False,False,False,False
2022-01-21 00:00:00+00:00,89.25,108.43,89.25,105.0,7929,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,-1.0,105.35,103.6,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-31231,-4757.404765533709,False,False,False,False,41743.61159376112,False,False,False,False
2022-01-28 00:00:00+00:00,84.35,103.6,82.95,87.5,5408,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-36639,-7119.004412531212,False,False,False,False,39052.08480903807,False,False,False,False
2022-02-04 00:00:00+00:00,91.0,95.55,86.1,86.8,4787,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3618636651784755,-46.821988254010975,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-31852,-8951.078159751123,False,False,False,False,36513.93037873895,False,False,False,False
2022-02-11 00:00:00+00:00,84.0,99.05,82.25,91.0,4223,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.369326594902312,-45.06219739264849,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-36075,-10960.257555325115,False,False,False,False,34122.009609943474,False,False,False,False
2022-02-18 00:00:00+00:00,80.85,96.985,78.925,84.0,2678,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.644540064567083,-44.0396035246397,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-38753,-13018.979217893626,False,False,False,False,31792.823712910624,False,False,False,False
2022-02-25 00:00:00+00:00,79.45,80.85,73.5,78.75,2269,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.485656927743484,-43.42720737885476,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-41022,-15093.277053605208,False,False,False,False,29605.873808250577,False,False,False,False
2022-03-04 00:00:00+00:00,75.25,89.95,70.35,77.0,3384,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8839831492679195,-43.211515417032174,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-44406,-17264.589864449266,False,False,False,False,27663.512785417202,False,False,False,False
2022-03-11 00:00:00+00:00,72.45,76.65,66.6995,72.8,6077,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.041283824226436,-43.18552931272125,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-50483,-19725.212837453022,False,False,False,False,26064.511838349263,False,False,False,False
2022-03-18 00:00:00+00:00,73.15,86.45,67.55,77.0,11407,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.500367334907985,-42.83292069441735,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-39076,-21158.60447912317,False,False,False,False,24978.77022069376,False,False,False,False
2022-03-25 00:00:00+00:00,76.545,78.1865,70.35,74.9,3424,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.491590319184823,-41.01127993111158,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-35652,-22232.189332521455,False,False,False,False,23382.120574716446,False,False,False,False
2022-04-01 00:00:00+00:00,75.6,79.443,66.5,77.105,5860,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.830561883630535,-39.85188741436659,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-41512,-23660.323456038386,False,False,False,False,22084.18571733004,False,False,False,False
2022-04-08 00:00:00+00:00,70.0,79.45,68.32,77.35,2641,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.323358732697498,-39.49724233109763,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-44153,-25178.299496331838,False,False,False,False,20643.94973826856,False,False,False,False
2022-04-15 00:00:00+00:00,68.25,70.7,67.9,67.9,1959,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.54151520467721,-39.36834184524661,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-46112,-26728.943978085037,False,False,False,False,19259.879387285702,False,False,False,False
2022-04-22 00:00:00+00:00,65.45,72.45,65.0895,68.6,2073,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.488217066241072,-39.36834184524661,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-48185,-28318.28146118985,False,False,False,False,17986.777210449723,False,False,False,False
2022-04-29 00:00:00+00:00,55.65,68.2465,53.2,65.4535,2899,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.838147840220866,-39.36834184524661,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-51084,-30004.630982583196,False,False,False,False,16869.164083749743,False,False,False,False
2022-05-06 00:00:00+00:00,55.3,57.4,52.15,57.05,2244,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.354581989160401,-39.36834184524661,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-53328,-31732.28794683629,False,False,False,False,15785.818596064577,False,False,False,False
2022-05-13 00:00:00+00:00,49.0,60.2,43.05,57.75,7249,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.682291746819445,-39.36834184524661,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-60577,-33868.933284107676,False,False,False,False,15153.461663022757,False,False,False,False
2022-05-20 00:00:00+00:00,45.5,58.1,42.0,50.75,4043,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,48.533333333333324,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.040309993022019,-37.90358266696745,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-64620,-36146.79007787748,False,False,False,False,14330.46450279885,False,False,False,False
2022-05-27 00:00:00+00:00,44.8035,47.25,42.7,45.5,1619,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,47.49951233368656,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.549856369858283,-38.38311676997189,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-66239,-38375.84266470137,False,False,False,False,13388.874539628565,False,False,False,False
2022-06-03 00:00:00+00:00,47.6,49.0,45.4475,48.3,582,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,47.485498692077726,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.610410978153556,-38.38311676997189,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-65657,-40396.66913398275,False,False,False,False,12440.217166322745,False,False,False,False
2022-06-10 00:00:00+00:00,43.75,48.65,43.533,46.2,1999,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,46.958163633790285,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.089055131462121,-38.38311676997189,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-67656,-42415.87882776181,False,False,False,False,11666.793672521062,False,False,False,False
2022-06-17 00:00:00+00:00,35.35,45.85,32.9,42.35,2243,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,45.04910447263018,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.915635019616731,-38.38311676997189,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-69899,-44451.66558126093,False,False,False,False,10968.734881963946,False,False,False,False
2022-06-24 00:00:00+00:00,29.925,38.5,29.925,35.0,1863,,,,,"rgba(239, 83, 80, 0.5)",-1.0,5.5044847,,37.99099695656868,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.51558936002947,-38.38311676997189,False,False,False,True,True,,0,,,False,False,False,False,-0.34282825441539394,-0.34282825441539394,False,False,False,False,-71762,-46474.653315982345,False,False,False,False,10294.236001818468,False,False,False,False
2022-07-01 00:00:00+00:00,35.35,39.9,34.153,38.15,2408,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,38.48044390748932,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.554469971167416,-39.60455591262493,False,False,False,True,True,,0,0.6574034097490601,1.3918157598222465,False,False,False,False,-0.3227899590416896,-0.3328091067285418,False,False,False,False,-69354,-48169.41973702069,False,False,False,False,9710.070372054137,False,False,False,False
2022-07-08 00:00:00+00:00,36.05,38.5,31.15,37.8,3455,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,37.912424170211835,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.299701533749488,-37.970894626172,False,False,False,True,True,,0,0.6811170717018168,1.3357906828903785,False,False,False,False,-0.33737480417540366,-0.33509195545197273,False,False,False,False,-65899,-49482.72197872286,False,False,False,False,9246.731825976052,False,False,False,False
2022-07-15 00:00:00+00:00,34.7095,36.05,33.3585,36.05,588,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,37.80580156768064,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.415263331836371,-36.96628304158058,False,False,False,True,True,,0,0.7314305528984122,1.2954371532427782,False,False,False,False,-0.3372030002743446,-0.3361474778631587,False,False,False,False,-66487,-50742.298128447095,False,False,False,False,8605.344283311159,False,False,False,False
2022-07-22 00:00:00+00:00,40.25,40.25,34.65,35.0,1085,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,37.940154166276194,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.505686824187674,-34.09260167909007,False,False,False,True,True,,0,0.7806700772394424,1.2205336543284182,False,False,False,False,-0.30274453192577644,-0.31944600489446756,False,False,False,False,-65402,-51828.20197078434,False,False,False,False,8048.281743806629,False,False,False,False
2022-07-29 00:00:00+00:00,42.7,43.4,38.7765,43.4,662,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,38.16350812665709,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.649608449123733,-31.245958203328662,False,False,False,True,True,,0,0.8069386614875023,1.2036369441155734,False,False,False,False,-0.25524333956326023,-0.2873446722288639,False,False,False,False,-64740,-52784.631454429946,False,False,False,False,7501.149762783915,False,False,False,False
2022-08-05 00:00:00+00:00,39.375,44.8,38.15,44.8,24834,,,,,"rgba(239, 83, 80, 0.5)",1.0,22.308,,40.25918905452883,,0.0,0.0,0.0,0.0,-1.0,38.7765,30.1,0.0,23.383600196516994,-29.78915448363824,False,False,False,True,True,,0,0.7957034369796815,1.1774396599569532,False,False,False,False,-0.25016075399169635,-0.26875271311028015,False,False,False,False,-89574,-55509.76986521291,False,False,False,False,8785.064595170292,False,False,False,False
2022-08-12 00:00:00+00:00,26.25,30.1,24.5,29.75,99665,,26.949999999999996,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,30.370314202486153,,0.0,0.0,0.0,0.0,-1.0,38.15,29.4,0.0,23.004647958218793,-29.78915448363824,False,False,False,True,True,,0,0.7825784542367334,1.213548272711155,False,False,False,False,-0.34282825441539394,-0.305790483762837,False,False,False,False,-189239,-65415.63876408603,False,False,False,False,15516.911662194714,False,False,False,False
