date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_877,Gap_Up_aVWAP_774,Gap_Up_aVWAP_767,Gap_Up_aVWAP_753,Gap_Up_aVWAP_532,Gap_Up_aVWAP_469,Gap_Up_aVWAP_390,Gap_Up_aVWAP_318,Gap_Up_aVWAP_218,Gap_Up_aVWAP_106,Gap_Down_aVWAP_900,Gap_Down_aVWAP_773,Gap_Down_aVWAP_695,Gap_Down_aVWAP_110,Gap_Down_aVWAP_34,Gap_Down_aVWAP_14,aVWAP_OB_bull_817,aVWAP_OB_bull_453,aVWAP_OB_bull_316,aVWAP_OB_bear_716,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,1.86,1.9032,1.82,1.85,195023,,,,,,,,,,,,,,,,,,,,,#000000,1.0,1.8944,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,195023.0,False,False,False,False
2022-01-04 00:00:00+00:00,1.82,1.87,1.8,1.87,176355,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-176355,-6915.882352941177,False,False,False,False,194290.92156862747,False,False,False,False
2022-01-05 00:00:00+00:00,1.75,1.85,1.7,1.8,512268,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-688623,-33649.494809688586,False,False,False,False,206760.61091887736,False,False,False,False
2022-01-06 00:00:00+00:00,1.73,1.7869,1.68,1.75,209316,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-897939,-67543.20089558314,False,False,False,False,206860.82225539198,False,False,False,False
2022-01-07 00:00:00+00:00,1.69,1.74,1.68,1.72,143255,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1041194,-105725.58517418773,False,False,False,False,204366.4762845923,False,False,False,False
2022-01-10 00:00:00+00:00,1.68,1.69,1.55,1.69,279378,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1320572,-153366.6210497098,False,False,False,False,207308.10466558867,False,False,False,False
2022-01-11 00:00:00+00:00,1.73,1.77,1.67,1.71,201131,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.268380831691738,-41.50398423761591,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1119441,-191251.89081246627,False,False,False,False,207065.86526693814,False,False,False,False
2022-01-12 00:00:00+00:00,1.78,1.78,1.7,1.77,195488,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.08377322493646,-31.188117923346674,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-923953,-219985.26764334994,False,False,False,False,206611.83133490136,False,False,False,False
2022-01-13 00:00:00+00:00,1.72,1.82,1.675,1.79,448680,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.440819019544413,-28.172388745681165,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1372633,-265187.1395004735,False,False,False,False,216104.700694317,False,False,False,False
2022-01-14 00:00:00+00:00,2.0,2.08,1.77,1.8,1340902,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.37269116111112,-15.315942273087671,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-31731,-256031.99677496476,False,False,False,False,260214.39870630458,False,False,False,False
