date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_55,Gap_Down_aVWAP_170,Gap_Down_aVWAP_4,aVWAP_OB_bull_136,aVWAP_OB_bear_33,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,9.35,9.67,9.17,9.43,38800408,,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,38800408.0,False,False,False,False
2022-01-07 00:00:00+00:00,8.86,9.49,8.47,9.32,38304735,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-38304735,-2837387.7777777775,False,False,False,False,38763691.48148148,False,False,False,False
2022-01-14 00:00:00+00:00,9.04,9.35,8.51,8.82,30513063,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.069336521219356,-70.17334130304839,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-7791672,-3204371.794238683,False,False,False,False,38152533.816186555,False,False,False,False
2022-01-21 00:00:00+00:00,8.54,9.32,8.52,8.94,34796318,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,-1.0,8.51,8.3791,0.0,10.147996261372707,-67.76706642643049,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-42587990,-6121676.846517298,False,False,False,False,37903925.237209775,False,False,False,False
2022-01-28 00:00:00+00:00,7.88,8.3791,7.44,8.23,53888995,,,7.899699999999998,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,-1.0,8.52,8.35,0.0,9.912294521213843,-67.3286549121517,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-96476985,-12814662.635664165,False,False,False,False,39088004.478897944,False,False,False,False
2022-02-04 00:00:00+00:00,7.37,8.35,7.13,7.52,64048909,,,7.745992196182887,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09072664130245,-67.25339449017058,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-160525894,-23756235.329318672,False,False,False,False,40936960.36934995,False,False,False,False
2022-02-11 00:00:00+00:00,7.04,7.587,6.985,7.41,37680919,,,7.614756374903097,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.211754047812345,-67.08217483605145,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-198206813,-36678500.341961734,False,False,False,False,40695772.11976847,False,False,False,False
2022-02-18 00:00:00+00:00,6.65,7.215,6.64,6.98,30776152,,,7.486008801547181,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.316883156726465,-66.8267129006074,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-228982965,-50923275.50181642,False,False,False,False,39960985.444230065,False,False,False,False
2022-02-25 00:00:00+00:00,6.72,6.72,5.8,6.47,33646398,,,7.321986621371275,,,"rgba(239, 83, 80, 0.5)",-1.0,5.1669335,,6.413333333333333,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.464637650358396,-65.42907147213815,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-195336567,-61620556.35353373,False,False,False,False,39493238.22613895,False,False,False,False
2022-03-04 00:00:00+00:00,6.48,7.0,6.45,6.68,27994136,,,7.245391489816215,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,6.5177881597629685,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.354570948993221,-64.2304985567104,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-223330703,-73599085.73475344,False,False,False,False,38641452.87605458,False,False,False,False
