date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_253,Gap_Up_aVWAP_240,Gap_Up_aVWAP_236,Gap_Up_aVWAP_228,Gap_Up_aVWAP_218,Gap_Up_aVWAP_214,Gap_Up_aVWAP_211,Gap_Up_aVWAP_200,Gap_Up_aVWAP_191,Gap_Up_aVWAP_187,Gap_Down_aVWAP_242,Gap_Down_aVWAP_238,Gap_Down_aVWAP_234,Gap_Down_aVWAP_217,Gap_Down_aVWAP_202,Gap_Down_aVWAP_188,Gap_Down_aVWAP_184,Gap_Down_aVWAP_158,Gap_Down_aVWAP_131,Gap_Down_aVWAP_111,aVWAP_OB_bull_199,aVWAP_OB_bull_98,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,9.81,9.81,9.76,9.78,39768,,,,,,,,,,,,,,,,,,,,,,,#000000,-1.0,9.78,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,39768.0,False,False,False,False
2022-01-04 00:00:00+00:00,9.8,9.8,9.77,9.79,7106,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-7106,-278.6666666666667,False,False,False,False,38487.13725490196,False,False,False,False
2022-01-05 00:00:00+00:00,9.8,9.8,9.8,9.8,1909,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-7106,-546.40522875817,False,False,False,False,37052.70049980777,False,False,False,False
2022-01-06 00:00:00+00:00,9.8,9.8,9.8,9.8,15,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-7106,-803.6442393951045,False,False,False,False,35600.24165667805,False,False,False,False
2022-01-07 00:00:00+00:00,9.8,9.8,9.8,9.8,0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-7106,-1050.7954456933358,False,False,False,False,34204.15374857303,False,False,False,False
2022-01-10 00:00:00+00:00,9.79,9.79,9.78,9.78,10530,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-17636,-1701.1956242935971,False,False,False,False,33275.75556235448,False,False,False,False
2022-01-11 00:00:00+00:00,9.79,9.79,9.79,9.79,28,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-17636,-2326.0899135369855,False,False,False,False,31971.9220108896,False,False,False,False
2022-01-12 00:00:00+00:00,9.79,9.79,9.79,9.79,10,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-17636,-2926.4785443786723,False,False,False,False,30718.513304580207,False,False,False,False
2022-01-13 00:00:00+00:00,9.79,9.79,9.79,9.79,10,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-17636,-3503.322523030489,False,False,False,False,29514.25788087118,False,False,False,False
2022-01-14 00:00:00+00:00,9.78,9.78,9.765,9.765,1156,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-18792,-4102.878502519489,False,False,False,False,28402.16933652329,False,False,False,False
2022-01-18 00:00:00+00:00,9.78,9.78,9.78,9.78,18,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-18792,-4678.922482812843,False,False,False,False,27289.06465665963,False,False,False,False
2022-01-19 00:00:00+00:00,9.78,9.78,9.78,9.78,12,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-18792,-5232.376503094692,False,False,False,False,26219.375846594547,False,False,False,False
