date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_161,Gap_Up_aVWAP_59,Gap_Up_aVWAP_30,Gap_Up_aVWAP_14,Gap_Up_aVWAP_10,Gap_Down_aVWAP_228,Gap_Down_aVWAP_211,Gap_Down_aVWAP_175,Gap_Down_aVWAP_170,Gap_Down_aVWAP_143,Gap_Down_aVWAP_119,Gap_Down_aVWAP_114,Gap_Down_aVWAP_72,Gap_Down_aVWAP_53,Gap_Down_aVWAP_36,aVWAP_OB_bear_109,aVWAP_OB_bear_60,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-09-10 00:00:00+00:00,2.305,2.32,2.2805,2.2963,1604,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,1604.0,False,False,False,False
2024-09-11 00:00:00+00:00,2.35,2.35,2.28,2.28,6407,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,6407,251.2549019607843,False,False,False,False,1792.3529411764707,False,False,False,False
2024-09-12 00:00:00+00:00,2.44,2.49,2.35,2.35,4089,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,10496,653.0096116878124,False,False,False,False,1882.4175317185698,False,False,False,False
2024-09-13 00:00:00+00:00,2.41,2.49,2.36,2.4484,13832,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.28896283971162,43.84821593640231,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-3336,496.577862209859,False,False,False,False,2351.028608906077,False,False,False,False
2024-09-16 00:00:00+00:00,2.38,2.435,2.28,2.435,9769,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.98803761579465,35.69520321227223,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-13105,-36.81734807288052,False,False,False,False,2641.9294477725052,False,False,False,False
2024-09-17 00:00:00+00:00,2.476,2.476,2.2801,2.32,11157,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.28235534719762,34.88140132434147,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-1948,-111.7656873641401,False,False,False,False,2975.8537831539757,False,False,False,False
2024-09-18 00:00:00+00:00,2.46,2.46,2.3602,2.42,6841,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.3926782731583,32.77969632701411,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-8789,-452.04938589887973,False,False,False,False,3127.428144598918,False,False,False,False
2024-09-19 00:00:00+00:00,2.485,2.51,2.45,2.45,11307,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.37038157914098,32.29571002038554,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,2518,-335.5768609616688,False,False,False,False,3448.195668340137,False,False,False,False
2024-09-20 00:00:00+00:00,2.455,2.53,2.442,2.5,4540,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.64906565362934,29.149293512096378,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-2022,-401.71110170827006,False,False,False,False,3491.011524483661,False,False,False,False
2024-09-23 00:00:00+00:00,2.48,2.5,2.48,2.48,2953,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.24722310703032,28.138500554716586,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,931,-349.44792124912226,False,False,False,False,3469.9130333274393,False,False,False,False
2024-09-24 00:00:00+00:00,2.54,2.58,2.52,2.58,7375,,,,,2.546666666666667,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.34935809030236,28.138500554716586,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,8306,-10.018591004058635,False,False,False,False,3623.0536986871475,False,False,False,False
2024-09-25 00:00:00+00:00,2.55,2.58,2.55,2.55,7247,,,,,2.553274973783796,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.36950266027574,28.138500554716586,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,15553,600.2958635451201,False,False,False,False,3765.1692399151025,False,False,False,False
2024-09-26 00:00:00+00:00,2.62,2.62,2.57,2.57,5460,,,,,2.5668851044052716,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.70218281093202,28.138500554716586,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,21013,1400.7940649747234,False,False,False,False,3831.633191290981,False,False,False,False
2024-09-27 00:00:00+00:00,2.87,2.87,2.61,2.62,27965,,,,,2.6928653887512923,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.97855336365309,26.348488518163947,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,48978,3266.5668467404203,False,False,False,False,4778.039732808982,False,False,False,False
2024-09-30 00:00:00+00:00,2.895,2.96,2.8902,2.9,20155,,,,2.915066666666667,2.7585301310812,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.98242266690379,29.056349658654256,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,69133,5849.5642252996195,False,False,False,False,5381.057782502748,False,False,False,False
2024-10-01 00:00:00+00:00,2.93,2.99,2.8701,2.9,33131,,,,2.9243723123021685,2.8146034003401326,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.1935729142555,31.042289300372218,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,102264,9630.522490974145,False,False,False,False,6469.2908106398945,False,False,False,False
2024-10-02 00:00:00+00:00,3.0999,3.1,2.92,3.0,32511,,,,2.968174403922437,2.869344630066844,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.42368450297803,33.101030992063414,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,134775,14538.149059955551,False,False,False,False,7490.534308261859,False,False,False,False
2024-10-03 00:00:00+00:00,3.0,3.16,2.9202,3.16,15370,,,,2.9770710870804376,2.885556676987414,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.25026640565116,33.101030992063414,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,119405,18650.57458701612,False,False,False,False,7799.532962839826,False,False,False,False
2024-10-04 00:00:00+00:00,3.14,3.2,2.9671,3.03,25594,,,,3.002369207669025,2.917300274968346,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.38531337913793,33.101030992063414,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,144999,23605.414799289996,False,False,False,False,8497.355199591206,False,False,False,False
