date,Close,High,Low,Open,Volume,Gap_Down_aVWAP_28,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-06-17 00:00:00+00:00,10.15,14.93,8.0001,8.5,97105,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,97105.0,False,False,False,False
2025-06-18 00:00:00+00:00,8.3,10.4,8.2,10.4,24113,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-24113,-945.6078431372549,False,False,False,False,94242.568627451,False,False,False,False
2025-06-20 00:00:00+00:00,9.21,10.38,8.5,9.13,87170,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.703495849409567,-73.40699169881914,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,63057,1564.2983467896966,False,False,False,False,93965.21299500194,False,False,False,False
2025-06-23 00:00:00+00:00,9.5,10.3776,9.5,9.59,12460,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.87626583387457,-63.106661225608754,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,75517,4464.404293974414,False,False,False,False,90768.93013245285,False,False,False,False
2025-06-24 00:00:00+00:00,9.3,9.5541,9.0001,9.53,10343,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.577843302953664,-56.81988356567187,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,65174,6845.172753034241,False,False,False,False,87614.97208804294,False,False,False,False
2025-06-25 00:00:00+00:00,9.0,9.5,8.82,9.02,6472,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.918253551304844,-53.31262607023689,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,58702,8878.773821542702,False,False,False,False,84432.89475125694,False,False,False,False
2025-06-26 00:00:00+00:00,9.5737,9.77,8.66,8.8,12354,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.64768882433539,-46.32725315888565,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,71056,11317.096416776321,False,False,False,False,81606.27142767825,False,False,False,False
2025-06-27 00:00:00+00:00,8.9,9.55,8.85,9.25,6087,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.356730882563866,-43.91692619047514,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,64969,13421.09263572627,False,False,False,False,78644.73137169087,False,False,False,False
2025-06-30 00:00:00+00:00,8.65,9.2499,8.65,8.88,9761,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.88740974971793,-42.402974644736304,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,55208,15059.794885305633,False,False,False,False,75943.40857280104,False,False,False,False
2025-07-01 00:00:00+00:00,8.9969,9.13,8.61,9.09,2626,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.796858700561486,-38.489529735377666,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,57834,16737.21469372502,False,False,False,False,73068.21607975003,False,False,False,False
