date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_144,Gap_Up_aVWAP_137,Gap_Up_aVWAP_90,Gap_Up_aVWAP_57,Gap_Up_aVWAP_47,Gap_Down_aVWAP_104,Gap_Down_aVWAP_8,aVWAP_OB_bull_89,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-08-12 00:00:00+00:00,16.5890834773,16.6018541343,15.4205683594,16.0271745681,14874,,,,,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,14874.0,False,False,False,False
2022-08-19 00:00:00+00:00,16.3450362215,17.5021854547,16.1127379702,16.7806433327,42070,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-42070,-3116.296296296296,False,False,False,False,16888.51851851852,False,False,False,False
2022-08-26 00:00:00+00:00,15.748327272,16.8125699753,15.6759814999,16.0399452252,119164,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-161234,-14828.718792866941,False,False,False,False,24464.48010973937,False,False,False,False
2022-09-02 00:00:00+00:00,14.4660894532,15.7079081425,14.3222918551,15.3503297457,22858,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-184092,-27366.739623024943,False,False,False,False,24345.48158309201,False,False,False,False
2022-09-09 00:00:00+00:00,16.4677622356,16.5124595352,14.5266223675,14.5266223675,28500,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.60194039772461,-36.19660321777596,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-155592,-36864.90705835643,False,False,False,False,24653.223688048154,False,False,False,False
2022-09-16 00:00:00+00:00,16.6657074195,17.1070613263,15.8994679979,16.5635421633,35328,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.7494806255126,-26.257601807820542,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-120264,-43042.61764662633,False,False,False,False,25443.947859303844,False,False,False,False
2022-09-23 00:00:00+00:00,14.743723537,17.3106255993,14.7245675515,17.0488271303,45065,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,15.592972229266667,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.376589354353722,-24.668089956970157,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-165329,-52100.868191320675,False,False,False,False,26897.359128985037,False,False,False,False
2022-09-30 00:00:00+00:00,14.0988053572,15.6504401859,13.9838694439,14.8171548149,35145,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,15.148120378813207,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.142088906989233,-24.668089956970157,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-200474,-63091.470547519144,False,False,False,False,27508.29548980096,False,False,False,False
2022-10-07 00:00:00+00:00,11.2637194973,13.4602725058,11.2637194973,13.31340995,19755,,,,,,,11.995903833466668,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,14.525181971837558,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.637553363378093,-24.668089956970157,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-220229,-74731.2875439992,False,False,False,False,26933.977305371256,False,False,False,False
2022-10-14 00:00:00+00:00,10.1215119329,11.3594355717,10.1207456934,11.1487835841,50165,,,,,,,10.946968821358086,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,13.191519320415404,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.096108275276926,-20.799815429202205,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-270394,-89224.82179999926,False,False,False,False,28654.793801269683,False,False,False,False
