date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_108,Gap_Up_aVWAP_101,Gap_Down_aVWAP_92,Gap_Down_aVWAP_24,aVWAP_OB_bull_185,aVWAP_OB_bull_95,aVWAP_OB_bear_154,aVWAP_OB_bear_33,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,70.8797983636,71.9999356511,68.2039148432,69.2796022385,454385,,,,,,,,,#000000,1.0,72.3953,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,454385.0,False,False,False,False
2022-01-07 00:00:00+00:00,69.1551425398,72.0088256296,68.6795286915,71.1287177608,632864,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-632864,-46878.81481481481,False,False,False,False,467605.6666666667,False,False,False,False
2022-01-14 00:00:00+00:00,69.0484627982,71.8309371604,68.2661446926,69.3240521308,760958,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1393822,-146652.3840877915,False,False,False,False,489335.4691358025,False,False,False,False
2022-01-21 00:00:00+00:00,61.0208122372,68.706198627,61.0208122372,68.5861839176,690532,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-2084354,-290185.8371183254,False,False,False,False,504238.9158664838,False,False,False,False
2022-01-28 00:00:00+00:00,61.41197129,62.9410475874,59.1894766718,60.2029342177,791180,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.191624349274418,-48.87354260732653,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1293174,-364481.25659104204,False,False,False,False,525493.810987485,False,False,False,False
2022-02-04 00:00:00+00:00,65.4391315382,66.4970389765,60.9674723664,60.9674723664,865694,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.670091862520412,-39.962304003661885,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-427480,-369147.83017689077,False,False,False,False,550693.8249884121,False,False,False,False
2022-02-11 00:00:00+00:00,61.9364800199,67.5638363932,60.7896727969,65.341341775,1094615,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.211687773163558,-36.093480067871155,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1522095,-454551.3242378618,False,False,False,False,590984.2823966779,False,False,False,False
2022-02-18 00:00:00+00:00,58.3360387384,62.2120693526,57.9982195565,62.1676194602,897460,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.937710997637865,-34.956546534215505,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-2419555,-600107.1520720943,False,False,False,False,613686.1874043314,False,False,False,False
2022-02-25 00:00:00+00:00,59.9184549066,60.4074037226,54.8067172848,57.7937500516,682955,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,58.37752530466666,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.107094779102017,-32.38191244889799,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1736600,-684291.8074741614,False,False,False,False,618817.210559566,False,False,False,False
2022-03-04 00:00:00+00:00,58.5760681572,60.6741030768,56.7980724627,59.1183568441,1110565,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,58.566522098884036,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.78987502080367,-31.207623749839176,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-2847165,-844504.6365501494,False,False,False,False,655242.9727403389,False,False,False,False
2022-03-11 00:00:00+00:00,58.3004788246,59.6517555524,56.5580430439,58.5760681572,529042,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,58.476221852086795,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.875183889782395,-30.52414562867735,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-3376207,-1032038.144953842,False,False,False,False,645894.7525373509,False,False,False,False
2022-03-18 00:00:00+00:00,61.3881031435,61.5043346234,57.7044593196,58.6611338078,733722,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,58.88980091027538,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.02334043022603,-26.857378541610608,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-2642485,-1151330.5045868908,False,False,False,False,652400.4745716212,False,False,False,False
