date,Close,High,Low,Open,Volume,Gap_Down_aVWAP_19,aVWAP_OB_bull_171,aVWAP_OB_bear_80,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,1.56,1.5822,1.49,1.51,922753,,,,#000000,-1.0,1.35,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,922753.0,False,False,False,False
2022-01-07 00:00:00+00:00,1.54,1.64,1.455,1.59,1119085,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-1119085,-82895.18518518518,False,False,False,False,937296.1111111111,False,False,False,False
2022-01-14 00:00:00+00:00,1.54,1.68,1.45,1.54,1230857,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1119085,-159649.98628257887,False,False,False,False,959041.3621399177,False,False,False,False
2022-01-21 00:00:00+00:00,1.58,1.72,1.48,1.53,1188235,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.90269792127377,-31.18573087129589,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,69150,-142701.839150536,False,False,False,False,976018.6686480719,False,False,False,False
2022-01-28 00:00:00+00:00,1.46,1.5606,1.4101,1.56,1230467,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,1.4769,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.360815791283294,-31.18573087129589,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1161317,-218154.81402827404,False,False,False,False,994866.6931926592,False,False,False,False
2022-02-04 00:00:00+00:00,1.47,1.56,1.44,1.47,1233757,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,1.4834587449436414,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.991767844408763,-30.64125304070823,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,72440,-196629.2722484019,False,False,False,False,1012562.2714746845,False,False,False,False
2022-02-11 00:00:00+00:00,1.57,1.6699,1.4579,1.47,1094713,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,1.5088275570580019,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.263758158649456,-22.373584396667823,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,1167153,-95608.36319296474,False,False,False,False,1018647.5106247079,False,False,False,False
2022-02-18 00:00:00+00:00,1.64,1.65,1.5508,1.57,773176,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,1.527526870382498,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.79585230701937,-14.07487694835715,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,1940329,55201.81185836598,False,False,False,False,1000464.4357636184,False,False,False,False
2022-02-25 00:00:00+00:00,1.8,1.8,1.5602,1.65,1194255,,,,#000000,0.0,0.0,,1.569134959892887,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.17972608798469,-5.127077812405972,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,3134584,283304.19616515364,False,False,False,False,1014819.2923737208,False,False,False,False
2022-03-04 00:00:00+00:00,1.91,1.9497,1.7403,1.78,1367110,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,1.62814125129579,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.94691527261584,2.1597048745453122,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,4501694,595777.5149677348,False,False,False,False,1040914.9003460378,False,False,False,False
