date,Close,High,Low,Open,Volume,Gap_Down_aVWAP_24,aVWAP_OB_bull_37,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,107.2191679863,107.8005117491,104.0896007299,104.0896007299,136173,,,#000000,-1.0,95.954735,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,136173.0,False,False,False,False
2022-01-07 00:00:00+00:00,106.9575632931,108.4109227001,102.4715272568,107.1416554846,306274,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-306274,-22686.962962962964,False,False,False,False,148773.07407407407,False,False,False,False
2022-01-14 00:00:00+00:00,104.9519273114,106.3423078108,102.9172241416,106.0274132726,153525,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-459799,-55065.632373113855,False,False,False,False,149125.06858710563,False,False,False,False
2022-01-21 00:00:00+00:00,99.0803553071,104.6224991791,98.7024818613,104.1961804197,153733,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-613532,-96433.5114565869,False,False,False,False,149466.39683991263,False,False,False,False
2022-01-28 00:00:00+00:00,95.6794942947,100.5337147141,92.9568676722,97.8595334052,270645,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-884177,-154784.8809783212,False,False,False,False,158442.5896665858,False,False,False,False
2022-02-04 00:00:00+00:00,95.7860739845,97.0165849491,90.6896269973,94.9818817793,346675,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,94.49742864363334,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29782195749986123,-49.71846518080091,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-537502,-183134.29720214923,False,False,False,False,172385.73117276462,False,False,False,False
2022-02-11 00:00:00+00:00,101.6677690147,104.6700724771,96.159102899,96.5611990016,354779,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,97.70146565045292,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.291728786951763,-39.338002984810245,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-182723,-183103.83074273076,False,False,False,False,185896.34367848575,False,False,False,False
2022-02-18 00:00:00+00:00,102.6099466773,104.9216815608,100.997560162,101.4152265485,400126,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,101.2060532832657,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.218997220320503,-31.358773532451327,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,217403,-153436.65809512106,False,False,False,False,201765.207109709,False,False,False,False
2022-02-25 00:00:00+00:00,103.328721389,104.1737673338,99.6571424564,102.3379778675,203827,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,101.34898141949931,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.380517486321637,-25.290088582820722,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,421230,-110868.75749548248,False,False,False,False,201917.93250898982,False,False,False,False
2022-03-04 00:00:00+00:00,104.1931936774,104.6205732357,99.3851736466,102.8624891436,212192,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,101.54513633681168,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.40307774057533,-20.391860911737364,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,633422,-55736.10879211342,False,False,False,False,202678.97454536095,False,False,False,False
