date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_138,Gap_Up_aVWAP_93,Gap_Up_aVWAP_10,Gap_Down_aVWAP_140,Gap_Down_aVWAP_136,aVWAP_OB_bull_171,aVWAP_OB_bull_113,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,8.865,9.37599,8.63,9.2,936373,,,,,,,,#000000,1.0,9.172665,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,936373.0,False,False,False,False
2022-01-07 00:00:00+00:00,9.079,9.55,8.8,8.997,770234,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,770234,57054.370370370365,False,False,False,False,924066.4074074074,False,False,False,False
2022-01-14 00:00:00+00:00,9.127,9.477,8.85,8.928,580674,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,1350908,152895.37997256516,False,False,False,False,898629.9327846365,False,False,False,False
2022-01-21 00:00:00+00:00,9.524,10.2,8.9,8.9,785467,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,2136375,299819.79627089365,False,False,False,False,890247.4933191079,False,False,False,False
2022-01-28 00:00:00+00:00,8.2,9.599,8.102,9.5,926739,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.1979548655178,31.280879208809793,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,1209636,367213.58913971635,False,False,False,False,892950.5678880629,False,False,False,False
2022-02-04 00:00:00+00:00,8.443,8.867,8.1,8.25,527844,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.4287319382729,20.967478917867595,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,1737480,468714.8047589966,False,False,False,False,865905.6369333916,False,False,False,False
2022-02-11 00:00:00+00:00,8.889,8.997,8.21,8.401,752187,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.348075248421644,17.239616925105665,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,2489667,618414.9673694413,False,False,False,False,857482.0341975847,False,False,False,False
2022-02-18 00:00:00+00:00,8.168,9.0,8.018,8.89,1140940,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.124020951800034,11.385556199091383,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,1348727,672512.1549717049,False,False,False,False,878478.9205533192,False,False,False,False
2022-02-25 00:00:00+00:00,7.7,8.25,7.451,8.2,1021673,,,,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.36176250317177,5.9597985986297815,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,327054,646922.6620108379,False,False,False,False,889085.8894012214,False,False,False,False
2022-03-04 00:00:00+00:00,8.004,8.294,7.3,7.8,1576736,,,,,,,,#000000,0.0,0.0,,7.8660000000000005,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.32628643876085,4.01048927937741,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,1903790,740023.9463063314,False,False,False,False,940022.9346307606,False,False,False,False
2022-03-11 00:00:00+00:00,8.866,9.78,8.3,8.8,2014116,,,8.981999999999998,,,,,#000000,0.0,0.0,,8.736983305354826,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.01402228748211,4.01048927937741,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,3917906,975422.6169503068,False,False,False,False,1019585.3839173709,False,False,False,False
2022-03-18 00:00:00+00:00,8.764,8.795,7.8,8.695,2905592,,,8.66957126073336,,,,,#000000,0.0,0.0,,8.57205485519183,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.814061463205654,4.01048927937741,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,1012314,978155.3119910249,False,False,False,False,1159289.5777012694,False,False,False,False
2022-03-25 00:00:00+00:00,8.542,9.18899,8.358,8.785,870382,,,8.673593706843935,,,,,#000000,0.0,0.0,,8.587168286252062,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.52045257729431,4.01048927937741,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,141932,916212.8444361341,False,False,False,False,1137889.0163900643,False,False,False,False
2022-04-01 00:00:00+00:00,8.393,8.7,8.1,8.4,917462,,,8.635852281338009,,,,,#000000,0.0,0.0,,8.562589871420116,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.749755811785086,4.01048927937741,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,-775530,790898.5596630871,False,False,False,False,1121561.0892500596,False,False,False,False
