date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_888,Gap_Up_aVWAP_864,Gap_Up_aVWAP_846,Gap_Up_aVWAP_822,Gap_Up_aVWAP_810,Gap_Up_aVWAP_798,Gap_Up_aVWAP_774,Gap_Up_aVWAP_768,Gap_Up_aVWAP_756,Gap_Up_aVWAP_726,Gap_Down_aVWAP_894,Gap_Down_aVWAP_882,Gap_Down_aVWAP_876,Gap_Down_aVWAP_870,Gap_Down_aVWAP_858,Gap_Down_aVWAP_834,Gap_Down_aVWAP_816,Gap_Down_aVWAP_804,Gap_Down_aVWAP_792,Gap_Down_aVWAP_762,aVWAP_OB_bear_635,aVWAP_OB_bear_371,aVWAP_OB_bear_267,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-02-03 15:00:00+00:00,68.71,69.39,68.34,68.395,8696.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,8696.0,False,False,False,False
2025-02-03 16:00:00+00:00,68.37,68.82,68.37,68.46,1110.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,1110.0,17.209302325581394,False,False,False,False,8578.387596899225,False,False,False,False
2025-02-03 17:00:00+00:00,68.46,68.66,68.37,68.535,2515.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,3625.0,73.14404182440958,False,False,False,False,8484.381587644973,False,False,False,False
2025-02-03 18:00:00+00:00,68.535,68.74,68.32,68.345,276.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.43887775551117,31.494989979960053,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,3349.0,123.93250629224818,False,False,False,False,8357.119857603966,False,False,False,False
2025-02-03 19:00:00+00:00,68.345,68.41,67.99,68.23,2398.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.95367148642757,16.99197167245414,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,951.0,136.75525813267842,False,False,False,False,8264.730402447314,False,False,False,False
2025-02-03 20:00:00+00:00,68.23,68.33,68.14,68.32,4599.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.32557129665796,12.733749789630153,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,5550.0,220.68153320038886,False,False,False,False,8207.897372952008,False,False,False,False
2025-02-04 15:00:00+00:00,67.71,68.06,67.64,67.98,39736.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.350369934565585,4.076463540473327,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-34186.0,-312.75538979496605,False,False,False,False,8696.705165619418,False,False,False,False
2025-02-04 16:00:00+00:00,68.035,68.27,67.95,67.95,52485.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.70240442580347,-1.7122834893701366,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-86671.0,-1651.6429031314783,False,False,False,False,9375.593457625317,False,False,False,False
2025-02-04 17:00:00+00:00,67.95,68.325,67.95,68.3,42012.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.24297228670853,-1.7122834893701366,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-44659.0,-2318.4236333154863,False,False,False,False,9881.5842567319,False,False,False,False
2025-02-04 18:00:00+00:00,68.3,68.47,68.3,68.33,1781.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.83738507464352,-1.7122834893701366,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-42878.0,-2947.254274659432,False,False,False,False,9755.993803139156,False,False,False,False
