date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_146,Gap_Down_aVWAP_24,aVWAP_OB_bull_171,aVWAP_OB_bull_158,aVWAP_OB_bull_120,aVWAP_OB_bull_111,aVWAP_OB_bull_64,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,77.766621702,78.6007745755,74.1126694406,74.9377554351,6487190,,,,,,,,#000000,-1.0,69.93352,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,6487190.0,False,False,False,False
2022-01-07 00:00:00+00:00,79.6343987884,81.212035745,76.5335261497,78.1202299853,10940367,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,10940367,810397.5555555555,False,False,False,False,6817054.962962963,False,False,False,False
2022-01-14 00:00:00+00:00,79.3442586585,80.0424083462,76.8508669169,79.2626567469,10292952,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.92322065599768,31.654492951989567,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,647415,798324.7736625513,False,False,False,False,7074528.817558299,False,False,False,False
2022-01-21 00:00:00+00:00,79.3442586585,80.0786758624,77.4855484511,79.1991885935,9852991,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.01123541028174,31.654492951989567,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,647415,787146.2719097697,False,False,False,False,7280340.831072498,False,False,False,False
2022-01-28 00:00:00+00:00,76.2161853826,79.6525325466,73.1289130625,78.5917076965,15241234,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.29234697681544,40.19565308646605,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-14593819,-352184.4889724355,False,False,False,False,7870036.621363424,False,False,False,False
2022-02-04 00:00:00+00:00,72.9249082837,78.5463733012,71.5558095455,75.6087044856,11941003,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,74.34236371013334,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.92966831956009,25.029563417530667,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-26534822,-2291639.119418922,False,False,False,False,8171589.686447615,False,False,False,False
2022-02-11 00:00:00+00:00,72.6347681537,74.543346196,71.8550165545,72.9883764371,10454335,,,,,,,,#000000,0.0,0.0,,73.72089213151921,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.04622538921822,14.460573855718536,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,-36989157,-4861825.629091594,False,False,False,False,8340681.93189594,False,False,False,False
2022-02-18 00:00:00+00:00,75.1281598954,76.5879274241,71.7462140058,72.9521089208,16551547,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,74.04665502734989,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.682927189136066,12.960797691444895,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-20437610,-6015587.434344068,False,False,False,False,8948894.159162907,False,False,False,False
2022-02-25 00:00:00+00:00,76.4428573591,76.5516599079,71.5830101827,75.0193573466,10421148,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,74.2181708622527,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.23019156451037,12.960797691444895,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-10016462,-6311948.513281545,False,False,False,False,9057949.999224914,False,False,False,False
2022-03-04 00:00:00+00:00,79.5326296297,79.6787621601,74.0389598178,75.4500520638,12868445,,,,,,,,#000000,0.0,0.0,,74.94846053614545,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.335374642626064,12.960797691444895,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,2851983,-5633138.771556986,False,False,False,False,9340208.888171216,False,False,False,False
2022-03-11 00:00:00+00:00,83.3046755688,84.7294677394,78.7517339208,79.4504300814,11486148,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,76.08791976580422,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.055559060310074,12.960797691444895,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,14338131,-4153785.455145357,False,False,False,False,9499167.340899276,False,False,False,False
2022-03-18 00:00:00+00:00,84.1814707507,84.7934007215,81.0304880656,83.8344059912,11113130,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,77.03727273233504,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.63815983722414,12.960797691444895,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,25451261,-1960819.0510605162,False,False,False,False,9618720.130462293,False,False,False,False
2022-03-25 00:00:00+00:00,87.8804504246,87.971783256,83.4097083249,84.5924684923,9626117,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,77.99348351784091,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.5971249934462,-4.6923737674319455,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,35077378,782751.1008698924,False,False,False,False,9619268.046724346,False,False,False,False
2022-04-01 00:00:00+00:00,89.3417757279,89.9354391323,87.3598532853,88.1635822021,10786919,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,79.10913935921987,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.66196140979373,-0.5888097820713583,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,45864297,4122124.871175826,False,False,False,False,9705760.70992995,False,False,False,False
2022-04-08 00:00:00+00:00,88.5745799436,90.8122343143,86.3825919888,90.5565023862,9362854,,,,,,,,"rgba(38, 166, 154, 0.5)",1.0,82.20942,,84.23671784611392,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.60111444550888,1.5747399169016347,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,36501443,6520592.880718358,False,False,False,False,9680360.212898102,False,False,False,False
2022-04-15 00:00:00+00:00,87.7069180448,89.8897727166,86.9123224112,88.720712474,6842386,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,84.38142754490025,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.92294422286554,2.3480604256253628,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,29659057,8234553.185850332,False,False,False,False,9470139.900831575,False,False,False,False
2022-04-22 00:00:00+00:00,86.711390182,89.7527734694,86.5195912359,87.5333856651,10598096,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,84.52629428405956,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.98122177946401,2.3480604256253628,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,19060961,9036509.320231788,False,False,False,False,9553692.20447368,False,False,False,False
2022-04-29 00:00:00+00:00,82.939344243,88.0311495965,82.7384120138,86.6291906337,10188668,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,84.16808678960784,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.66891597266785,2.3480604256253628,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,8872293,9024345.148362767,False,False,False,False,9600727.44858674,False,False,False,False
2022-05-06 00:00:00+00:00,80.7656228544,84.3230366395,79.6604955938,83.4599413822,14595627,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,83.40009289920944,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.954797083623134,2.3480604256253628,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-5723334,7931924.470706265,False,False,False,False,9970720.007950686,False,False,False,False
2022-05-13 00:00:00+00:00,80.7108231555,81.185753879,77.4867742052,80.1628261668,13673309,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,81.75660794458263,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.54814538357519,2.3480604256253628,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-19396643,5907586.139542839,False,False,False,False,10244985.859213598,False,False,False,False
2022-05-20 00:00:00+00:00,80.4733577937,82.8297448452,79.4138969489,81.0761544813,10938359,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,81.75179696891044,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.93464434242912,2.3480604256253628,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-30335002,3222949.9810581836,False,False,False,False,10296346.832605183,False,False,False,False
2022-05-27 00:00:00+00:00,82.9275702112,83.0931126603,78.7982057857,81.1617840872,10555521,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,81.80136307418866,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.90574551569935,2.3480604256253628,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-19779481,1519066.2046835036,False,False,False,False,10315544.919078873,False,False,False,False
2022-06-03 00:00:00+00:00,80.9318640189,82.4769268775,79.3500139495,82.0814643601,13058356,,,,,,,,#000000,0.0,0.0,,81.70176745536962,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.350170647209666,2.3480604256253628,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,-32837837,-1025889.5882560152,False,False,False,False,10518716.110258216,False,False,False,False
2022-06-10 00:00:00+00:00,75.4781600004,82.2654004147,75.1470751021,81.5848370127,9483510,,,,,,,,#000000,0.0,0.0,,81.31738369554077,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.08886606487435,13.778519103779544,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,-42321347,-4084812.3594963104,False,False,False,False,10442034.176165015,False,False,False,False
2022-06-17 00:00:00+00:00,71.413173194,74.3377564619,70.4107216965,73.8135387063,20825563,,72.05388378413335,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,77.83396729679463,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.38555830193233,8.750969284473193,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-63146910,-8459782.555089176,False,False,False,False,11211184.459412051,False,False,False,False
2022-06-24 00:00:00+00:00,76.6645475525,77.1243876889,71.7902421059,71.7902421059,10775826,,73.12431797160444,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,77.84859307655042,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.35589137229706,8.250217394046217,False,False,False,True,False,,0,,,False,False,False,False,-0.25063637164835245,-0.25063637164835245,False,False,False,False,-52371084,-11712471.551008496,False,False,False,False,11178935.68464079,False,False,False,False
2022-07-01 00:00:00+00:00,76.5265955115,77.9520999346,74.981532653,76.4346274842,9202179,,73.88262504470063,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,77.91518261564246,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.27339898584074,7.594463042778251,False,False,False,True,False,,0,1.0044989970707892,0.9885707805045063,False,False,False,False,-0.16551248211656774,-0.20807442688246008,False,False,False,False,-61573263,-15405863.510193052,False,False,False,False,11032509.263556285,False,False,False,False
2022-07-08 00:00:00+00:00,75.5149472113,76.7565155798,73.5652250326,76.0851489805,5942918,,74.06013407594375,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,77.85239496609755,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.75273172492501,6.455224454995282,False,False,False,True,False,,0,0.9708857737638878,1.0218275057927384,False,False,False,False,-0.22048753961587586,-0.21428098324916797,False,False,False,False,-67516181,-19265887.02795653,False,False,False,False,10655502.503292855,False,False,False,False
2022-07-15 00:00:00+00:00,74.6964317684,76.8116963961,73.3720921753,75.4321759867,9438934,,74.21132042150504,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,77.72260067012701,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.00710915742867,5.078308000618819,False,False,False,True,False,,0,0.9664792266149499,1.0110554859476133,False,False,False,False,-0.2234250931749274,-0.21885303821204768,False,False,False,False,-76955115,-23539163.174033824,False,False,False,False,10565386.317863755,False,False,False,False
2022-07-22 00:00:00+00:00,76.1771170078,76.5202497176,72.8537603735,74.9355486393,8643526,,74.34096723460104,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,77.62652422659113,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.42219852066302,4.844150699337604,False,False,False,True,False,,0,0.9567893807106324,1.0137953459078295,False,False,False,False,-0.24074703676130965,-0.22980003748667865,False,False,False,False,-68311589,-26855639.16114243,False,False,False,False,10423026.29431829,False,False,False,False
