date,Close,High,Low,Open,Volume,Gap_Down_aVWAP_156,aVWAP_OB_bear_134,aVWAP_OB_bear_104,aVWAP_OB_bear_83,aVWAP_OB_bear_58,aVWAP_OB_bear_33,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,149.7,157.35,148.5,150.3,222153,,,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,222153.0,False,False,False,False
2022-01-07 00:00:00+00:00,168.0,173.7,152.1,152.7,319604,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,319604,23674.37037037037,False,False,False,False,229371.59259259258,False,False,False,False
2022-01-14 00:00:00+00:00,159.0,166.5,154.275,166.05,175024,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.14022787028922,5.6310254163015045,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,144580,32630.34293552812,False,False,False,False,225345.84499314128,False,False,False,False
2022-01-21 00:00:00+00:00,146.85,161.25,145.95,156.75,140562,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.86737950741104,5.6310254163015045,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,4018,30510.910125489,False,False,False,False,219065.5601788345,False,False,False,False
2022-01-28 00:00:00+00:00,147.3,161.55,140.1,142.8,201788,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.59658996849623,5.6310254163015045,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,205806,43495.731597675,False,False,False,False,217785.74090632825,False,False,False,False
2022-02-04 00:00:00+00:00,148.95,155.25,141.6,146.1,177353,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.74848179256502,5.6310254163015045,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,383159,68655.97370155092,False,False,False,False,214790.72306141508,False,False,False,False
2022-02-11 00:00:00+00:00,129.45,159.6,117.0,149.7,830628,,,,,,,#000000,0.0,0.0,,135.35000000000002,,0.0,0.0,0.0,0.0,-1.0,141.6,139.65,0.0,52.432957866730355,36.954656316432036,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,-447469,30424.494168102705,False,False,False,False,260408.29913093988,False,False,False,False
2022-02-18 00:00:00+00:00,128.4,139.65,127.65,128.7,289107,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,134.45923642647594,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.59964183901419,29.84809116163899,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-736576,-26390.35725175675,False,False,False,False,262534.1288249443,False,False,False,False
2022-02-25 00:00:00+00:00,125.55,129.6,117.3,126.9,150742,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,133.23604630386856,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.238389317827846,24.035693754120786,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-887318,-90162.7752331081,False,False,False,False,254253.23039346695,False,False,False,False
2022-03-04 00:00:00+00:00,125.25,133.65,123.3,125.1,185437,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,132.49272017440595,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.35828280207882,19.49428987803688,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-1072755,-162947.3844751001,False,False,False,False,249155.73184580271,False,False,False,False
2022-03-11 00:00:00+00:00,118.95,131.85,118.8,125.55,216066,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,131.2918440411967,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.60133830036113,14.918747376688628,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-1288821,-246345.4300695371,False,False,False,False,246704.64059796545,False,False,False,False
2022-03-18 00:00:00+00:00,128.85,130.8,115.95,120.6,163164,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,130.75021371619886,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.84228597498343,14.918747376688628,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-1125657,-311479.6204347566,False,False,False,False,240516.44499811615,False,False,False,False
2022-03-25 00:00:00+00:00,121.35,128.25,120.675,128.25,127864,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,130.27307295742045,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3904311711593,13.365881542677826,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-1253521,-381260.4633655154,False,False,False,False,232171.81944270016,False,False,False,False
2022-04-01 00:00:00+00:00,121.8,133.95,118.8,121.8,205262,,,,,,,"rgba(239, 83, 80, 0.5)",1.0,127.65,,127.30484547588631,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.22414147081759,11.761755388838488,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-1048259,-430667.76237547724,False,False,False,False,230178.4994839816,False,False,False,False
2022-04-08 00:00:00+00:00,117.15,126.75,114.0,121.8,124389,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,125.97399261392565,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.33528734074418,9.374766716825263,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-1172648,-485629.26145877526,False,False,False,False,222342.24026294594,False,False,False,False
2022-04-15 00:00:00+00:00,124.2,128.55,114.975,116.85,108976,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,125.80140420732715,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.05132860534691,9.374766716825263,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-1063672,-528447.2420914585,False,False,False,False,213944.7409842092,False,False,False,False
2022-04-22 00:00:00+00:00,115.35,124.8,114.6,124.5,99778,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,125.17581029816812,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.77949355240031,7.82895058747269,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-1163450,-575484.4834180172,False,False,False,False,205487.94535574925,False,False,False,False
2022-04-29 00:00:00+00:00,114.75,118.05,110.55,114.0,90843,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,124.39356971912724,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.492337436571695,6.0222881498774115,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-1254293,-625766.5957574233,False,False,False,False,196995.72718124933,False,False,False,False
2022-05-06 00:00:00+00:00,116.85,123.9,111.9,114.3,123342,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,123.88957486118478,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.970258706414754,5.010943231667014,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-1130951,-663187.6627383549,False,False,False,False,191539.8955381938,False,False,False,False
2022-05-13 00:00:00+00:00,110.7,118.95,100.5,115.5,150637,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,118.40212504014374,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.30308418901058,2.911274699747892,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-1281588,-708995.0951281064,False,False,False,False,188510.05142425353,False,False,False,False
2022-05-20 00:00:00+00:00,118.5,121.6545,106.95,109.35,401717,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,119.03178323650832,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.171118901335596,2.911274699747892,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-879871,-721652.5695630616,False,False,False,False,204303.15872616068,False,False,False,False
