date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_882,Gap_Up_aVWAP_876,Gap_Up_aVWAP_846,Gap_Up_aVWAP_834,Gap_Up_aVWAP_780,Gap_Up_aVWAP_750,Gap_Up_aVWAP_702,Gap_Up_aVWAP_690,Gap_Up_aVWAP_648,Gap_Up_aVWAP_642,Gap_Down_aVWAP_888,Gap_Down_aVWAP_864,Gap_Down_aVWAP_852,Gap_Down_aVWAP_816,Gap_Down_aVWAP_756,Gap_Down_aVWAP_732,Gap_Down_aVWAP_726,Gap_Down_aVWAP_714,Gap_Down_aVWAP_689,Gap_Down_aVWAP_684,aVWAP_OB_bull_853,aVWAP_OB_bull_832,aVWAP_OB_bull_800,aVWAP_OB_bull_638,aVWAP_OB_bull_479,aVWAP_OB_bull_409,aVWAP_OB_bull_254,aVWAP_OB_bear_703,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-02-10 15:00:00+00:00,1.125,1.125,1.11,1.12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,0.0,False,False,False,False
2025-02-10 16:00:00+00:00,1.12,1.12,1.115,1.115,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-600.0,-9.30232558139535,False,False,False,False,9.30232558139535,False,False,False,False
2025-02-10 17:00:00+00:00,1.115,1.115,1.11,1.11,212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-812.0,-21.747250766179917,False,False,False,False,12.44492518478457,False,False,False,False
2025-02-10 18:00:00+00:00,1.11,1.11,1.11,1.11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-812.0,-33.999231374456194,False,False,False,False,12.25198060827628,False,False,False,False
2025-02-10 19:00:00+00:00,1.11,1.13,1.11,1.125,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.259541984732778,-29.9664122137405,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-812.0,-46.06125879500726,False,False,False,False,12.062027420551066,False,False,False,False
2025-02-10 20:00:00+00:00,1.125,1.135,1.125,1.135,629.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.794630824536924,-14.620404777000736,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-183.0,-48.1843400539994,False,False,False,False,21.626957227984384,False,False,False,False
2025-02-11 15:00:00+00:00,1.135,1.135,1.135,1.135,700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.15135671773969,-5.323762147017945,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-183.0,-50.27450532448003,False,False,False,False,32.14436874382959,False,False,False,False
2025-02-11 16:00:00+00:00,1.135,1.135,1.13,1.13,214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.863814567318144,-3.6019986162678137,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-397.0,-55.650094389216775,False,False,False,False,34.963835895088046,False,False,False,False
2025-02-11 17:00:00+00:00,1.13,1.13,1.13,1.13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.33878646703712,-2.229935743227429,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-397.0,-60.94234098783357,False,False,False,False,34.4217609199704,False,False,False,False
2025-02-11 18:00:00+00:00,1.13,1.13,1.08,1.095,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.98054314601066,-2.229935743227429,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-397.0,-66.15253725158809,False,False,False,False,33.88809020803288,False,False,False,False
