date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_176,Gap_Up_aVWAP_42,Gap_Down_aVWAP_136,Gap_Down_aVWAP_107,Gap_Down_aVWAP_34,Gap_Down_aVWAP_24,aVWAP_OB_bull_171,aVWAP_OB_bear_153,aVWAP_OB_bear_104,aVWAP_OB_bear_83,aVWAP_OB_bear_2,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,69.8123216563,70.0452018991,67.880278161,68.4754165591,2939353,,,,,,,,,,,,#000000,1.0,65.832634,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,2939353.0,False,False,False,False
2022-01-07 00:00:00+00:00,73.7971613654,75.4359482588,69.7519452971,70.4074600545,5803050,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,5803050,429855.5555555555,False,False,False,False,3151478.703703704,False,False,False,False
2022-01-14 00:00:00+00:00,76.7901037443,77.756125492,71.9427446177,73.2503240547,5692654,,,,,,,,,,,75.496324618,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,-1.0,77.75613,71.94274,0.0,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,11495704,1249548.0329218106,False,False,False,False,3339713.9108367627,False,False,False,False
2022-01-21 00:00:00+00:00,67.5266451998,77.2213634531,67.2592641804,76.332968453,5637334,,,,,,,,,,,73.09449254951569,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.95541110152851,33.88753705691367,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,5858370,1590942.25270538,False,False,False,False,3509907.991515521,False,False,False,False
2022-01-28 00:00:00+00:00,67.0005083551,71.7184895691,64.0506919471,66.5088722871,8028311,,,,,,,,,,,70.81161593823667,"rgba(38, 166, 154, 0.5)",0.0,0.0,,67.58989662376666,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.37690427545932,22.69601178943401,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-2169941,1312358.308060537,False,False,False,False,3844604.5106625194,False,False,False,False
2022-02-04 00:00:00+00:00,68.6392952485,72.1756248604,66.3967447629,66.7762533066,6944632,,,,,,,,,,,70.35193227019239,"rgba(38, 166, 154, 0.5)",0.0,0.0,,68.27664386135989,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.21859628566085,16.954845468716897,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,4774691,1568827.396352349,False,False,False,False,4074236.17653937,False,False,False,False
2022-02-11 00:00:00+00:00,65.3013451026,71.9944957827,64.9132113647,69.1481817048,7859350,,,,,,,,,,,69.6735070223567,"rgba(38, 166, 154, 0.5)",0.0,0.0,,67.97592347387626,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.697574411835596,10.871749675521627,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-3084659,1224124.700326249,False,False,False,False,4354614.978277194,False,False,False,False
2022-02-18 00:00:00+00:00,66.7762533066,69.2396087631,64.3266981607,65.0080885006,6542680,,,,,,,,,,,69.20855861138484,#000000,0.0,0.0,,67.7097458333164,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.784228282441745,8.192480329566237,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,3458021,1389598.5003020824,False,False,False,False,4516693.86877518,False,False,False,False
2022-02-25 00:00:00+00:00,66.5870770929,66.8494375228,61.8995707465,66.1379889376,8044632,,,,,,,,,,,68.53255137594954,#000000,0.0,0.0,,67.15127707459838,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.85701674416569,6.270061771373406,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,-4586611,946916.3150945208,False,False,False,False,4778022.619236277,False,False,False,False
2022-03-04 00:00:00+00:00,54.6146961446,66.0798469286,54.063739242,64.9342063849,14706383,,,,,,,,,,,66.15013529294097,"rgba(239, 83, 80, 0.5)",0.0,0.0,,64.6407253536089,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.69658766334117,0.15468445273257458,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-19292994,-552336.3008384065,False,False,False,False,5513456.721515072,False,False,False,False
