date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_176,Gap_Up_aVWAP_111,Gap_Down_aVWAP_171,Gap_Down_aVWAP_28,Gap_Down_aVWAP_4,aVWAP_OB_bull_160,aVWAP_OB_bull_70,aVWAP_OB_bull_43,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,3.93,4.1,3.4,4.04,68687068,,,,,,,,,#000000,-1.0,3.8075,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,68687068.0,False,False,False,False
2022-01-07 00:00:00+00:00,3.42,3.95,3.33,3.94,53186421,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-53186421,-3939734.8888888885,False,False,False,False,67538871.92592593,False,False,False,False
2022-01-14 00:00:00+00:00,3.46,3.7,3.17,3.38,72597334,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2148394241417537,-55.53709856035438,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,19410913,-2210057.2674897118,False,False,False,False,67913572.82030179,False,False,False,False
2022-01-21 00:00:00+00:00,3.34,3.81,3.27,3.31,32561404,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3550778054913226,-54.33809293447712,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-13150491,-3020459.7661941773,False,False,False,False,65294893.648427576,False,False,False,False
2022-01-28 00:00:00+00:00,2.65,3.24,2.26,3.2,69838962,,,,,2.7166666666666672,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,2.7166666666666672,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1919782409461277,-54.33809293447712,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-82989453,-8944088.894624239,False,False,False,False,65631491.304099604,False,False,False,False
2022-02-04 00:00:00+00:00,3.05,3.14,2.51,2.57,53588144,,,,,2.7962641990487898,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,2.7962641990487898,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.160902988440036,-47.51968510615192,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-29401309,-10459438.53205948,False,False,False,False,64739391.50379593,False,False,False,False
2022-02-11 00:00:00+00:00,3.23,3.68,2.98,3.0,30644982,,,,,2.8957943917784776,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,2.8957943917784776,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.404748061129375,-40.66199687608412,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,1243673,-9592541.381536556,False,False,False,False,62213879.68869993,False,False,False,False
2022-02-18 00:00:00+00:00,3.35,3.86,3.07,3.19,39267978,,,,,3.003616227378344,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,3.003616227378344,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.915680382017193,-34.676739609483,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,40511651,-5881119.723644959,False,False,False,False,60514183.267314754,False,False,False,False
2022-02-25 00:00:00+00:00,2.91,3.91,2.72,3.26,73712907,,,,,3.052302300712451,,,,"rgba(239, 83, 80, 0.5)",1.0,4.6775,,3.1161511503562256,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.019157707247395,-32.956509601547396,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-33201256,-7904833.521893481,False,False,False,False,61491866.50677292,False,False,False,False
2022-03-04 00:00:00+00:00,2.37,2.96,2.28,2.84,47632372,,,,,2.974253072403695,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,2.950860838410122,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.503729616455516,-32.956509601547396,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-80833628,-13306966.446197666,False,False,False,False,60465237.284049,False,False,False,False
