date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_186,Gap_Up_aVWAP_172,Gap_Up_aVWAP_152,Gap_Up_aVWAP_13,Gap_Down_aVWAP_91,Gap_Down_aVWAP_60,Gap_Down_aVWAP_35,Gap_Down_aVWAP_34,Gap_Down_aVWAP_24,aVWAP_OB_bull_120,aVWAP_OB_bull_96,aVWAP_OB_bear_166,aVWAP_OB_bear_33,aVWAP_OB_bear_0,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,109.8791641708,110.9650043839,102.9024091886,102.9024091886,129629,,,,,,,,,,,,,,107.91552591443335,#000000,1.0,106.73896,,,,-1.0,110.965004,102.90241,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,129629.0,False,False,False,False
2022-01-07 00:00:00+00:00,99.9623403547,110.7583487418,99.3771626671,110.7583487418,87832,,,,,,,,,,,,,,106.0779628567678,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-87832,-6506.074074074074,False,False,False,False,126532.92592592593,False,False,False,False
2022-01-14 00:00:00+00:00,97.1357146912,100.8320713281,95.0474149953,98.1283424325,57381,,,,,,,,,,,,,,104.32292601058731,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-145213,-16780.661179698218,False,False,False,False,121410.561042524,False,False,False,False
2022-01-21 00:00:00+00:00,90.3480316597,95.9540149991,89.9982485508,95.6514998779,65230,,,,,,,,,,,,,,101.97843706462918,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-210443,-31126.01961083168,False,False,False,False,117249.03800233704,False,False,False,False
2022-01-28 00:00:00+00:00,89.260867943,91.7849784853,82.3219273509,88.2209722139,137490,,,,,,,,,,,,,,97.8933753559607,"rgba(239, 83, 80, 0.5)",0.0,0.0,,87.78925792639998,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-347933,-54593.203343362664,False,False,False,False,118748.36852068243,False,False,False,False
2022-02-04 00:00:00+00:00,89.433490634,93.5858888161,89.2117092358,89.4783006863,51225,,,,,,,,,,,,,,97.20076696487442,"rgba(239, 83, 80, 0.5)",0.0,0.0,,88.59121379653169,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29143336266880376,-49.72450439935215,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-296708,-72527.6327253358,False,False,False,False,113746.63751915039,False,False,False,False
2022-02-11 00:00:00+00:00,85.8197584395,92.1064008016,84.9689346612,89.3459503208,53499,,,,,,,,,,,,,,96.32158453168162,"rgba(239, 83, 80, 0.5)",0.0,0.0,,88.3792808061144,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4453385516458409,-49.59096922191301,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-350207,-93096.47474568129,False,False,False,False,109283.84955476888,False,False,False,False
2022-02-18 00:00:00+00:00,83.161974028,86.7228606122,82.9175039957,85.6495936839,24731,,,,,,,,,,,,,,95.83047654823984,"rgba(239, 83, 80, 0.5)",0.0,0.0,,87.99834173121931,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5249258702737862,-49.53076281589437,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-374938,-113973.62476451971,False,False,False,False,103020.67551367488,False,False,False,False
2022-02-25 00:00:00+00:00,86.2262631336,86.2262631336,75.9880170012,82.5960816795,43676,,,,,,,,,,,,,,94.95674832649671,"rgba(239, 83, 80, 0.5)",0.0,0.0,,85.04141228844011,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.452974703964337,-45.83149752829139,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-331262,-130069.05996714788,False,False,False,False,98624.77362377304,False,False,False,False
2022-03-04 00:00:00+00:00,88.0732124844,88.0791682509,82.340834546,84.0235749075,28752,,,,,,,,,,,,,,94.58468369635379,"rgba(239, 83, 80, 0.5)",0.0,0.0,,85.6597154662754,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.242638835861234,-41.47448567745191,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-302510,-142842.46293254435,False,False,False,False,93449.01261460467,False,False,False,False
