date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_23,Gap_Up_aVWAP_22,Gap_Down_aVWAP_157,Gap_Down_aVWAP_139,Gap_Down_aVWAP_107,Gap_Down_aVWAP_106,Gap_Down_aVWAP_101,Gap_Down_aVWAP_43,Gap_Down_aVWAP_41,Gap_Down_aVWAP_28,aVWAP_OB_bull_139,aVWAP_OB_bear_23,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,117.2218727014,124.0394220946,101.5300204195,113.5791212788,1687206,,,,,,,,,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,1687206.0,False,False,False,False
2022-01-07 00:00:00+00:00,113.6725251614,118.2493154103,98.9147117058,117.8756998798,2138132,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-2138132,-158380.14814814815,False,False,False,False,1720607.9259259258,False,False,False,False
2022-01-14 00:00:00+00:00,119.5569697672,137.6773229975,110.781674994,117.2218727014,1662718,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.280297901162758,-95.7007447529069,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-475414,-181864.13717421124,False,False,False,False,1716319.783264746,False,False,False,False
2022-01-21 00:00:00+00:00,117.0350649361,135.2488220491,110.4033892694,112.0846591567,1581367,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.186612175617913,-86.28179074886617,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-2056781,-320746.8677538993,False,False,False,False,1706323.2808006909,False,False,False,False
2022-01-28 00:00:00+00:00,99.7553466495,115.6340066967,92.0962282738,111.3374280957,1961903,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,102.49519387333333,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.71674614657356,-86.28179074886617,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-4018684,-594668.136809166,False,False,False,False,1725255.1118524915,False,False,False,False
2022-02-04 00:00:00+00:00,113.1121018656,122.2656823634,104.6123485463,104.8925601942,1444736,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,107.09019158397066,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.890988408961096,-79.73742721070984,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-2573948,-741281.4600084871,False,False,False,False,1704475.9183819366,False,False,False,False
2022-02-11 00:00:00+00:00,112.9252941004,128.8048881864,107.0408494947,110.6836009173,1329096,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,109.66288251341084,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.23385218735942,-73.46673150088131,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-3903044,-975486.092600451,False,False,False,False,1676669.998501793,False,False,False,False
2022-02-18 00:00:00+00:00,107.1342533773,126.6556648471,104.8925601942,112.0846591567,1128669,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,110.28477727621231,,0.0,0.0,0.0,0.0,-1.0,107.0408494947,103.0244825415,0.0,36.43303634378801,-69.93993478537737,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-5031713,-1275947.3450004174,False,False,False,False,1636077.3319461045,False,False,False,False
2022-02-25 00:00:00+00:00,97.607057349,103.0244825415,83.9700904849,100.3157699453,1224936,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,107.62084339297719,,0.0,0.0,0.0,0.0,-1.0,104.8925601942,100.4091738279,0.0,35.00262823606657,-68.78566229705459,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-6256649,-1644888.20833372,False,False,False,False,1605622.4184686153,False,False,False,False
2022-03-04 00:00:00+00:00,74.1626828087,100.4091738279,73.2389184095,94.057709809,2009821,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,102.09503745867832,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.850594700811662,-68.78566229705459,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-8266470,-2135375.748457148,False,False,False,False,1635563.0541376069,False,False,False,False
2022-03-11 00:00:00+00:00,46.9821529632,74.3877861658,46.7953451979,72.2946051561,2988086,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,90.7135121062131,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.11743835846886,-68.78566229705459,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-11254556,-2810870.5819047666,False,False,False,False,1735749.9390163026,False,False,False,False
2022-03-18 00:00:00+00:00,68.6518537335,73.0418362171,33.1583783339,39.1829287635,10841128,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",-1.0,30.743584,,66.83201728342785,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.76122715523902,-68.30459146749608,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-413428,-2633282.2425044132,False,False,False,False,2410222.387978058,False,False,False,False
2022-03-25 00:00:00+00:00,60.6191198273,76.731289581,56.2403458095,63.1410246583,8667666,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,66.73140815189377,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.249261335380638,-65.12947814180094,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-9081094,-3110897.9282448273,False,False,False,False,2873736.7296093125,False,False,False,False
2022-04-01 00:00:00+00:00,63.8882557193,73.1352400998,57.2565800526,63.3278324235,6211286,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,66.55040019731423,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.23887154102793,-61.45889946912962,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-2869808,-3093039.4150415068,False,False,False,False,3120962.601490104,False,False,False,False
2022-04-08 00:00:00+00:00,57.5367917004,75.0033177524,56.4159451089,70.2397197382,5478499,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,66.12450005203652,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.383025851151334,-58.63410944324211,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-8348307,-3482318.4954088023,False,False,False,False,3295594.927305652,False,False,False,False
