date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_198,Gap_Up_aVWAP_53,Gap_Up_aVWAP_49,Gap_Up_aVWAP_47,Gap_Up_aVWAP_45,Gap_Up_aVWAP_30,Gap_Down_aVWAP_114,Gap_Down_aVWAP_72,Gap_Down_aVWAP_43,Gap_Down_aVWAP_42,Gap_Down_aVWAP_36,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,659.47,672.5924,657.33,665.04,58248,,,,,,,,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,58248.0,False,False,False,False
2022-01-04 00:00:00+00:00,667.17,676.1817,665.81,666.48,62471,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,62471,2449.843137254902,False,False,False,False,58413.60784313726,False,False,False,False
2022-01-05 00:00:00+00:00,658.07,672.58,656.11,670.89,80626,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.15942028985509,-25.362318840579633,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-18155,1641.8100730488277,False,False,False,False,59284.682045367175,False,False,False,False
2022-01-06 00:00:00+00:00,658.75,668.07,655.4834,665.41,70872,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.43549830023258,-25.362318840579633,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,52717,3644.7586976351486,False,False,False,False,59739.08667103905,False,False,False,False
2022-01-07 00:00:00+00:00,674.31,677.275,661.06,662.58,80151,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.12112224526527,-25.362318840579633,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,132868,8712.336787923967,False,False,False,False,60539.55386041007,False,False,False,False
2022-01-10 00:00:00+00:00,678.03,684.76,669.68,678.8,75704,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.28110103298691,-25.362318840579633,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,208572,16549.97063937793,False,False,False,False,61134.23802274693,False,False,False,False
2022-01-11 00:00:00+00:00,683.59,684.4,674.38,681.89,89253,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.9673878150085,-22.540307118239227,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,297825,27580.36394763762,False,False,False,False,62236.93457087451,False,False,False,False
2022-01-12 00:00:00+00:00,677.02,685.47,672.89,679.65,67103,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.92428924626424,-22.402178957825726,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,230722,35546.70261635771,False,False,False,False,62427.76066613434,False,False,False,False
2022-01-13 00:00:00+00:00,684.57,694.1,680.58,680.58,65193,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.92859551732003,-18.929977752884767,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,295915,45757.2240823829,False,False,False,False,62536.201424325154,False,False,False,False
2022-01-14 00:00:00+00:00,684.46,686.5689,676.4125,678.65,41127,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.8600141910779,-15.433275672498908,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,254788,53954.50941248553,False,False,False,False,61696.62489788103,False,False,False,False
