date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_186,Gap_Up_aVWAP_176,Gap_Up_aVWAP_108,Gap_Up_aVWAP_76,Gap_Up_aVWAP_71,Gap_Down_aVWAP_105,aVWAP_OB_bear_163,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,50.49,53.97,49.13,52.0,9696156,,,,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,9696156.0,False,False,False,False
2022-01-07 00:00:00+00:00,44.33,52.29,41.42,52.0,22766589,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-22766589,-1686414.0,False,False,False,False,10664336.222222222,False,False,False,False
2022-01-14 00:00:00+00:00,42.68,50.1057,40.74,42.76,19992361,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-42758950,-4728824.074074075,False,False,False,False,11355301.02057613,False,False,False,False
2022-01-21 00:00:00+00:00,40.11,44.8,39.79,41.65,15610362,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-58369312,-8702193.550068587,False,False,False,False,11670490.722755678,False,False,False,False
2022-01-28 00:00:00+00:00,40.54,44.8,35.9,38.48,18744281,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,40.41333333333333,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3247041277324212,-48.747740629252945,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-39625031,-10992774.10191536,False,False,False,False,12194475.187736738,False,False,False,False
2022-02-04 00:00:00+00:00,42.85,46.94,40.9,41.88,12286031,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,41.66053309239472,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.010462971243115,-42.48194279023577,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-27339000,-12203605.64992163,False,False,False,False,12201257.09975624,False,False,False,False
2022-02-11 00:00:00+00:00,45.08,48.46,41.75,43.0,17911277,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,42.91806357955944,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.63367439976252,-34.644152040755756,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-9427723,-11997984.712890398,False,False,False,False,12624221.536811335,False,False,False,False
2022-02-18 00:00:00+00:00,38.99,46.14,38.58,44.07,18917909,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,42.44932280297741,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.043747103915177,-32.947251856867894,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-28345632,-13208921.54897259,False,False,False,False,13090420.608158644,False,False,False,False
2022-02-25 00:00:00+00:00,38.82,40.22,31.83,38.53,20781831,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,41.16157753952449,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.692369329281377,-31.903702011516895,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-49127463,-15869554.249048695,False,False,False,False,13660154.711258003,False,False,False,False
2022-03-04 00:00:00+00:00,36.74,44.74,36.27,39.57,21636614,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,40.78652461208857,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.035790277235137,-31.903702011516895,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-70764077,-19935815.193563607,False,False,False,False,14251003.547461113,False,False,False,False
