date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_102,Gap_Up_aVWAP_54,Gap_Up_aVWAP_32,Gap_Down_aVWAP_24,aVWAP_OB_bull_93,aVWAP_OB_bull_53,aVWAP_OB_bull_24,aVWAP_OB_bear_183,aVWAP_OB_bear_154,aVWAP_OB_bear_0,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,34.965,35.5334,34.789,34.96,29142050,,,,,,,,,,35.0958,#000000,1.0,37.075493,,,,-1.0,35.5334,34.789,68.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,29142050.0,False,False,False,False
2022-01-07 00:00:00+00:00,31.9562,34.9814,31.799,34.8,76451800,,,,,,,,,,33.514835289649916,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-76451800,-5663096.296296296,False,False,False,False,32646475.925925925,False,False,False,False
2022-01-14 00:00:00+00:00,29.9626,31.925,29.2,31.479,81738450,,,,,,,,,,32.13939562526057,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-158190250,-16961403.978052124,False,False,False,False,36282918.44993141,False,False,False,False
2022-01-21 00:00:00+00:00,27.568,30.14,27.3984,29.74,82225800,,,,,,,,,,30.98921597284593,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-240416050,-33513599.979677893,False,False,False,False,39686094.8610476,False,False,False,False
2022-01-28 00:00:00+00:00,28.2004,28.5282,25.9358,26.7,105968100,,,,,,,,,,30.020073113433895,"rgba(239, 83, 80, 0.5)",0.0,0.0,,27.554799999999997,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.562818710914919,-47.57733543733824,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-134447950,-40990218.49970175,False,False,False,False,44595873.01948852,False,False,False,False
2022-02-04 00:00:00+00:00,29.6688,30.4216,28.455,28.455,90182000,,,,,,,,,,29.922294119529496,"rgba(239, 83, 80, 0.5)",0.0,0.0,,28.4560831533946,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.138425361843776,-41.46644788632192,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-44265950,-41232865.27750163,False,False,False,False,47972623.166193075,False,False,False,False
2022-02-11 00:00:00+00:00,31.2296,32.32,28.694,29.7172,144542050,,,,,,,,,,30.117836765168605,"rgba(239, 83, 80, 0.5)",0.0,0.0,,30.088130941457457,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.49324551329264,-33.91488137827338,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,100276100,-30750719.701390397,False,False,False,False,55125914.04277137,False,False,False,False
2022-02-18 00:00:00+00:00,30.4664,31.899998,29.9892,31.1568,71729150,,,,,,,,,,30.188028547730177,"rgba(239, 83, 80, 0.5)",0.0,0.0,,30.212310936790647,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.554366145002966,-29.723529869157346,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,28546950,-26358299.72350963,False,False,False,False,56355783.37293646,False,False,False,False
2022-02-25 00:00:00+00:00,29.94,30.6098,27.24,30.1698,59881700,,,,,,,,,,30.113383424090078,"rgba(239, 83, 80, 0.5)",0.0,0.0,,30.024578772380615,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.59025306503844,-27.483992874326322,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-31334750,-26726925.669916324,False,False,False,False,56616962.38234857,False,False,False,False
2022-03-04 00:00:00+00:00,28.8456,30.5312,28.272,29.772,57719850,,,,,,,,,,30.04862269577237,"rgba(239, 83, 80, 0.5)",0.0,0.0,,29.897545852167795,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.68106960232578,-27.01450068510396,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-89054600,-31343790.435107708,False,False,False,False,56698657.761433855,False,False,False,False
