date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_142,Gap_Up_aVWAP_139,Gap_Up_aVWAP_136,Gap_Up_aVWAP_112,Gap_Up_aVWAP_79,Gap_Up_aVWAP_74,Gap_Up_aVWAP_24,Gap_Down_aVWAP_155,Gap_Down_aVWAP_101,Gap_Down_aVWAP_68,Gap_Down_aVWAP_10,aVWAP_OB_bull_71,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-24 00:00:00+00:00,27.6210776729,27.8234651925,27.250033887,27.4090526524,293849,,,,,,,,,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,293849.0,False,False,False,False
2024-12-26 00:00:00+00:00,27.3608651477,27.9102027009,27.2741276393,27.3415901459,611967,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-611967,-23998.70588235294,False,False,False,False,306324.2156862745,False,False,False,False
2024-12-27 00:00:00+00:00,27.1681151291,27.4572401571,27.0042776132,27.2452151365,755902,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1367869,-76699.5017301038,False,False,False,False,323954.71703191084,False,False,False,False
2024-12-30 00:00:00+00:00,27.0524651179,27.6981776804,26.5995025741,26.7055150843,848174,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-2216043,-160595.32519166835,False,False,False,False,344512.33597183594,False,False,False,False
2024-12-31 00:00:00+00:00,26.6573275796,27.3994151515,26.6187775759,27.1006526225,918206,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-3134249,-277209.1947919951,False,False,False,False,367010.12671803846,False,False,False,False
2025-01-02 00:00:00+00:00,27.033190116,27.4476026561,26.5513150694,26.8115275946,570818,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.864320007675364,-40.04103999296425,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-2563431,-366864.9518589757,False,False,False,False,375002.5923369389,False,False,False,False
2025-01-03 00:00:00+00:00,27.4765151589,27.611440172,26.9464526076,27.2259401347,624775,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.784911470492766,-27.884071152474707,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1938656,-428503.81649195706,False,False,False,False,384797.5887158825,False,False,False,False
2025-01-06 00:00:00+00:00,27.9583902056,28.2667902354,27.4957901608,27.6403526748,852306,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.20546486960606,-16.732496729266103,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1086350,-454301.7060412921,False,False,False,False,403131.25190349494,False,False,False,False
2025-01-07 00:00:00+00:00,28.1222277214,28.459540254,27.8682795718,28.1029527195,763727,,,,,,,,,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.19293568027257,-9.015829397231393,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,-322623,-449137.83521614346,False,False,False,False,417272.26163276966,False,False,False,False
2025-01-08 00:00:00+00:00,26.5802275722,27.9487527046,26.4115713059,27.9487527046,1225389,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.93560825584022,-9.015829397231393,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1548012,-492230.93971747113,False,False,False,False,448963.1141177591,False,False,False,False
