date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_97,Gap_Down_aVWAP_44,aVWAP_OB_bear_56,aVWAP_OB_bear_24,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-10-06 00:00:00+00:00,6.6,7.0,5.07,6.73,12534571,,,,,#000000,1.0,6.4933667,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,12534571.0,False,False,False,False
2023-10-13 00:00:00+00:00,7.0,8.1399,6.48,6.6,11967493,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,11967493,886480.9629629629,False,False,False,False,12492565.222222222,False,False,False,False
2023-10-20 00:00:00+00:00,6.17,7.18,5.91,7.04,7505902,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.29283735654927,-38.68223189552829,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,4461591,1151303.92866941,False,False,False,False,12123182.761316873,False,False,False,False
2023-10-27 00:00:00+00:00,5.81,6.47,5.525,6.07,6385911,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.06464280551499,-38.68223189552829,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-1924320,923479.9339531574,False,False,False,False,11698199.667885993,False,False,False,False
2023-11-03 00:00:00+00:00,5.8,6.0,5.38,5.79,4043624,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.42492982503807,-38.68223189552829,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,-5967944,413004.0869936643,False,False,False,False,11131194.0628574,False,False,False,False
2023-11-10 00:00:00+00:00,5.75,6.52,5.58,5.81,5588994,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.86425213111253,-38.68223189552829,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-11556938,-473658.28982068115,False,False,False,False,10720660.724867964,False,False,False,False
2023-11-17 00:00:00+00:00,5.59,6.14,5.34,5.76,6030767,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.026953279406975,-38.68223189552829,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-17587705,-1741365.4535376676,False,False,False,False,10373261.189692559,False,False,False,False
2023-11-24 00:00:00+00:00,5.76,6.28,5.51,5.89,6572405,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.741932566773144,-38.68223189552829,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-11015300,-2428323.5680904333,False,False,False,False,10091716.28675237,False,False,False,False
2023-12-01 00:00:00+00:00,5.56,5.72,5.14,5.7,7129659,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.07086307679895,-38.68223189552829,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-18144959,-3592518.7852689195,False,False,False,False,9872304.635881823,False,False,False,False
2023-12-08 00:00:00+00:00,5.75,5.9287,5.11,5.45,7795306,,,,,"rgba(239, 83, 80, 0.5)",-1.0,4.475,,5.596233333333333,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.57336842076713,-38.68223189552829,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-10349653,-4093047.2456193697,False,False,False,False,9718452.885075763,False,False,False,False
