date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_191,Gap_Up_aVWAP_189,Gap_Up_aVWAP_156,Gap_Down_aVWAP_24,aVWAP_OB_bull_11,aVWAP_OB_bear_118,aVWAP_OB_bear_57,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,7.03,7.85,6.97,7.8458,106764630,,,,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,106764630.0,False,False,False,False
2022-01-07 00:00:00+00:00,6.42,7.695,6.29,7.19,131022069,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-131022069,-9705338.444444444,False,False,False,False,108561477.33333334,False,False,False,False
2022-01-14 00:00:00+00:00,6.86,7.84,6.63,7.16,198635028,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.455180222683529,-81.13795055670883,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,67612959,-3978057.152263374,False,False,False,False,115233592.19753087,False,False,False,False
2022-01-21 00:00:00+00:00,5.79,6.79,5.7,6.67,95900696,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.72810509189273,-78.3081835978565,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-28287737,-5778774.178021642,False,False,False,False,113801525.81252858,False,False,False,False
2022-01-28 00:00:00+00:00,5.48,5.87,5.15,5.512,108638734,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,5.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.525363391100582,-76.45575112622622,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-136926471,-15493418.387057075,False,False,False,False,113419096.78937832,False,False,False,False
2022-02-04 00:00:00+00:00,5.95,6.36,5.47,5.501,80287163,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,5.681319007914163,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.504019917145964,-70.2855422388548,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-56639308,-18541262.062089883,False,False,False,False,110964879.47164658,False,False,False,False
2022-02-11 00:00:00+00:00,7.12,7.39,5.91,6.03,118897844,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,6.11598791922507,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.43753710123128,-59.34564509044639,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,62258536,-12556091.835268412,False,False,False,False,111552506.47374684,False,False,False,False
2022-02-18 00:00:00+00:00,6.39,7.48,6.3243,7.11,82232744,,,,,,,,"rgba(239, 83, 80, 0.5)",1.0,8.28,,6.488585544567432,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.65828389886966,-53.963598501374015,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-19974208,-13105581.921544826,False,False,False,False,109380672.21643226,False,False,False,False
2022-02-25 00:00:00+00:00,6.06,6.38,5.43,6.17,61312904,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,6.303488471317705,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.626514782750355,-50.61041817863509,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-81287112,-18156065.631060023,False,False,False,False,105820096.79299283,False,False,False,False
2022-03-04 00:00:00+00:00,5.24,6.2,5.16,5.93,88366386,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,6.083173746751269,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.92612643436907,-49.70693002317101,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-169653498,-29378097.658388913,False,False,False,False,104527229.32684521,False,False,False,False
2022-03-11 00:00:00+00:00,5.19,5.62,5.0,5.29,81475851,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,5.924984380753143,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.31395747142921,-48.56784252086596,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-251129349,-45804116.276286036,False,False,False,False,102819719.82115299,False,False,False,False
2022-03-18 00:00:00+00:00,5.51,5.6,4.78,5.17,90634949,,,,,5.296666666666667,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,5.643929034515686,,1.0,5.6,4.78,17.0,0.0,0.0,0.0,0.0,36.25499695927908,-45.80805727392514,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-160494400,-54299692.848413,False,False,False,False,101917144.20477128,False,False,False,False
2022-03-25 00:00:00+00:00,8.56,8.66,5.27,5.48,486535622,,,,,7.151193598879225,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,6.798971231929144,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.409992337709056,-36.20557576105522,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,326041222,-26126291.74853056,False,False,False,False,130407401.81923267,False,False,False,False
2022-04-01 00:00:00+00:00,7.48,9.08,7.345,7.99,410075197,,,,,7.4906113491944595,,,#000000,0.0,0.0,,7.366849524734177,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.65601466282892,-31.550470458616577,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,-84033975,-30415749.767157923,False,False,False,False,151123534.7955858,False,False,False,False
2022-04-08 00:00:00+00:00,6.4,8.15,6.26,7.45,281266985,,,,,7.367785346584004,,,#000000,0.0,0.0,,7.22501415362823,,0.0,0.0,0.0,0.0,-1.0,7.345,6.8,0.0,47.90519539402907,-29.77973631412166,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,-365300960,-55222061.636257336,False,False,False,False,160763790.36628318,False,False,False,False
2022-04-15 00:00:00+00:00,6.02,6.8,6.02,6.22,96703280,,,,,7.290733503939396,,,#000000,0.0,0.0,,7.147743864805498,,0.0,0.0,0.0,0.0,-1.0,6.26,6.03,0.0,47.43604596845756,-28.677025958910452,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,-462004240,-85354074.8483864,False,False,False,False,156018567.3761881,False,False,False,False
2022-04-22 00:00:00+00:00,5.24,6.03,5.16,6.02,114747794,,,,,7.1500813042383005,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,7.007733758883853,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.87045803615214,-28.677025958910452,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-576752034,-121753923.67443186,False,False,False,False,152961473.05202603,False,False,False,False
2022-04-29 00:00:00+00:00,4.98,5.36,4.81,5.18,105800657,,,,,7.009965931505669,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,6.870484479985592,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.366456986975535,-28.677025958910452,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-682552691,-163294573.10595542,False,False,False,False,149468079.27039447,False,False,False,False
2022-05-06 00:00:00+00:00,4.74,5.4,4.58,4.94,112781588,,,,,6.870309177392157,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,6.735828840529673,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.93434749010179,-28.677025958910452,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-795334279,-210112329.09810686,False,False,False,False,146750561.3985134,False,False,False,False
