date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_116,Gap_Up_aVWAP_69,Gap_Up_aVWAP_48,Gap_Up_aVWAP_2,Gap_Down_aVWAP_39,Gap_Down_aVWAP_18,aVWAP_OB_bull_174,aVWAP_OB_bear_109,aVWAP_OB_bear_50,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,0.1001,0.2475,0.1001,0.2475,200,,,,,,,,,,#000000,-1.0,0.019878,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,200.0,False,False,False,False
2022-01-07 00:00:00+00:00,0.1001,0.1201,0.1001,0.1201,100,,,,,,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,192.5925925925926,False,False,False,False
2022-01-14 00:00:00+00:00,0.2475,0.248,0.17,0.21005,400,,,,0.22183333333333333,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,400,29.629629629629626,False,False,False,False,207.95610425240056,False,False,False,False
2022-01-21 00:00:00+00:00,0.1001,0.2475,0.1001,0.2475,600,,,,0.17827333333333334,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.22167487684729,-16.502463054187203,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-200,12.62002743484225,False,False,False,False,236.9963928262968,False,False,False,False
2022-01-28 00:00:00+00:00,0.111,0.111,0.111,0.111,100,,,,0.17215757575757576,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.24752042965068,-16.502463054187203,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-100,4.2778031804094905,False,False,False,False,226.84851187620077,False,False,False,False
2022-02-04 00:00:00+00:00,0.1201,0.1201,0.111,0.111,100,,,,0.16756666666666667,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.60604160001103,-16.502463054187203,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,0,3.960928870749528,False,False,False,False,217.45232581129702,False,False,False,False
2022-02-11 00:00:00+00:00,0.1201,0.1201,0.1201,0.1201,0,,,,0.16756666666666667,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.86212815026842,-16.502463054187203,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,0,3.6675267321754887,False,False,False,False,201.34474612157132,False,False,False,False
2022-02-18 00:00:00+00:00,0.1201,0.1201,0.1201,0.1201,0,,,,0.16756666666666667,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.473618543309414,-16.502463054187203,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,0,3.3958580853476747,False,False,False,False,186.4303204829364,False,False,False,False
2022-02-25 00:00:00+00:00,0.15,0.15,0.1201,0.1201,100,,,,0.16544871794871796,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.71063281787033,-16.502463054187203,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,100,10.551720449395994,False,False,False,False,180.02807452123741,False,False,False,False
2022-03-04 00:00:00+00:00,0.15,0.15,0.15,0.15,0,,,,0.16544871794871796,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.16564301398526,-16.502463054187203,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,100,17.17751893462592,False,False,False,False,166.69266159373834,False,False,False,False
