date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_137,Gap_Up_aVWAP_82,Gap_Up_aVWAP_66,Gap_Up_aVWAP_40,Gap_Down_aVWAP_140,Gap_Down_aVWAP_63,Gap_Down_aVWAP_50,aVWAP_OB_bull_171,aVWAP_OB_bull_102,aVWAP_OB_bull_63,aVWAP_OB_bear_146,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,32.9302350672,33.4775519936,31.8720890097,32.2460889093,984947,,,,,,,,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,984947.0,False,False,False,False
2022-01-07 00:00:00+00:00,35.101258875,35.1651125164,33.0123326062,33.0123326062,2294856,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,34.5356980511,33.4775519936,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,2294856,169989.3333333333,False,False,False,False,1081977.2962962962,False,False,False,False
2022-01-14 00:00:00+00:00,37.0168681171,37.181063195,34.5356980511,35.2016003115,2183867,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,4478723,489154.79012345674,False,False,False,False,1163598.7558299038,False,False,False,False
2022-01-21 00:00:00+00:00,36.6793560126,38.7500383838,36.3053561129,37.7283801213,1992162,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.59917290469014,47.73046813646489,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,2486561,637110.8056698674,False,False,False,False,1224973.8109536145,False,False,False,False
2022-01-28 00:00:00+00:00,37.1354534512,38.5402335621,34.9461857459,35.3384295431,3179181,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.14470704169089,46.45401479917949,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,5665742,1009602.0052498772,False,False,False,False,1369729.8990311245,False,False,False,False
2022-02-04 00:00:00+00:00,39.2335016687,40.4467208554,36.861794988,37.1536973487,2917971,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.85143647373368,46.30824037169634,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,8583713,1570647.2641202565,False,False,False,False,1484414.4250288191,False,False,False,False
2022-02-11 00:00:00+00:00,41.0031597305,41.3497937839,38.823013974,39.2973553101,2533190,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.97592493989725,46.30824037169634,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,11116903,2277777.318629867,False,False,False,False,1562101.504656314,False,False,False,False
2022-02-18 00:00:00+00:00,39.6166235172,40.9900241243,38.941599308,40.902818294,2127744,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.46059648868876,42.354239836037905,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,8989159,2774916.702435062,False,False,False,False,1604000.9487558464,False,False,False,False
2022-02-25 00:00:00+00:00,39.9997453656,40.7203793186,38.5311116133,40.7203793186,1329646,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.50280406152011,39.792486527156925,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,10318805,3333723.2429954275,False,False,False,False,1583678.3599591171,False,False,False,False
2022-03-04 00:00:00+00:00,42.315739032,42.4166655562,39.7443308,40.0727209558,2486669,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.65403373084244,39.273199485351626,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,12805474,4035334.4101809515,False,False,False,False,1650566.555517701,False,False,False,False
